fileid,chunk_count,chunk_indices,chunk_clean_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,input_audio_type,reference_text,hypothesis_text,wer,edit_distance,ref_words,hypothesis_text_cleaned,wer_cleaned,edit_distance_cleaned,ref_words_cleaned
0,4,"1,2,3,4",clean_fileid_0_doa73_spk1_1.wav|clean_fileid_0_doa73_spk1_2.wav|clean_fileid_0_doa73_spk1_3.wav|clean_fileid_0_doa73_spk1_4.wav,0.0,16.0,16.0,73,text_fileid_0_doa73_spk1.txt,clean_spk1,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but before his arrival, life was extinct. is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",0.05263157894736842,2,38,"but before his arrival, life was extinct. is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",0.05263157894736842,2,38
1,4,"1,2,3,4",clean_fileid_1_doa187_spk1_1.wav|clean_fileid_1_doa187_spk1_2.wav|clean_fileid_1_doa187_spk1_3.wav|clean_fileid_1_doa187_spk1_4.wav,16.0,32.0,16.0,187,text_fileid_1_doa187_spk1.txt,clean_spk1,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system under consideration. Promise and effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.03125,1,32,But the precautions which have been so happily concerted in the system under consideration. Promise and effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.03125,1,32
2,5,"1,2,3,4,5",clean_fileid_2_doa36_spk1_1.wav|clean_fileid_2_doa36_spk1_2.wav|clean_fileid_2_doa36_spk1_3.wav|clean_fileid_2_doa36_spk1_4.wav|clean_fileid_2_doa36_spk1_5.wav,32.0,52.0,20.0,36,text_fileid_2_doa36_spk1.txt,clean_spk1,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days . Her life was quiet and monotonous, although hard working, and while her hands mechan ically found and did the recustom labor . The thoughts that rose in her head always centered on Charlie Kinraid . His ways , his words.",0.17073170731707318,7,41,"or washing or churning days. Her life was quiet and monotonous, although hard working, and while her hands mechan ically found and did the recustom labor. The thoughts that rose in her head always centered on Charlie Kinraid. His ways, his words.",0.17073170731707318,7,41
3,4,"1,2,3,4",clean_fileid_3_doa39_spk1_1.wav|clean_fileid_3_doa39_spk1_2.wav|clean_fileid_3_doa39_spk1_3.wav|clean_fileid_3_doa39_spk1_4.wav,52.0,68.0,16.0,39,text_fileid_3_doa39_spk1.txt,clean_spk1,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking . It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg , a psychoanalyst.",0.058823529411764705,2,34,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.058823529411764705,2,34
4,4,"1,2,3,4",clean_fileid_4_doa26_spk1_1.wav|clean_fileid_4_doa26_spk1_2.wav|clean_fileid_4_doa26_spk1_3.wav|clean_fileid_4_doa26_spk1_4.wav,68.0,84.0,16.0,26,text_fileid_4_doa26_spk1.txt,clean_spk1,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication , if made at all, should be affected as soon as possible after my death . My father died on the 6th of December, 1882. It will be seen therefore.",0.15625,5,32,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen therefore.",0.15625,5,32
5,4,"1,2,3,4",clean_fileid_5_doa338_spk1_1.wav|clean_fileid_5_doa338_spk1_2.wav|clean_fileid_5_doa338_spk1_3.wav|clean_fileid_5_doa338_spk1_4.wav,84.0,100.0,16.0,338,text_fileid_5_doa338_spk1.txt,clean_spk1,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert as a master is , one mustn't let himself open to cause he didn't have time to complete the complement. And then midst of the general silence, a voice became audible.",0.1794871794871795,7,39,"How true! When one has the honor of being an expert as a master is, one mustn't let himself open to cause he didn't have time to complete the complement. And then midst of the general silence, a voice became audible.",0.1794871794871795,7,39
6,4,"1,2,3,4",clean_fileid_6_doa140_spk1_1.wav|clean_fileid_6_doa140_spk1_2.wav|clean_fileid_6_doa140_spk1_3.wav|clean_fileid_6_doa140_spk1_4.wav,100.0,116.0,16.0,140,text_fileid_6_doa140_spk1.txt,clean_spk1,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He bore up the loudest and under his blouse an old black coat . He made pretensions to literature and to materialism . There were certain names which he often pronounced to support whatever things he might be saying. Volta ire.,0.16216216216216217,6,37,He bore up the loudest and under his blouse an old black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Volta ire.,0.16216216216216217,6,37
7,3,"1,2,3",clean_fileid_7_doa57_spk1_1.wav|clean_fileid_7_doa57_spk1_2.wav|clean_fileid_7_doa57_spk1_3.wav,116.0,128.0,12.0,57,text_fileid_7_doa57_spk1.txt,clean_spk1,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car were fired from above and behind the machine. They slanted down, but not sideways .",0.043478260869565216,1,23,"Those bullet holes in the back of the car were fired from above and behind the machine. They slanted down, but not sideways.",0.043478260869565216,1,23
8,5,"1,2,3,4,5",clean_fileid_8_doa333_spk1_1.wav|clean_fileid_8_doa333_spk1_2.wav|clean_fileid_8_doa333_spk1_3.wav|clean_fileid_8_doa333_spk1_4.wav|clean_fileid_8_doa333_spk1_5.wav,128.0,148.0,20.0,333,text_fileid_8_doa333_spk1.txt,clean_spk1,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game . At 2 o'clock, the captain asked the mate how we were getting on . Oh, pretty glibly , sir, replied the mate. We can scarcely tell what headway we are making , for we are obliged to keep the middle of the river . And there is the shadow of a fog rising .",0.01818181818181818,1,55,"They wanted to learn the game. At 2 o'clock, the captain asked the mate how we were getting on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, for we are obliged to keep the middle of the river. And there is the shadow of a fog rising.",0.01818181818181818,1,55
9,4,"1,2,3,4",clean_fileid_9_doa314_spk1_1.wav|clean_fileid_9_doa314_spk1_2.wav|clean_fileid_9_doa314_spk1_3.wav|clean_fileid_9_doa314_spk1_4.wav,148.0,164.0,16.0,314,text_fileid_9_doa314_spk1.txt,clean_spk1,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentlemen submitted . Why did you invite yourself ? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw .,0.02564102564102564,1,39,The deaf gentlemen submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.,0.02564102564102564,1,39
