fileid,mic_file,method,doa_source,speaker_id,duration_sec,gt_doa,steering_doa,predicted_doa_count,predicted_doas,matched_predicted_index,steering_doa_error_deg,beamformed_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,ipdnet_sec,beamforming_sec,whisper_sec,total_sec,ipdnet_rtf,beamforming_rtf,whisper_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,17.622,73,73,3,"73,182,264",0,0.0,beamformed_fileid_0_spk1_ipdnet_doa73_gt73.wav,text_fileid_0_doa73_spk1.txt,0.0,0,38,4.8832173347473145,4.428215503692627,-0.4550018310546875,4.86379861831665,2.178764581680298,-2.6850340366363525,1.3355612754821777,1.4442580938339233,0.1086968183517456,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",1.420710101000168,0.08063012100001288,1.532075325000278,3.033415547000459,0.08062138809443695,0.004575537453184252,0.08694105805245024,0.17213798360007143,1
1,mic_fileid_1_doa82_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,16.681375,187,189,3,"86,189,277",1,2.0,beamformed_fileid_1_spk1_ipdnet_doa189_gt187.wav,text_fileid_1_doa187_spk1.txt,0.0625,2,32,4.6262102127075195,6.145557403564453,1.5193471908569336,4.592447757720947,5.348827838897705,0.7563800811767578,1.2753520011901855,1.4326828718185425,0.15733087062835693,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily conserved in the system under consideration promised an effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.22498328400024548,0.09787465899989911,0.5239964879997387,0.8468544309998833,0.013487094678960547,0.005867301646291095,0.03141206812985973,0.05076646445511137,1
2,mic_fileid_2_doa36_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,17.43025,36,45,3,"45,126,320",0,9.0,beamformed_fileid_2_spk1_ipdnet_doa45_gt36.wav,text_fileid_2_doa36_spk1.txt,0.24390243902439024,10,41,5.0097336769104,5.793156623840332,0.7834229469299316,5.002055644989014,4.614006996154785,-0.3880486488342285,1.2396373748779297,1.3316354751586914,0.09199810028076172,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing for turning days. Her life was quiet and monotonous, although hardworking. And while her hands mechanically found and did their accustomed labor, the thoughts that Rose and her had always centered on Charlie Kinrade, his ways, his words.",0.22536676899972008,0.09698444300011033,0.663111969000056,0.9854631809998864,0.01292963491629323,0.0055641452647041964,0.038043744008264706,0.05653752418926213,1
3,mic_fileid_3_doa39_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,14.798375,39,38,3,"38,111,202",0,1.0,beamformed_fileid_3_spk1_ipdnet_doa38_gt39.wav,text_fileid_3_doa39_spk1.txt,0.058823529411764705,2,34,4.865467071533203,4.751343727111816,-0.11412334442138672,4.855953216552734,3.6336958408355713,-1.222257375717163,1.2316536903381348,1.273300290107727,0.041646599769592285,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.20203323200030354,0.028453766999973595,0.5648338470000454,0.7953208460003225,0.013652393049933086,0.0019227629384965304,0.038168639935131074,0.0537437959235607,1
4,mic_fileid_4_doa26_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,15.334625,26,25,3,"25,61,123",0,1.0,beamformed_fileid_4_spk1_ipdnet_doa25_gt26.wav,text_fileid_4_doa26_spk1.txt,0.15625,5,32,3.8145864009857178,3.398791551589966,-0.41579484939575195,3.7973413467407227,2.3262405395507812,-1.4711008071899414,1.250014066696167,1.279059886932373,0.029045820236206055,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.209243183000126,0.028995871000006446,0.4690455499999189,0.7072846040000513,0.01364514508832958,0.0018908757794863875,0.030587350522097465,0.04612337138991343,1
5,mic_fileid_5_doa60_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,15.43125,338,334,3,"52,95,334",2,4.0,beamformed_fileid_5_spk1_ipdnet_doa334_gt338.wav,text_fileid_5_doa338_spk1.txt,0.10256410256410256,4,39,4.235630512237549,2.2326250076293945,-2.0030055046081543,4.225747108459473,0.19773699343204498,-4.028010115027428,1.1749225854873657,1.1916208267211914,0.016698241233825684,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert as master is, one mustn't let himself open to. Konsei didn't have time to complete the compliment. And then midst of the general silence, a voice became audible.",0.23161211300021023,0.02593390099991666,0.5430465640001785,0.8005925780003054,0.01500929043338746,0.001680609218301606,0.0351913528716195,0.051881252523308566,1
6,mic_fileid_6_doa30_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,15.101125,140,141,3,"27,87,141",2,1.0,beamformed_fileid_6_spk1_ipdnet_doa141_gt140.wav,text_fileid_6_doa140_spk1.txt,0.08108108108108109,3,37,3.961557626724243,7.513343334197998,3.551785707473755,3.953115940093994,6.214885234832764,2.2617692947387695,1.213527798652649,1.2943369150161743,0.08080911636352539,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wrote blouse and under his blouse an old black coat. He made pretensions to literature and to materialism. There were certain names which are often pronounced to support whatever things he might be saying. Voltaire.,0.22001978500020414,0.0275838659999863,0.595397144999879,0.8430007960000694,0.014569761193302097,0.0018266100042206327,0.03942733703613995,0.055823708233662686,1
7,mic_fileid_7_doa57_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,13.9115,57,116,3,"116,171,214",0,59.0,beamformed_fileid_7_spk1_ipdnet_doa116_gt57.wav,text_fileid_7_doa57_spk1.txt,1.434782608695652,33,23,2.229769468307495,0.32293999195098877,-1.9068294763565063,2.2040748596191406,-0.6258612275123596,-2.8299360871315002,1.1526575088500977,1.1078811883926392,-0.044776320457458496,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Looking for an afterthought, and even going out on a small or even flat flight, but could discover nothing wrong. I guess Rad was just capering about without any special objects, used Tom.",0.1944379299998218,0.024367943000015657,0.45564960199999405,0.6744554749998315,0.013976776767409825,0.0017516402257136655,0.032753448729468,0.048481865722591486,1
8,mic_fileid_8_doa80_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,17.153125,333,333,3,"84,249,333",2,0.0,beamformed_fileid_8_spk1_ipdnet_doa333_gt333.wav,text_fileid_8_doa333_spk1.txt,0.01818181818181818,1,55,5.1611785888671875,7.223885536193848,2.06270694732666,5.142127990722656,6.156914234161377,1.0147862434387207,1.2348089218139648,1.5213978290557861,0.2865889072418213,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how we were getting on. Oh, pretty glibly, sir, replied the mate. She can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",0.25947519600003943,0.09941341000012471,0.8052849199998491,1.1641735260000132,0.01512699266168931,0.005795644233929661,0.046946834468929076,0.06786947136454805,1
9,mic_fileid_9_doa85_3spk.wav,MVDRBeamformer-IPDNet,ipdnet,1,16.73125,314,314,3,"86,252,314",2,0.0,beamformed_fileid_9_spk1_ipdnet_doa314_gt314.wav,text_fileid_9_doa314_spk1.txt,0.10256410256410256,4,39,4.034686088562012,5.190065860748291,1.1553797721862793,4.0257954597473145,4.207019329071045,0.18122386932373047,1.1800642013549805,1.2524027824401855,0.07233858108520508,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The deaf gentleman submitted, Why did you invite her? Because a tea party is not complete without your own nature. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.",0.23217163299977983,0.23396743400007836,0.7571339830001307,1.2232730499999889,0.013876526440031667,0.013983858587976294,0.04525268482630591,0.07311306985431387,1
