fileid,mic_file,method,doa_source,speaker_id,duration_sec,gt_doa,steering_doa,predicted_doa_count,predicted_doas,matched_predicted_index,steering_doa_error_deg,beamformed_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,localization_sec,beamforming_sec,whisper_sec,total_sec,localization_rtf,beamforming_rtf,whisper_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.622,73,80,3,"80,185,270",0,7.0,hark_fileid_0_spk1_hark_music_doa80_gt73.wav,text_fileid_0_doa73_spk1.txt,0.0,0,38,5.568976565673809,-1.1540682802007212,-6.72304484587453,4.86381545895434,-9.282103533680205,-14.145918992634545,,,,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",0.03094257599877892,0.4479263369994442,1.6194700739997643,2.0983389869979874,0.001755906026488419,0.025418586823257528,0.09190046952671457,0.11907496237646052,1
1,mic_fileid_1_doa82_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.681375,187,185,3,"95,185,280",1,2.0,hark_fileid_1_spk1_hark_music_doa185_gt187.wav,text_fileid_1_doa187_spk1.txt,0.03125,1,32,5.829855063155668,2.982101272806785,-2.8477537903488828,4.59244970682772,-0.02295430664964897,-4.615404013477369,,,,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system under consideration promised an effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.031512782001300366,0.4394529950004653,0.4388238049996289,0.9097895820013946,0.0018890997895137762,0.026343931180760897,0.026306213066946155,0.05453924403722083,1
2,mic_fileid_2_doa36_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.43025,36,25,3,"75,185,25",2,11.0,hark_fileid_2_spk1_hark_music_doa25_gt36.wav,text_fileid_2_doa36_spk1.txt,0.4634146341463415,19,41,4.863127876694119,2.087139164783513,-2.7759887119106055,5.014363450529298,-1.268789572791095,-6.283153023320393,,,,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing poor children's clothes. Her life was quiet and not nice, although hardworking, and while her hands mechanically found and did their accustomed labor, the thoughts that Rose and her had for what was said on Charlie T. J. Hall was ways, his words.",0.019505229000060353,0.47952126800009864,0.5764176840002619,1.075444181000421,0.0011190447067632623,0.02751086576498321,0.03306996078657862,0.06169987125832509,1
3,mic_fileid_3_doa39_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,14.798375,39,30,3,"295,80,30",2,9.0,hark_fileid_3_spk1_hark_music_doa30_gt39.wav,text_fileid_3_doa39_spk1.txt,0.4411764705882353,15,34,5.07284422229962,-0.9019149349675077,-5.974759157267128,4.855952595968629,-9.111450986032688,-13.967403582001317,,,,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the future of consciousness. It is applied that the process may be added very soon. One of the new Earth series run held by Dr. Louis R. Wolberg, a psychoanalyst.",0.019326187000842765,0.3677301490006357,0.43745235000096727,0.8245086860024458,0.0013059668376320215,0.024849360081808693,0.029560836916280826,0.05571616383572154,1
4,mic_fileid_4_doa26_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.334625,26,15,3,"90,15,180",1,11.0,hark_fileid_4_spk1_hark_music_doa15_gt26.wav,text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713929594974729,1.8260647652628534,-2.8878648297118756,3.7972942584249605,-2.2246309731700595,-6.02192523159502,,,,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen therefore.",0.02099998899939237,0.39051112000015564,0.3841166260008322,0.7956277350003802,0.0013694491387557484,0.025465971290472095,0.025048974200597155,0.051884394629825,1
5,mic_fileid_5_doa60_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.43125,338,290,3,"290,85,175",0,48.0,hark_fileid_5_spk1_hark_music_doa290_gt338.wav,text_fileid_5_doa338_spk1.txt,0.15384615384615385,6,39,4.106328036680454,2.159200490674743,-1.947127546005711,4.225754290943279,-0.5424261468772257,-4.768180437820504,,,,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert of master is, one mustn't lay himself open to. Can't say he didn't have time to complete the compliment. And in the midst of the general silence, a voice came audible.",0.018921866998425685,0.36499027799982287,0.4625355819989636,0.8464477269972122,0.001226204422741235,0.023652670911288642,0.029973954281018296,0.05485282961504817,1
6,mic_fileid_6_doa30_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.101125,140,165,3,"90,15,165",2,25.0,hark_fileid_6_spk1_hark_music_doa165_gt140.wav,text_fileid_6_doa140_spk1.txt,0.16216216216216217,6,37,5.136439750747767,2.7067067893610037,-2.4297329613867635,3.9531159471488806,-0.63001201904542,-4.583127966194301,,,,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He built models and under his blocks he old black coat. He made pretensions to literature and to materialism. There were certain names which are often pronounced to support whatever things he might be saying. Voltaire.,0.020824649000132922,0.3511413169999287,0.42581989800055453,0.7977858640006161,0.0013790130867821387,0.023252659454175015,0.028197892408714884,0.05282956494967204,1
7,mic_fileid_7_doa57_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,13.9115,57,20,3,"20,90,175",0,37.0,hark_fileid_7_spk1_hark_music_doa20_gt57.wav,text_fileid_7_doa57_spk1.txt,0.9130434782608695,21,23,3.90807881016848,2.038075499687676,-1.8700033104808038,2.2040777620315395,-2.201833439388076,-4.405911201419615,,,,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car, those fire trucks were loved, behind the seats. They slanted down, but not side to side. They broke them out without any special object. Or from the tail.",0.020512731000053464,0.33366259899958095,0.502520091000406,0.8566954210000404,0.0014745161197608787,0.02398466010132487,0.036122638895906695,0.06158181511699244,1
8,mic_fileid_8_doa80_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.153125,333,340,3,"340,200,290",0,7.0,hark_fileid_8_spk1_hark_music_doa340_gt333.wav,text_fileid_8_doa333_spk1.txt,0.34545454545454546,19,55,6.214864876700176,2.159960251236069,-4.054904625464107,5.256323212439499,-0.7117643628679121,-5.968087575307411,,,,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"And when it to learn the game by the day at two o'clock, the captain asked the mate how he worked his dawn. Oh, pretty quickly sir replied the mate. He was scared to tell what headway we were making, but we were watched to keep the middle of the river, and there is the shadow of a fog rising.",0.021225254000455607,0.4058026999991853,0.622804876000373,1.049832830000014,0.001237398666450318,0.023657654217478466,0.03630853713246846,0.06120359001639725,1
9,mic_fileid_9_doa85_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.73125,314,335,3,"285,200,335",2,21.0,hark_fileid_9_spk1_hark_music_doa335_gt314.wav,text_fileid_9_doa314_spk1.txt,1.435897435897436,56,39,4.895610035616656,0.655809317465529,-4.239800718151127,4.025795922646925,-3.749457258601959,-7.775253181248884,,,,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The direct answer is to make sure that you don't mind if you invite your friends to drop the call. Because the Tea Party is not completely out of line today, sir? I've heard that there was a strange way out of that. The issues for science are not entirely solved. Unfortunately, we'll see how it's going to be quickly. It's too early as yet.",0.01534559299943794,0.37687172499863664,0.7036617769990698,1.0958790949971444,0.0009171815016473928,0.022525019051095205,0.042056736764979896,0.0654989373177225,1
