fileid,mic_file,method,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.622,73,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_0/hark_fileid_0_mic_fileid_0_doa73_3spk_2.wav,oracle_wer,2,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.0,0,38,5.568976565673809,-1.3542190230661253,-6.923195588739935,4.86381545895434,-28.684674622315164,-33.548490081269506,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",3.6438549220019922,3.6438549220019922,0.2067787380548174,0.2067787380548174,1
1,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,16.681375,187,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_1/hark_fileid_1_mic_fileid_1_doa82_3spk_2.wav,oracle_wer,2,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.09375,3,32,5.829855063155668,-1.1612173968879835,-6.991072460043651,4.59244970682772,-19.24753475056612,-23.83998445739384,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily consented in the system of consideration promised an effectual security against this mischief. The choice of several to form an intermediate body of electors.,2.7782139079990884,2.7782139079990884,0.1665458577604717,0.1665458577604717,1
2,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.43025,36,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_2/hark_fileid_2_mic_fileid_2_doa36_3spk_2.wav,oracle_wer,2,,,6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.17073170731707318,7,41,4.8630525989175934,-2.559439732020766,-7.4224923309383595,5.015025205022463,-26.736871950449128,-31.75189715547159,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing, or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did their accustomed labor, the thoughts that rose in her head always centered on Charlie King Ray, his ways, his words.",2.5960111459990003,2.5960111459990003,0.1489371148433901,0.1489371148433901,1
3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,14.798375,39,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_3/hark_fileid_3_mic_fileid_3_doa39_3spk_1.wav,oracle_wer,1,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.11764705882352941,4,34,5.072847499928963,-2.104934453922253,-7.177781953851216,4.855955909861741,-19.750869606492603,-24.606825516354345,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thing. It is implied that the process may be avivistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",2.727625760000592,2.727625760000592,0.18431927559617808,0.18431927559617808,1
4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.334625,26,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_4/hark_fileid_4_mic_fileid_4_doa26_3spk_0.wav,oracle_wer,0,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713934800098061,-1.5621671235470491,-6.276101923645109,3.7972989837926012,-36.94195300242421,-40.739251986216814,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",2.390852124997764,2.390852124997764,0.15591200469511082,0.15591200469511082,1
5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.43125,338,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_5/hark_fileid_5_mic_fileid_5_doa60_3spk_2.wav,oracle_wer,2,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.23076923076923078,9,39,4.106339356320506,-3.1989705757907387,-7.3053099321112445,4.225767409513004,-18.05853451809996,-22.284301927612965,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert of master is, one must let himself open to. How say he didn't have time to complete the compliment? And then midst of the general silence, a voice came audible.",2.220953506001024,2.220953506001024,0.143925703102537,0.143925703102537,1
6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.101125,140,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_6/hark_fileid_6_mic_fileid_6_doa30_3spk_0.wav,oracle_wer,0,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.43243243243243246,16,37,5.136462717092244,-1.7556857819596643,-6.892148499051908,3.953142108340253,-15.471301841494132,-19.424443949834384,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wrote the laws and under his laws and all black codes. He made pretentious remarks and some materialism to insert the names which are often pronounced to support whatever things he might be trying. Voltaire.,2.634092236001379,2.634092236001379,0.17443019880978267,0.17443019880978267,1
7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,13.9115,57,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_7/hark_fileid_7_mic_fileid_7_doa57_3spk_1.wav,oracle_wer,1,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,0.08695652173913043,2,23,3.90807881016848,-2.038606238365321,-5.946685048533801,2.2040777620315395,-23.67583336741199,-25.879911129443528,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the cart were fired from above and behind the machine. They slanted down, but not sideways.",1.1334033309994993,1.1334033309994993,0.08147240276027023,0.08147240276027023,1
8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.153125,333,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_8/hark_fileid_8_mic_fileid_8_doa80_3spk_0.wav,oracle_wer,0,,,7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.05454545454545454,3,55,6.217862863962339,-1.3166900279830944,-7.534552891945434,5.267162676133397,-28.771540822711845,-34.038703498845244,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how we were getting on. Hope, pretty glibly, served, replied the mate. She can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",3.7064337369974965,3.7064337369974965,0.216079212213372,0.216079212213372,1
9,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,16.73125,314,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n/official_hark_outputs/fileid_9/hark_fileid_9_mic_fileid_9_doa85_3spk_0.wav,oracle_wer,0,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.1794871794871795,7,39,4.895610035616656,-2.4402990577139243,-7.33590909333058,4.025795922646925,-22.93768150573648,-26.963477428383406,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The deaf gentleman admitted, so why did you invite her? Because a tea party is not complete without an elevator? Her manner was as strangely altered as it looked. That she was beside herself for the moment I clearly saw.",2.2538626810001006,2.2538626810001006,0.13470976053792158,0.13470976053792158,1
