fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,wer,edit_distance,ref_words,ipdnet_sec,dsenet_sec,whisper_sec,total_target_sec,reference,hypothesis,speaker_id,enhanced_file,clean_file,mixture_file,mic_channel,duration_metric_sec,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,metrics_ok,missing_reason
0,mic_fileid_0_doa73_3spk.wav,text_fileid_0_doa73_spk1.txt,73,73,0.0,1,0.0,0,38,0.6234384960000625,5.452140188000158,1.1432601400001658,7.218838824000386,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",1,enhanced_fileid_0_gt73_pred73_spk1.wav,clean_fileid_0_doa73_spk1.wav,mic_fileid_0_doa73_3spk.wav,1,15.722125,4.8832173347473145,19.792573928833008,14.909356594085693,4.863799095153809,19.603717803955078,14.73991870880127,1.3355612754821777,3.8169326782226562,2.4813714027404785,1,
1,mic_fileid_1_doa187_3spk.wav,text_fileid_1_doa187_spk1.txt,187,189,2.0,1,0.0,0,32,0.2768554839999524,4.932911034999961,0.33752798299997266,5.547294501999886,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promise an effectual security against this mischief. The choice of several to form an intermediate body of electors.",1,enhanced_fileid_1_gt187_pred189_spk1.wav,clean_fileid_1_doa187_spk1.wav,mic_fileid_1_doa187_3spk.wav,1,14.181375,4.6262102127075195,17.664941787719727,13.038731575012207,4.592447757720947,17.522504806518555,12.930057048797607,1.2753520011901855,3.716611623764038,2.4412596225738525,1,
2,mic_fileid_2_doa36_3spk.wav,text_fileid_2_doa36_spk1.txt,36,45,9.0,1,0.1951219512195122,8,41,0.29067242700011775,5.086684371000047,0.4623519000001579,5.839708698000322,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kenraid. His ways, his words.",1,enhanced_fileid_2_gt36_pred45_spk1.wav,clean_fileid_2_doa36_spk1.wav,mic_fileid_2_doa36_3spk.wav,1,17.428625,5.0097336769104,18.98908805847168,13.97935438156128,5.002057075500488,18.828834533691406,13.826777458190918,1.2396373748779297,3.5048203468322754,2.2651829719543457,1,
3,mic_fileid_3_doa39_3spk.wav,text_fileid_3_doa39_spk1.txt,39,38,1.0,1,0.058823529411764705,2,34,0.22921361299995624,3.8357931970001573,0.4748176579998926,4.539824468000006,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",1,enhanced_fileid_3_gt39_pred38_spk1.wav,clean_fileid_3_doa39_spk1.wav,mic_fileid_3_doa39_3spk.wav,1,14.471625,4.865467071533203,22.270719528198242,17.40525245666504,4.855952739715576,22.124204635620117,17.26825189590454,1.2316536903381348,3.868582248687744,2.6369285583496094,1,
4,mic_fileid_4_doa26_3spk.wav,text_fileid_4_doa26_spk1.txt,26,25,1.0,1,0.15625,5,32,0.25824938400000974,4.1762304030000905,0.35150963800015234,4.785989425000253,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",1,enhanced_fileid_4_gt26_pred25_spk1.wav,clean_fileid_4_doa26_spk1.wav,mic_fileid_4_doa26_3spk.wav,1,14.517,3.8145864009857178,14.846933364868164,11.032346963882446,3.797342300415039,14.653925895690918,10.856583595275879,1.250014066696167,3.2297260761260986,1.9797120094299316,1,
5,mic_fileid_5_doa338_3spk.wav,text_fileid_5_doa338_spk1.txt,338,334,4.0,1,0.07692307692307693,3,39,0.24536632599983932,4.337880328999745,0.5111995110000862,5.0944461659996705,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert as master is, one mustn't let himself open to. Conce didn't have time to complete the compliment. And in the midst of the general silence, a voice became audible.",1,enhanced_fileid_5_gt338_pred334_spk1.wav,clean_fileid_5_doa338_spk1.wav,mic_fileid_5_doa338_3spk.wav,1,15.41775,4.235630512237549,17.901588439941406,13.665957927703857,4.2257466316223145,17.508852005004883,13.283105373382568,1.1749225854873657,3.5214884281158447,2.346565842628479,1,
6,mic_fileid_6_doa140_3spk.wav,text_fileid_6_doa140_spk1.txt,140,141,1.0,1,0.0,0,37,0.24778764699999556,4.261221127999988,0.44846243400002095,4.957471209000005,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wore a blouse and under his blouse an old black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Voltaire.,1,enhanced_fileid_6_gt140_pred141_spk1.wav,clean_fileid_6_doa140_spk1.wav,mic_fileid_6_doa140_3spk.wav,1,15.098625,3.961557626724243,18.056467056274414,14.094909429550171,3.953115940093994,17.857391357421875,13.90427541732788,1.213527798652649,3.4670143127441406,2.2534865140914917,1,
7,mic_fileid_7_doa57_3spk.wav,text_fileid_7_doa57_spk1.txt,57,116,59.0,1,1.391304347826087,32,23,0.24129324000000452,3.7971909460000006,0.41607171700002255,4.454555903000028,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Looking from an after window and even going out on a small open platform, but could discover nothing wrong. I guess Rad was just capering about without any special object, mused Tom.",1,enhanced_fileid_7_gt57_pred116_spk1.wav,clean_fileid_7_doa57_spk1.wav,mic_fileid_7_doa57_3spk.wav,1,9.491375,2.229769468307495,-21.888193130493164,-24.11796259880066,2.204075574874878,-28.746601104736328,-30.950676679611206,1.1526575088500977,1.0248838663101196,-0.12777364253997803,1,
8,mic_fileid_8_doa333_3spk.wav,text_fileid_8_doa333_spk1.txt,333,333,0.0,1,0.0,0,55,0.2929239069999312,4.714004825999837,0.6262864709999576,5.633215203999725,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how we were getting on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",1,enhanced_fileid_8_gt333_pred333_spk1.wav,clean_fileid_8_doa333_spk1.wav,mic_fileid_8_doa333_3spk.wav,1,17.148125,5.1611785888671875,19.745532989501953,14.584354400634766,5.142127990722656,19.61870002746582,14.476572036743164,1.2348089218139648,3.7462518215179443,2.5114428997039795,1,
9,mic_fileid_9_doa314_3spk.wav,text_fileid_9_doa314_spk1.txt,314,314,0.0,1,0.0,0,39,0.2583193630000551,4.487612117000026,0.38209853800003657,5.128030018000118,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentleman submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.,1,enhanced_fileid_9_gt314_pred314_spk1.wav,clean_fileid_9_doa314_spk1.wav,mic_fileid_9_doa314_3spk.wav,1,14.79975,4.034686088562012,19.77016830444336,15.735482215881348,4.025796890258789,19.596582412719727,15.570785522460938,1.1800642013549805,3.710167407989502,2.5301032066345215,1,
