fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,wer,edit_distance,ref_words,ipdnet_sec,dsenet_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa73_3spk.wav,text_fileid_0_doa73_spk1.txt,73,73,0.0,1,0.0,0,38,0.6234384960000625,5.452140188000158,1.1432601400001658,7.218838824000386,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him."
0,mic_fileid_0_doa169_3spk.wav,text_fileid_0_doa169_spk2.txt,169,182,13.0,2,0.043478260869565216,2,46,0.6234384960000625,5.452140188000158,0.5528106030001254,6.628389287000346,WAS THE NATURAL INCLINATION OF THE GOVERNOR NOW ROC AND HIS MEN WERE TREATED WELL AND HAVING BEEN BROUGHT BEFORE THE GOVERNOR WERE TOLD THAT IN CONSEQUENCE OF THEIR HAVING COMMITTED NO OVERT ACT OF DISORDER THEY WOULD BE SET AT LIBERTY AND SHIPPED TO ENGLAND,"was the natural inclination of the governor. Now Rock and his men were treated well, and having been brought before the governor, were told that in consequence of their having committed no overt act of disorder, they would be sent at liberty and shipped to England."
0,mic_fileid_0_doa206_3spk.wav,text_fileid_0_doa206_spk3.txt,206,182,24.0,3,0.9574468085106383,45,47,0.6234384960000625,5.452140188000158,0.4696352239998305,6.545213908000051,EVEN NOW THE RUINS MAY BE IMPASSABLE GRAHAM REGARDED HIM DOUBTFULLY AND FOLLOWED HIM THEY WENT UP THE STEPPED PLATFORMS TO THE SWIFTEST ONE AND THERE ASANO ACCOSTED A LABOURER THE ANSWERS TO HIS QUESTIONS WERE IN THE THICK VULGAR SPEECH WHAT DID HE SAY ASKED GRAHAM,"was the natural inclination of the governor. Now Rock and his men were treated well, and having been brought before the governor, were told that in consequence of their having committed no overt act of disorder, they would be sent at liberty and shipped to England."
1,mic_fileid_1_doa82_3spk.wav,text_fileid_1_doa82_spk3.txt,82,86,4.0,3,0.12195121951219512,5,41,0.2768554839999524,4.932911034999961,0.5605320849999771,5.7702986039998905,AND UNLESS HE FANCIED HIMSELF AT ANY TIME UNEQUAL TO COMPANY THERE WAS SCARCELY AN EVENING IN THE WEEK IN WHICH EMMA COULD NOT MAKE UP A CARD TABLE FOR HIM REAL LONG STANDING REGARD BROUGHT THE WESTONS AND MISTER KNIGHTLEY,"And unless he fancied himself at any time unequally company, there was scarcely an evening in the week in which Emma could not make up a card table for him. Real long-standing regard brought the Westons and Mr. Knightley."
1,mic_fileid_1_doa187_3spk.wav,text_fileid_1_doa187_spk1.txt,187,189,2.0,1,0.0,0,32,0.2768554839999524,4.932911034999961,0.33752798299997266,5.547294501999886,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promise an effectual security against this mischief. The choice of several to form an intermediate body of electors."
1,mic_fileid_1_doa288_3spk.wav,text_fileid_1_doa288_spk2.txt,288,277,11.0,2,0.0,0,29,0.2768554839999524,4.932911034999961,0.4304093959999591,5.6401759149998725,HE TRIED HIS HARDEST TO FLUTTER AWAY FARMER BROWN'S BOY UNDERSTOOD INSTANTLY THAT SOMETHING WAS WRONG WITH ONE WING AND RUNNING FORWARD HE CAUGHT REDCOAT YOU POOR LITTLE THING,"He tried his hardest to flutter away. Farmer Brown's boy understood instantly that something was wrong with one wing, and running forward, he caught Redcoat. You poor little thing."
2,mic_fileid_2_doa36_3spk.wav,text_fileid_2_doa36_spk1.txt,36,45,9.0,1,0.1951219512195122,8,41,0.29067242700011775,5.086684371000047,0.4623519000001579,5.839708698000322,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kenraid. His ways, his words."
2,mic_fileid_2_doa128_3spk.wav,text_fileid_2_doa128_spk2.txt,128,126,2.0,2,0.0,0,35,0.29067242700011775,5.086684371000047,0.3813326599999982,5.758689458000163,WASH WILLIAMS WAS A MAN OF COURAGE A THING HAD HAPPENED TO HIM THAT MADE HIM HATE LIFE AND HE HATED IT WHOLEHEARTEDLY WITH THE ABANDON OF A POET FIRST OF ALL HE HATED WOMEN,"Wash Williams was a man of courage. A thing had happened to him that made him hate life, and he hated it wholeheartedly, with the abandon of a poet. First of all, he hated women."
2,mic_fileid_2_doa240_3spk.wav,text_fileid_2_doa240_spk3.txt,240,320,80.0,3,0.9285714285714286,52,56,0.29067242700011775,5.086684371000047,0.5207802410000113,5.898137039000176,THEY PLAYED SUCH A CLOSE GUARDING GAME THAT TRY AS THEY MIGHT THE JUNIORS MADE NO HEADWAY THEN JULIA CROSBY SCORED ON A FIELD GOAL MAKING THE SCORE THREE TO TWO THIS SPURRED THE JUNIOR TEAM ON TO GREATER EFFORT AND MIRIAM MADE A BRILLIANT THROW TO BASKET THAT BROUGHT FORTH AN OVATION FROM THE GALLERY,"I'm not going to answer that. I'm not going to answer that. I'm going to address this, if you can't see any of the questions now, because I want to feel like it's very anywhere, so both of us are going to answer the questions."
3,mic_fileid_3_doa39_3spk.wav,text_fileid_3_doa39_spk1.txt,39,38,1.0,1,0.058823529411764705,2,34,0.22921361299995624,3.8357931970001573,0.4748176579998926,4.539824468000006,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst."
