fileid,chunk_index,clean_file,duration_sec,input_channels,input_audio_type,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,clean_fileid_0_doa73_spk1_1.wav,4.0,1,clean_spk1,0.0,4.0,73,3.985985010999684,4.0,4.0,4.0001152529994215,0.00011525299942150014,0.5,1,1.0000288132498554,0.996496252749921,0,,1,"but before his arrival, life was extinct.",,0.26,2.96
0,2,clean_fileid_0_doa73_spk1_2.wav,4.0,1,clean_spk1,4.0,8.0,73,3.9947637189998204,4.0,8.0,8.000101032999737,0.0001010329997370718,0.5,1,1.0000126291249671,0.9986909297499551,0,,1,"is insane with grief, more especially because the maid discovered","but before his arrival, life was extinct.",4.04,7.46
0,3,clean_fileid_0_doa73_spk1_3.wav,4.0,1,clean_spk1,8.0,12.0,73,3.992176577000464,4.0,12.0,12.000280743000076,0.00028074300007574493,0.5,1,1.0000233952500064,0.998044144250116,3,"but before his arrival, life was extinct. is insane with grief, more especially because the maid discovered that her ladyship had left",2,that her ladyship had left a letter to some man she,"is insane with grief, more especially because the maid discovered",8.468,11.408
0,4,clean_fileid_0_doa73_spk1_4.wav,4.0,1,clean_spk1,12.0,16.0,73,3.9924065000004703,4.0,16.0,16.000133427000037,0.00013342700003704522,0.5,1,1.0000083391875023,0.9981016250001176,2,"a letter to some man she calls Dick, telling him",2,"calls Dick, telling him that she loved him.",that her ladyship had left a letter to some man she,11.58,14.719999999999999
1,1,clean_fileid_1_doa187_spk1_1.wav,4.0,1,clean_spk1,16.0,20.0,187,3.995533417999468,4.0,20.0,20.000134308999804,0.00013430899980448885,0.5,1,1.0000067154499903,0.998883354499867,2,that she loved him. But the precautions which,2,But the precautions which have been so happily concerted in the,,16.16,19.520000000000003
1,2,clean_fileid_1_doa187_spk1_2.wav,4.0,1,clean_spk1,20.0,24.0,187,3.99430469500021,4.0,24.0,24.00012539099953,0.000125390999528463,0.5,1,1.0000052246249804,0.9985761737500525,2,have been so happily concerted in the system under consideration. Promise,2,system under consideration. Promise and effectual security against,But the precautions which have been so happily concerted in the,19.720000000000002,23.5
1,3,clean_fileid_1_doa187_spk1_3.wav,4.0,1,clean_spk1,24.0,28.0,187,3.9943350290004673,4.0,28.0,28.00012763199993,0.0001276319999305997,0.5,1,1.0000045582857118,0.9985837572501168,2,and effectual security against this mischief. The choice,2,this mischief. The choice of several to form an,system under consideration. Promise and effectual security against,24.040000000000003,27.380000000000003
1,4,clean_fileid_1_doa187_spk1_4.wav,4.0,1,clean_spk1,28.0,32.0,187,3.9944661099998484,4.0,32.0,32.00014451599964,0.00014451599963649642,0.5,1,1.0000045161249886,0.9986165274999621,2,of several to form an intermediate body of electors.,1,intermediate body of electors.,this mischief. The choice of several to form an,27.66,29.400000000000002
2,1,clean_fileid_2_doa36_spk1_1.wav,4.0,1,clean_spk1,32.0,36.0,36,3.9924188830000276,4.0,36.0,36.000129368999296,0.00012936899929627543,0.5,1,1.0000035935833138,0.9981047207500069,1,or washing or churning days,2,or washing or churning days . Her life was,,32.2,35.44
2,2,clean_fileid_2_doa36_spk1_2.wav,4.0,1,clean_spk1,36.0,40.0,36,3.9938448180000705,4.0,40.0,40.000185705999684,0.00018570599968370516,0.5,1,1.000004642649992,0.9984612045000176,2,". Her life was quiet and monotonous, although hard",2,"quiet and monotonous, although hard working, and while her hands mechan",or washing or churning days . Her life was,35.64,39.480000000000004
