fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,clean_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,dsenet_sec,metrics_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa73_3spk.wav,text_fileid_0_doa73_spk1.txt,73,73,0.0,1,clean_fileid_0_doa73_spk1.wav,0.0,0,38,4.8832173347473145,19.792470932006836,14.909253597259521,4.863799095153809,19.603729248046875,14.739930152893066,1.3355612754821777,3.816906213760376,2.4813449382781982,5.477736857000309,0.43111676999978954,1.153314772000158,7.062168399000257,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him."
0,mic_fileid_0_doa169_3spk.wav,text_fileid_0_doa169_spk2.txt,169,169,0.0,2,clean_fileid_0_doa169_spk2.wav,0.021739130434782608,1,46,-11.412919998168945,9.786872863769531,21.199792861938477,-11.574174880981445,9.347697257995605,20.92187213897705,1.073155403137207,2.3688108921051025,1.2956554889678955,5.477736857000309,0.5089808400002767,0.44862866199991913,6.435346359000505,WAS THE NATURAL INCLINATION OF THE GOVERNOR NOW ROC AND HIS MEN WERE TREATED WELL AND HAVING BEEN BROUGHT BEFORE THE GOVERNOR WERE TOLD THAT IN CONSEQUENCE OF THEIR HAVING COMMITTED NO OVERT ACT OF DISORDER THEY WOULD BE SET AT LIBERTY AND SHIPPED TO ENGLAND,"was the natural inclination of the governor. Now Rock and his men were treated well, and having been brought before the governor, were told that in consequence of their having committed no overt act of disorder, they would be set at liberty and shipped to England."
0,mic_fileid_0_doa206_3spk.wav,text_fileid_0_doa206_spk3.txt,206,206,0.0,3,clean_fileid_0_doa206_spk3.wav,0.06382978723404255,3,47,-6.5700507164001465,14.181343078613281,20.751393795013428,-6.639479637145996,13.940096855163574,20.57957649230957,1.1115069389343262,2.92573881149292,1.8142318725585938,5.477736857000309,0.5148123909998503,0.5768032589999166,6.569352507000076,EVEN NOW THE RUINS MAY BE IMPASSABLE GRAHAM REGARDED HIM DOUBTFULLY AND FOLLOWED HIM THEY WENT UP THE STEPPED PLATFORMS TO THE SWIFTEST ONE AND THERE ASANO ACCOSTED A LABOURER THE ANSWERS TO HIS QUESTIONS WERE IN THE THICK VULGAR SPEECH WHAT DID HE SAY ASKED GRAHAM,"Even now the ruins may be impassable."" Graham regarded him doubtfully and followed him. They went up the stepped platforms to the swiftest one, and there, Asano accosted a laborer. The answers to his questions were in the thick, bolder speech. What did he say, Ask Graham?"
1,mic_fileid_1_doa82_3spk.wav,text_fileid_1_doa82_spk3.txt,82,82,0.0,3,clean_fileid_1_doa82_spk3.wav,0.12195121951219512,5,41,-9.31058406829834,8.79515552520752,18.10573959350586,-9.390450477600098,8.727779388427734,18.118229866027832,1.0549068450927734,2.0138652324676514,0.9589583873748779,4.573558743000376,0.6047038870001415,0.4555922700001247,5.633854900000642,AND UNLESS HE FANCIED HIMSELF AT ANY TIME UNEQUAL TO COMPANY THERE WAS SCARCELY AN EVENING IN THE WEEK IN WHICH EMMA COULD NOT MAKE UP A CARD TABLE FOR HIM REAL LONG STANDING REGARD BROUGHT THE WESTONS AND MISTER KNIGHTLEY,"And unless he fancied himself at any time on the company, there was scarcely an evening in the week in which Emma could not make up a card table for him. Real long-standing regard brought the Westons and Mr. Knightley."
1,mic_fileid_1_doa187_3spk.wav,text_fileid_1_doa187_spk1.txt,187,187,0.0,1,clean_fileid_1_doa187_spk1.wav,0.0,0,32,4.6262102127075195,17.658205032348633,13.031994819641113,4.592447757720947,17.515836715698242,12.923388957977295,1.2753520011901855,3.721456527709961,2.4461045265197754,4.573558743000376,0.25955102499983695,0.3526344910001171,5.18574425900033,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promise an effectual security against this mischief. The choice of several to form an intermediate body of electors."
1,mic_fileid_1_doa288_3spk.wav,text_fileid_1_doa288_spk2.txt,288,288,0.0,2,clean_fileid_1_doa288_spk2.wav,0.0,0,29,-7.621438980102539,12.191106796264648,19.812545776367188,-7.690801620483398,11.879977226257324,19.570778846740723,1.0928246974945068,2.7465381622314453,1.6537134647369385,4.573558743000376,0.3115055680000296,0.3847448579999764,5.269809169000382,HE TRIED HIS HARDEST TO FLUTTER AWAY FARMER BROWN'S BOY UNDERSTOOD INSTANTLY THAT SOMETHING WAS WRONG WITH ONE WING AND RUNNING FORWARD HE CAUGHT REDCOAT YOU POOR LITTLE THING,"He tried his hardest to flutter away. Farmer Brown's boy understood instantly that something was wrong with one wing, and running forward, he caught Redcoat. You, poor little thing."
2,mic_fileid_2_doa36_3spk.wav,text_fileid_2_doa36_spk1.txt,36,36,0.0,1,clean_fileid_2_doa36_spk1.wav,0.17073170731707318,7,41,5.0097336769104,18.915668487548828,13.905934810638428,5.002057075500488,18.742074966430664,13.740017890930176,1.2396373748779297,3.533970355987549,2.294332981109619,5.0683660589998,0.39745756799993615,0.48013508100029867,5.945958708000035,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that Rose in her head always centered on Charlie Kinraid, his ways, his words."
2,mic_fileid_2_doa128_3spk.wav,text_fileid_2_doa128_spk2.txt,128,128,0.0,2,clean_fileid_2_doa128_spk2.wav,0.0,0,35,-7.817481517791748,12.76984691619873,20.58732843399048,-7.843719482421875,12.357173919677734,20.20089340209961,1.1030583381652832,2.603175401687622,1.5001170635223389,5.0683660589998,0.5908554110001205,0.3841879950000475,6.043409464999968,WASH WILLIAMS WAS A MAN OF COURAGE A THING HAD HAPPENED TO HIM THAT MADE HIM HATE LIFE AND HE HATED IT WHOLEHEARTEDLY WITH THE ABANDON OF A POET FIRST OF ALL HE HATED WOMEN,"Wash Williams was a man of courage. A thing had happened to him that made him hate life, and he hated it wholeheartedly, with the abandon of a poet. First of all, he hated women."
2,mic_fileid_2_doa240_3spk.wav,text_fileid_2_doa240_spk3.txt,240,240,0.0,3,clean_fileid_2_doa240_spk3.wav,0.125,7,56,-10.58908462524414,12.78459358215332,23.37367820739746,-10.665782928466797,12.532530784606934,23.19831371307373,1.0456804037094116,2.7254738807678223,1.6797934770584106,5.0683660589998,0.6963212000000567,0.5621310730002733,6.32681833200013,THEY PLAYED SUCH A CLOSE GUARDING GAME THAT TRY AS THEY MIGHT THE JUNIORS MADE NO HEADWAY THEN JULIA CROSBY SCORED ON A FIELD GOAL MAKING THE SCORE THREE TO TWO THIS SPURRED THE JUNIOR TEAM ON TO GREATER EFFORT AND MIRIAM MADE A BRILLIANT THROW TO BASKET THAT BROUGHT FORTH AN OVATION FROM THE GALLERY,They played such a close guarded game that try as they might the juniors made no headlight. The Julia Crosby scored on a field goal making the score 3-2. This spurred the junior team on to greater effort and Mary made a brilliant throw to basket that brought forth an ovation from the gallery.
3,mic_fileid_3_doa39_3spk.wav,text_fileid_3_doa39_spk1.txt,39,39,0.0,1,clean_fileid_3_doa39_spk1.wav,0.058823529411764705,2,34,4.865467071533203,22.268524169921875,17.403057098388672,4.855952739715576,22.120281219482422,17.264328479766846,1.2316536903381348,3.867596387863159,2.6359426975250244,3.8835858830002508,0.39484672000025967,0.3896465980001267,4.668079201000637,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst."
