fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,clean_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,dsenet_sec,metrics_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa169_3spk.wav,text_fileid_0_doa169_spk2.txt,169,169,0.0,2,clean_fileid_0_doa169_spk2.wav,0.021739130434782608,1,46,-11.412919998168945,9.786872863769531,21.199792861938477,-11.574174880981445,9.347697257995605,20.92187213897705,1.073155403137207,2.3688108921051025,1.2956554889678955,5.477736857000309,0.5089808400002767,0.44862866199991913,6.435346359000505,WAS THE NATURAL INCLINATION OF THE GOVERNOR NOW ROC AND HIS MEN WERE TREATED WELL AND HAVING BEEN BROUGHT BEFORE THE GOVERNOR WERE TOLD THAT IN CONSEQUENCE OF THEIR HAVING COMMITTED NO OVERT ACT OF DISORDER THEY WOULD BE SET AT LIBERTY AND SHIPPED TO ENGLAND,"was the natural inclination of the governor. Now Rock and his men were treated well, and having been brought before the governor, were told that in consequence of their having committed no overt act of disorder, they would be set at liberty and shipped to England."
1,mic_fileid_1_doa288_3spk.wav,text_fileid_1_doa288_spk2.txt,288,288,0.0,2,clean_fileid_1_doa288_spk2.wav,0.0,0,29,-7.621438980102539,12.191106796264648,19.812545776367188,-7.690801620483398,11.879977226257324,19.570778846740723,1.0928246974945068,2.7465381622314453,1.6537134647369385,4.573558743000376,0.3115055680000296,0.3847448579999764,5.269809169000382,HE TRIED HIS HARDEST TO FLUTTER AWAY FARMER BROWN'S BOY UNDERSTOOD INSTANTLY THAT SOMETHING WAS WRONG WITH ONE WING AND RUNNING FORWARD HE CAUGHT REDCOAT YOU POOR LITTLE THING,"He tried his hardest to flutter away. Farmer Brown's boy understood instantly that something was wrong with one wing, and running forward, he caught Redcoat. You, poor little thing."
2,mic_fileid_2_doa128_3spk.wav,text_fileid_2_doa128_spk2.txt,128,128,0.0,2,clean_fileid_2_doa128_spk2.wav,0.0,0,35,-7.817481517791748,12.76984691619873,20.58732843399048,-7.843719482421875,12.357173919677734,20.20089340209961,1.1030583381652832,2.603175401687622,1.5001170635223389,5.0683660589998,0.5908554110001205,0.3841879950000475,6.043409464999968,WASH WILLIAMS WAS A MAN OF COURAGE A THING HAD HAPPENED TO HIM THAT MADE HIM HATE LIFE AND HE HATED IT WHOLEHEARTEDLY WITH THE ABANDON OF A POET FIRST OF ALL HE HATED WOMEN,"Wash Williams was a man of courage. A thing had happened to him that made him hate life, and he hated it wholeheartedly, with the abandon of a poet. First of all, he hated women."
3,mic_fileid_3_doa110_3spk.wav,text_fileid_3_doa110_spk2.txt,110,110,0.0,2,clean_fileid_3_doa110_spk2.wav,0.06060606060606061,2,33,-6.559728145599365,15.904437065124512,22.464165210723877,-6.614231586456299,15.66049575805664,22.27472734451294,1.0703709125518799,3.016855478286743,1.9464845657348633,3.8835858830002508,0.45163028099977964,0.37060994800003755,4.705826112000068,OF HIS FALLING DOWN AND WORSHIPING HIM JOHN MERRICK WAS A MULTI MILLIONAIRE TO BE SURE BUT THERE WERE PALLIATING CIRCUMSTANCES THAT ALMOST EXCUSED HIM HE HAD BEEN SO BUSILY OCCUPIED IN INDUSTRY,"of his falling down and worshiping him. John Merrick was a multi-millionaire to be sure, but there were palliating circumstances that almost excused him. He had been so busily occupied in industry."
4,mic_fileid_4_doa243_3spk.wav,text_fileid_4_doa243_spk2.txt,243,243,0.0,2,clean_fileid_4_doa243_spk2.wav,0.075,3,40,-7.4920783042907715,9.64673137664795,17.13880968093872,-7.623187065124512,9.271031379699707,16.89421844482422,1.063217043876648,2.5220160484313965,1.4587990045547485,4.037105261000306,0.46142876800013255,0.4693847260000439,4.967918755000483,AH YES HE RETURNED THOUGHTFULLY I'VE ALWAYS NOTICED THAT THE OPERA MAKES FOLKS DESPERATELY HUNGRY FOR THEY FLOCK TO THE RESTAURANTS AS SOON AS THEY CAN GET AWAY SINGULAR ISN'T IT WHY I NEVER THOUGHT OF IT IN THAT LIGHT,"Ah, yes, you've returned thoughtfully. I've always noticed that the opera makes folks desperately hungry, for they flock to the restaurants as soon as they can get away. Singular, isn't it? Why, I've never thought of it in that way."
5,mic_fileid_5_doa60_3spk.wav,text_fileid_5_doa60_spk2.txt,60,60,0.0,2,clean_fileid_5_doa60_spk2.wav,0.05263157894736842,2,38,-6.574804782867432,9.261537551879883,15.836342334747314,-6.618571758270264,8.917718887329102,15.536290645599365,1.0581492185592651,1.6808326244354248,0.6226834058761597,4.151118276000034,0.34315704199980246,0.4015272209999239,4.89580253899976,THEN HE BECAME A HANGER ON AT THE CLUBS A GENTEEL LOAFER HE USED TO SAY IN HIS SOBER MOMENTS THAT AT LAST HE WAS ONE OF THE BOYS THAT SADNESS HAD SPOKEN OF HE DID NOT WORK,"Then he became a hanger on at the clubs, a gentile roofer. He used to say in his sober moments that at last he was one of the boys that sadness had spoken of. He did not work."
6,mic_fileid_6_doa30_3spk.wav,text_fileid_6_doa30_spk2.txt,30,30,0.0,2,clean_fileid_6_doa30_spk2.wav,0.358974358974359,14,39,-7.128391742706299,12.725151062011719,19.853542804718018,-7.189602375030518,12.431572914123535,19.621175289154053,1.0290745496749878,2.451385259628296,1.422310709953308,4.0682471229997645,0.3873625149999498,0.4345543029999135,4.890163940999628,BEFORE WE COULD BRING UP THE LAGGARDS THAT PROVOKINGLY DAWDLED ALONG NIBBLING STRAY BUNCHES OF GRASS WHEN LATE ON THE ROAD WE SAW COYOTES SNEAKING OUT FOR THEIR EVENING MEAL AND HEARD THE FAR AWAY CRY OF THE PANTHER,"before we could bring off the laggards that provoked the use of the lawn, nibbling straight bunches of grass. When laid on the road, we thought coyotes sneaking out for their evening meal heard the faraway cry of the pander."
7,mic_fileid_7_doa120_3spk.wav,text_fileid_7_doa120_spk2.txt,120,120,0.0,2,clean_fileid_7_doa120_spk2.wav,0.0,0,32,-5.954588890075684,11.332345008850098,17.28693389892578,-5.987525463104248,11.182144165039062,17.16966962814331,1.1374324560165405,2.6734256744384766,1.535993218421936,3.6063452380003582,0.3212820610001472,0.4079488379998111,4.3355761370003165,LOOKING FROM AN AFTER WINDOW AND EVEN GOING OUT ON A SMALL OPEN PLATFORM BUT COULD DISCOVER NOTHING WRONG I GUESS RAD WAS JUST CAPERING ABOUT WITHOUT ANY SPECIAL OBJECT MUSED TOM,"Looking from an after window and even going out on a small open platform, but could discover nothing wrong. I guess Rad was just capering about without any special object, mused Tom."
8,mic_fileid_8_doa80_3spk.wav,text_fileid_8_doa80_spk2.txt,80,80,0.0,2,clean_fileid_8_doa80_spk2.wav,0.0967741935483871,3,31,-10.854756355285645,11.450684547424316,22.30544090270996,-11.06822395324707,11.169475555419922,22.237699508666992,1.1898717880249023,2.315861463546753,1.1259896755218506,4.833843696999793,0.3934851129997696,0.34181116800027667,5.569139977999839,DYING OVER IT BY THE BILLIONS THE SEA IS OF NO GREAT DEPTH AT THE GRAND BANKS A FEW HUNDRED FATHOMS AT BEST BUT TO THE SOUTH THERE IS A DEEP,"dying over it by the billions. The sea is of no great depth at the Great Bax. A few hundred fathoms at best, but to the south there is deep."
9,mic_fileid_9_doa242_3spk.wav,text_fileid_9_doa242_spk2.txt,242,242,0.0,2,clean_fileid_9_doa242_spk2.wav,0.0,0,39,-6.404356002807617,14.946111679077148,21.350467681884766,-6.4351277351379395,14.62374210357666,21.0588698387146,1.0870790481567383,3.295297622680664,2.208218574523926,4.556993780000084,0.521113011000125,0.4036754160001692,5.4817822070003785,AND WHEN BROUGHT INTO THE PRESENCE OF CAPTAIN BOLING HE SAID IN GREAT EMOTION KILL ME SIR CAPTAIN YES KILL ME AS YOU KILLED MY SON AS YOU WOULD KILL MY PEOPLE IF THEY WERE TO COME TO YOU,"And when brought into the presence of Captain Boling, he said in great emotion, Kill me, Sir Captain, yes, kill me as you killed my son, as you would kill my people if they were to come to you."
