fileid,chunk_count,chunk_indices,chunk_mic_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,input_audio_mode,reference_text,hypothesis_text,wer,edit_distance,ref_words,hypothesis_text_cleaned,wer_cleaned,edit_distance_cleaned,ref_words_cleaned
0,4,"1,2,3,4",mic_fileid_0_doa73_3spk_1.wav|mic_fileid_0_doa73_3spk_2.wav|mic_fileid_0_doa73_3spk_3.wav|mic_fileid_0_doa73_3spk_4.wav,0.0,16.0,16.0,73,text_fileid_0_doa73_spk1.txt,mean_all_channels,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But you know it's a rivalry, life is extinct is insane with grief, especially because the maid discovered That's her relationship with Linda's letter to some man she calls Dick, telling him that she loved him. What did he say?",0.47368421052631576,18,38,"But you know it's a rivalry, life is extinct is insane with grief, especially because the maid discovered That's her relationship with Linda's letter to some man she calls Dick, telling him that she loved him. What did he say?",0.47368421052631576,18,38
1,4,"1,2,3,4",mic_fileid_1_doa82_3spk_1.wav|mic_fileid_1_doa82_3spk_2.wav|mic_fileid_1_doa82_3spk_3.wav|mic_fileid_1_doa82_3spk_4.wav,16.0,32.0,16.0,187,text_fileid_1_doa187_spk1.txt,mean_all_channels,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"He's the first to fight a wave so happily. It's something was promised for effectual security. >> But it gets this, Mr. Contreras. >> The choice of several to form an intermediate body of electors.",0.59375,19,32,"He's the first to fight a wave so happily. It's something was promised for effectual security. But it gets this, Mr. Contreras. The choice of several to form an intermediate body of electors.",0.59375,19,32
2,5,"1,2,3,4,5",mic_fileid_2_doa36_3spk_1.wav|mic_fileid_2_doa36_3spk_2.wav|mic_fileid_2_doa36_3spk_3.wav|mic_fileid_2_doa36_3spk_4.wav|mic_fileid_2_doa36_3spk_5.wav,32.0,52.0,20.0,36,text_fileid_2_doa36_spk1.txt,mean_all_channels,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"Or watching for transbole . Her life was quiet in the mountains, although hard-working , and while her hands mechanically found and did their accustomed labor. The thoughts that rose in her head from recent years on Charlie Crannell , his ways, his words.",0.36585365853658536,15,41,"Or watching for transbole. Her life was quiet in the mountains, although hard-working, and while her hands mechanically found and did their accustomed labor. The thoughts that rose in her head from recent years on Charlie Crannell, his ways, his words.",0.36585365853658536,15,41
3,4,"1,2,3,4",mic_fileid_3_doa39_3spk_1.wav|mic_fileid_3_doa39_3spk_2.wav|mic_fileid_3_doa39_3spk_3.wav|mic_fileid_3_doa39_3spk_4.wav,52.0,68.0,16.0,39,text_fileid_3_doa39_spk1.txt,mean_all_channels,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,Which takes over the traditional studio consciousness type of thing. It is implied that the process may be out of this. I'm not sure if it's a suicide or a suicide.,0.5,17,34,Which takes over the traditional studio consciousness type of thing. It is implied that the process may be out of this. I'm not sure if it's a suicide or a suicide.,0.5,17,34
4,4,"1,2,3,4",mic_fileid_4_doa26_3spk_1.wav|mic_fileid_4_doa26_3spk_2.wav|mic_fileid_4_doa26_3spk_3.wav|mic_fileid_4_doa26_3spk_4.wav,68.0,84.0,16.0,26,text_fileid_4_doa26_spk1.txt,mean_all_channels,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication is made at all should be affected as soon as possible after my death . My father died on the 6th of December 1882 , singular. It will be seen therefore .",0.1875,6,32,"The publication is made at all should be affected as soon as possible after my death. My father died on the 6th of December 1882, singular. It will be seen therefore.",0.1875,6,32
5,4,"1,2,3,4",mic_fileid_5_doa60_3spk_1.wav|mic_fileid_5_doa60_3spk_2.wav|mic_fileid_5_doa60_3spk_3.wav|mic_fileid_5_doa60_3spk_4.wav,84.0,100.0,16.0,338,text_fileid_5_doa338_spk1.txt,mean_all_channels,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,">> [INAUDIBLE ] When one has the honor of being an expert as master is, one must let himself open to . And then the midst of the general silence of voice came audible .",0.38461538461538464,15,39,"When one has the honor of being an expert as master is, one must let himself open to. And then the midst of the general silence of voice came audible.",0.38461538461538464,15,39
6,4,"1,2,3,4",mic_fileid_6_doa30_3spk_1.wav|mic_fileid_6_doa30_3spk_2.wav|mic_fileid_6_doa30_3spk_3.wav|mic_fileid_6_doa30_3spk_4.wav,100.0,116.0,16.0,140,text_fileid_6_doa140_spk1.txt,mean_all_channels,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He built a house and under his boss he bought a code. He needs to turn to literature and to materials. There were certain names which are often pronounced to support whatever things that might be seen. Voltaire .,0.3783783783783784,14,37,He built a house and under his boss he bought a code. He needs to turn to literature and to materials. There were certain names which are often pronounced to support whatever things that might be seen. Voltaire.,0.3783783783783784,14,37
7,3,"1,2,3",mic_fileid_7_doa57_3spk_1.wav|mic_fileid_7_doa57_3spk_2.wav|mic_fileid_7_doa57_3spk_3.wav,116.0,128.0,12.0,57,text_fileid_7_doa57_spk1.txt,mean_all_channels,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,[inaudible] [ Indistinct chatter . Keep your arm out with,1.0,23,23,Indistinct chatter. Keep your arm out with,1.0,23,23
8,5,"1,2,3,4,5",mic_fileid_8_doa80_3spk_1.wav|mic_fileid_8_doa80_3spk_2.wav|mic_fileid_8_doa80_3spk_3.wav|mic_fileid_8_doa80_3spk_4.wav|mic_fileid_8_doa80_3spk_5.wav,128.0,148.0,20.0,333,text_fileid_8_doa333_spk1.txt,mean_all_channels,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"I wanted to learn the game. At two o'clock, the captain asked the mate how to work his teeth on. Oh, pre-glinged term , by the name of ""Chicken Scar cey"" tell what headway we are making, for we are alive to keep the middle of the river, and there is the shadow of a fall rising . The",0.3090909090909091,17,55,"I wanted to learn the game. At two o'clock, the captain asked the mate how to work his teeth on. Oh, pre-glinged term, by the name of""Chicken Scar cey""tell what headway we are making, for we are alive to keep the middle of the river, and there is the shadow of a fall rising. The",0.3090909090909091,17,55
9,4,"1,2,3,4",mic_fileid_9_doa85_3spk_1.wav|mic_fileid_9_doa85_3spk_2.wav|mic_fileid_9_doa85_3spk_3.wav|mic_fileid_9_doa85_3spk_4.wav,148.0,164.0,16.0,314,text_fileid_9_doa314_spk1.txt,mean_all_channels,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"Dutch has no sign of the Netherlands. So you invited to invite us to the Netherlands ? Yes. Tell me. It was a strange way out of that. Well, I killed my people. The she was beside herself with a moment of fear and thought .",0.9230769230769231,36,39,"Dutch has no sign of the Netherlands. So you invited to invite us to the Netherlands? Yes. Tell me. It was a strange way out of that. Well, I killed my people. The she was beside herself with a moment of fear and thought.",0.9230769230769231,36,39
10,4,"1,2,3,4",mic_fileid_10_doa3_3spk_1.wav|mic_fileid_10_doa3_3spk_2.wav|mic_fileid_10_doa3_3spk_3.wav|mic_fileid_10_doa3_3spk_4.wav,164.0,180.0,16.0,3,text_fileid_10_doa3_spk1.txt,mean_all_channels,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients with Mr . Carlile's house, where he lived, and here he issued private orders. It's a little window, not larger than a pane of glass. Looked out for a place on this. They call it Old Dills People and wished it anywhere else.",0.35555555555555557,16,45,"Here he saw clients with Mr. Carlile's house, where he lived, and here he issued private orders. It's a little window, not larger than a pane of glass. Looked out for a place on this. They call it Old Dills People and wished it anywhere else.",0.35555555555555557,16,45
11,4,"1,2,3,4",mic_fileid_11_doa93_3spk_1.wav|mic_fileid_11_doa93_3spk_2.wav|mic_fileid_11_doa93_3spk_3.wav|mic_fileid_11_doa93_3spk_4.wav,180.0,196.0,16.0,264,text_fileid_11_doa264_spk1.txt,mean_all_channels,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Seed's rep. on the home space is through and when he delivers to the cell phone again, it will be working single-handedly . It 's a swan-y pipe. It's like my own stone road . Thank you.",1.0625,34,32,"Seed's rep. on the home space is through and when he delivers to the cell phone again, it will be working single-handedly. It's a swan-y pipe. It's like my own stone road. Thank you.",1.03125,33,32
12,5,"1,2,3,4,5",mic_fileid_12_doa38_3spk_1.wav|mic_fileid_12_doa38_3spk_2.wav|mic_fileid_12_doa38_3spk_3.wav|mic_fileid_12_doa38_3spk_4.wav|mic_fileid_12_doa38_3spk_5.wav,196.0,216.0,20.0,38,text_fileid_12_doa38_spk1.txt,mean_all_channels,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"Thank >> [INAUDIBLE] >> Mrs. Anderson, you are not a young, they want a rest. They want to be able to make it. her way to the dorms .",0.9,36,40,"Thank Mrs. Anderson, you are not a young, they want a rest. They want to be able to make it. her way to the dorms.",0.9,36,40
13,5,"1,2,3,4,5",mic_fileid_13_doa5_3spk_1.wav|mic_fileid_13_doa5_3spk_2.wav|mic_fileid_13_doa5_3spk_3.wav|mic_fileid_13_doa5_3spk_4.wav|mic_fileid_13_doa5_3spk_5.wav,216.0,236.0,20.0,5,text_fileid_13_doa5_spk1.txt,mean_all_channels,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,>> [INAUDIBLE] [inaudible ] [ inaudible] Palestine this and if it fails it is turned back .,0.9230769230769231,36,39,Palestine this and if it fails it is turned back.,0.9230769230769231,36,39
14,5,"1,2,3,4,5",mic_fileid_14_doa181_3spk_1.wav|mic_fileid_14_doa181_3spk_2.wav|mic_fileid_14_doa181_3spk_3.wav|mic_fileid_14_doa181_3spk_4.wav|mic_fileid_14_doa181_3spk_5.wav,236.0,256.0,20.0,181,text_fileid_14_doa181_spk1.txt,mean_all_channels,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious population. The two spend hours together sometimes to a tiny parlor. St ompy boarder for little difficulties and now and then Watery 2 and Pro , conversational input percent to the optimal stitch and from the optimal stitch to Dennis. [BLANK_AUDIO]",0.4523809523809524,19,42,"This was a curious population. The two spend hours together sometimes to a tiny parlor. St ompy boarder for little difficulties and now and then Watery 2 and Pro, conversational input percent to the optimal stitch and from the optimal stitch to Dennis.",0.42857142857142855,18,42
