fileid,chunk_index,mic_file,duration_sec,input_channels,input_audio_mode,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,4,mean_all_channels,0.0,4.0,73,3.9663682829996105,4.0,4.0,4.000110576000225,0.0001105760002246825,0.5,1,1.0000276440000562,0.9915920707499026,0,,1,"But you know it's a rivalry, life is extinct",,0.22,2.24
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,4,mean_all_channels,4.0,8.0,73,3.978264527000192,4.0,8.0,8.000101824000012,0.00010182400001212955,0.5,1,1.0000127280000015,0.994566131750048,0,,1,"is insane with grief, especially because the maid discovered","But you know it's a rivalry, life is extinct",4.08,7.52
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,4,mean_all_channels,8.0,12.0,73,3.9761356809999597,4.0,12.0,12.001777148000201,0.001777148000201123,0.5,1,1.0001480956666835,0.9940339202499899,3,"But you know it's a rivalry, life is extinct is insane with grief, especially because the maid discovered That's her relationship with Linda's",2,That's her relationship with Linda's letter to some man she calls,"is insane with grief, especially because the maid discovered",8.491999999999999,11.572
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,4,mean_all_channels,12.0,16.0,73,3.9792533749996437,4.0,16.0,16.000893952000297,0.0008939520002968493,0.5,1,1.0000558720000186,0.9948133437499109,2,"letter to some man she calls Dick, telling him that she",2,"Dick, telling him that she loved him. What did he say?",That's her relationship with Linda's letter to some man she calls,12.02,15.52
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,4,mean_all_channels,16.0,20.0,187,3.9808371330000227,4.0,20.0,20.00042576700025,0.00042576700025165337,0.5,1,1.0000212883500126,0.9952092832500057,2,loved him. What did he say? He's the,2,He's the first to fight a wave so happily.,,16.24,19.18
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,4,mean_all_channels,20.0,24.0,187,3.9838649939997595,4.0,24.0,24.00013387099989,0.00013387099988904083,0.5,1,1.0000055779583288,0.9959662484999399,2,first to fight a wave so happily. It's something was promised,2,It's something was promised for effectual security.,He's the first to fight a wave so happily.,19.181,23.58
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,4,mean_all_channels,24.0,28.0,187,3.9869653540004037,4.0,28.0,28.000100439000107,0.00010043900010714424,0.5,1,1.0000035871071467,0.9967413385001009,2,"for effectual security. >> But it gets this, Mr. Contreras. >> The choice of",2,">> But it gets this, Mr. Contreras. >> The choice of several to form an intermediate",It's something was promised for effectual security.,23.581,27.619999999999997
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,4,mean_all_channels,28.0,32.0,187,3.983223898000233,4.0,32.0,32.00013508400025,0.000135084000248753,0.5,1,1.0000042213750078,0.9958059745000583,2,several to form an intermediate body of electors.,1,body of electors.,">> But it gets this, Mr. Contreras. >> The choice of several to form an intermediate",28.18,29.419999999999998
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,4,mean_all_channels,32.0,36.0,36,3.9815182400002413,4.0,36.0,36.000151538999944,0.0001515389999440231,0.5,1,1.000004209416665,0.9953795600000603,1,Or watching for transbole,2,Or watching for transbole . Her life was quiet,,32.18,35.699999999999996
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,4,mean_all_channels,36.0,40.0,36,3.9792810300000383,4.0,40.0,40.00015281900005,0.00015281900004993076,0.5,1,1.0000038204750012,0.9948202575000096,2,". Her life was quiet in the mountains, although hard-working",2,"in the mountains, although hard-working , and while her hands mechanically",Or watching for transbole . Her life was quiet,36.04,39.86
