fileid,chunk_index,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,chunk_hypothesis,ipdnet2_sec,dsenet_sec,whisper_sec,total_sec,ipdnet2_rtf,dsenet_rtf,whisper_rtf,total_rtf,under_realtime
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,3,"75,170,203",0,75,0.05990204948761854,enhanced_fileid_0_chunk1_pred75_idx0_loudest.wav,73,2.0,"But before his arrival, life was extinct.",1.2603070679999746,0.9721495119999872,1.1725022840000747,3.4049588640000366,0.31507676699999365,0.2430373779999968,0.2931255710000187,0.8512397160000091,1
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,3,"72,175,186",0,72,0.07557340636292327,enhanced_fileid_0_chunk2_pred72_idx0_loudest.wav,73,1.0,"is insane with grief, more especially because the maid discovered...",0.1523271040000509,0.7380454919998556,0.18277709999983927,1.0731496959997457,0.038081776000012724,0.1845113729999639,0.045694274999959816,0.26828742399993644,1
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,3,"73,173,201",0,73,0.08116516434392641,enhanced_fileid_0_chunk3_pred73_idx0_loudest.wav,73,0.0,that her ladyship had left a letter to some man she calls De...,0.09137238400012393,0.747431590999895,0.38609208200000467,1.2248960570000236,0.022843096000030982,0.18685789774997374,0.09652302050000117,0.3062240142500059,1
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,3,"69,171,197",0,69,0.049548206473467186,enhanced_fileid_0_chunk4_pred69_idx0_loudest.wav,73,4.0,telling him that she loved him.,0.1919284720001997,0.749145819999967,0.20047203800004354,1.1415463300002102,0.04798211800004992,0.18728645499999175,0.050118009500010885,0.28538658250005255,1
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,3,"82,174,184",2,184,0.05648462112013175,enhanced_fileid_1_chunk1_pred184_idx2_loudest.wav,187,3.0,"But the precautions, which have been so happily concerted in the system",0.13646630099992763,0.7439298729998427,0.2851611730000059,1.1655573469997762,0.034116575249981906,0.18598246824996068,0.07129029325000147,0.29138933674994405,1
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,3,"76,179,186",2,186,0.053234015444018117,enhanced_fileid_1_chunk2_pred186_idx2_loudest.wav,187,1.0,into consideration. Promise and effectual security against them.,0.10913334099996064,0.735392205999915,0.2558449699999983,1.1003705169998739,0.02728333524999016,0.18384805149997874,0.06396124249999957,0.27509262924996847,1
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,3,"74,83,188",2,188,0.04289175328748489,enhanced_fileid_1_chunk3_pred188_idx2_loudest.wav,187,1.0,The choice of several Department Intermediate,0.10874993900006302,0.7348804080002083,0.1847453980001319,1.0283757450004032,0.027187484750015756,0.18372010200005207,0.046186349500032975,0.2570939362501008,1
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,3,"82,174,189",2,189,0.02743898154090808,enhanced_fileid_1_chunk4_pred189_idx2_loudest.wav,187,2.0,body of electors.,0.13382850400012103,0.7455095989998881,0.159563444000014,1.0389015470000231,0.03345712600003026,0.18637739974997203,0.0398908610000035,0.2597253867500058,1
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,3,"34,124,238",0,34,0.03704157486497136,enhanced_fileid_2_chunk1_pred34_idx0_loudest.wav,36,2.0,or washing or churning days. Her life was quiet.,0.1296037540000725,0.7400525950001793,0.19496345900006418,1.064619808000316,0.03240093850001813,0.18501314875004482,0.048740864750016044,0.266154952000079,1
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,3,"33,122,239",0,33,0.05570407281796464,enhanced_fileid_2_chunk2_pred33_idx0_loudest.wav,36,3.0,"I'll go hardworking, and while her hands mechanically...",0.10122975800004497,0.7351966709998123,0.2530233349998525,1.0894497639997098,0.025307439500011242,0.18379916774995309,0.06325583374996313,0.27236244099992746,1
2,3,mic_fileid_2_doa36_3spk_3.wav,4.0,3,"32,123,240",0,32,0.053139407640784835,enhanced_fileid_2_chunk3_pred32_idx0_loudest.wav,36,4.0,found and did the recustom labor. The thoughts that rose in her head...,0.09373467699992943,0.7368536649998987,0.28219735100014987,1.112785692999978,0.02343366924998236,0.18421341624997467,0.07054933775003747,0.2781964232499945,1
2,4,mic_fileid_2_doa36_3spk_4.wav,4.0,3,"36,123,237",0,36,0.035236572176482704,enhanced_fileid_2_chunk4_pred36_idx0_loudest.wav,36,0.0,"always centered on Charlie Kinraig. His ways, his work.",0.11882998599980965,0.7369386160000886,0.3005788410000605,1.1563474429999587,0.029707496499952413,0.18423465400002215,0.07514471025001512,0.2890868607499897,1
2,5,mic_fileid_2_doa36_3spk_5.wav,4.0,3,"33,89,118",0,33,0.009460646043776721,enhanced_fileid_2_chunk5_pred33_idx0_loudest.wav,36,3.0,Thanks for watching. I'll see you in the next video. Bye. Bye. Bye.,0.09974722599986308,0.7376724389998799,0.3756746189999376,1.2130942839996806,0.02493680649996577,0.18441810974996997,0.0939186547499844,0.30327357099992014,1
3,1,mic_fileid_3_doa39_3spk_1.wav,4.0,3,"39,108,189",0,39,0.034299129912459786,enhanced_fileid_3_chunk1_pred39_idx0_loudest.wav,39,0.0,which takes over the usual stream of consciousness type of thinking.,0.16247772899987467,0.747698790999948,0.29106765300002735,1.20124417299985,0.04061943224996867,0.186924697749987,0.07276691325000684,0.3003110432499625,1
3,2,mic_fileid_3_doa39_3spk_2.wav,4.0,3,"40,95,190",0,40,0.03984011969435237,enhanced_fileid_3_chunk2_pred40_idx0_loudest.wav,39,1.0,It is implied that the process may be out of his stick.,0.12019726899984562,0.7562026089999563,0.23060679299987896,1.1070066709996809,0.030049317249961405,0.18905065224998907,0.05765169824996974,0.2767516677499202,1
