fileid,mic_file,method,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.622,73,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_0/enhanced_fileid_0_preddoa73_src1.wav,nearest_spk1_gt_doa,0,73,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.0,0,38,5.568976565673809,-2.0284107770746385,-7.597387342748448,4.86381545895434,-25.716340665610492,-30.58015612456483,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",1.696684152000671,1.696684152000671,0.09628215594147492,0.09628215594147492,1
1,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,16.681375,187,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_1/enhanced_fileid_1_preddoa189_src2.wav,nearest_spk1_gt_doa,1,189,2.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.03125,1,32,5.829855063155668,-1.005628074428961,-6.835483137584628,4.59244970682772,-19.765972632098634,-24.358422338926353,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system under consideration promised an effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.4018888690006861,0.4018888690006861,0.024092070887482962,0.024092070887482962,1
2,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.43025,36,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_2/enhanced_fileid_2_preddoa45_src1.wav,nearest_spk1_gt_doa,0,45,9.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.1951219512195122,8,41,4.863127876344303,-2.001604575067579,-6.864732451411882,5.014382224496274,-38.56720060204888,-43.58158282654515,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing for turning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did their accustomed labor, the thoughts that rose in her head always centered on Charlie Kinrade. His ways, his words.",0.5513317860004463,0.5513317860004463,0.03163074459634522,0.03163074459634522,1
3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,14.798375,39,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_3/enhanced_fileid_3_preddoa38_src1.wav,nearest_spk1_gt_doa,0,38,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.058823529411764705,2,34,5.07284422229962,-2.8759952470322894,-7.94883946933191,4.855952595968629,-17.5416166737884,-22.397569269757028,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.4660885929988581,0.4660885929988581,0.031495930667986054,0.031495930667986054,1
4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.334625,26,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_4/enhanced_fileid_4_preddoa25_src1.wav,nearest_spk1_gt_doa,0,25,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713929594974729,-2.3604995558263977,-7.0744291508011266,3.7972942584249605,-40.83248691122058,-44.62978116964554,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.4275853810013359,0.4275853810013359,0.027883654213998445,0.027883654213998445,1
5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.43125,338,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_5/enhanced_fileid_5_preddoa334_src3.wav,nearest_spk1_gt_doa,2,334,4.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.07692307692307693,3,39,4.10632803653317,-3.185391340582438,-7.291719377115608,4.225754297312408,-19.059449462618787,-23.285203759931193,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert as master is, one mustn't lay himself open to. Concey didn't have time to complete the compliment. And then midst of the general silence, a voice became audible.",0.4981390869997995,0.4981390869997995,0.032281188302943666,0.032281188302943666,1
6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.101125,140,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_6/enhanced_fileid_6_preddoa141_src3.wav,nearest_spk1_gt_doa,2,141,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.13513513513513514,5,37,5.136439750958917,-2.4412748103988093,-7.577714561357726,3.953115947459837,-13.662932953301123,-17.61604890076096,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wrote vowels and under his books an old black coat. He made pretensions to literature and to materialism. There were certain names which are often pronounced to support whatever things he might be saying. Voltaire.,0.4634124599997449,0.4634124599997449,0.03068728058338335,0.03068728058338335,1
7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,13.9115,57,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_7/enhanced_fileid_7_preddoa116_src1.wav,nearest_spk1_gt_doa,0,116,59.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,1.2608695652173914,29,23,3.90807881016848,-2.450419405782674,-6.358498215951154,2.2040777620315395,-23.66651214762254,-25.87058990965408,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Look out for an atom, an even going out, a small leak of blood behind the machine. They slanted down, but not side with it. I guess you're just capering about without any special object. Orfused, Tom.",0.5001376489999529,0.5001376489999529,0.035951381878298744,0.035951381878298744,1
8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.153125,333,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_8/enhanced_fileid_8_preddoa333_src3.wav,nearest_spk1_gt_doa,2,333,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.07272727272727272,4,55,6.214864876628267,-1.3480988744852962,-7.562963751113563,5.256432158780118,-30.038249506884473,-35.29468166566459,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how we were getting on. Hope pretty glibly served, replied the mate. She can scarcely tell what headway we were making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",0.6786242840007617,0.6786242840007617,0.039562720145790445,0.039562720145790445,1
9,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,16.73125,314,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep_IPD/official_hark_outputs/fileid_9/enhanced_fileid_9_preddoa314_src3.wav,nearest_spk1_gt_doa,2,314,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.02564102564102564,1,39,4.895610035616656,-1.92845516342567,-6.824065199042326,4.025795922646925,-25.002075618126653,-29.027871540773578,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentlemen submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.,0.4654284150001331,0.4654284150001331,0.02781791049683276,0.02781791049683276,1
