fileid,chunk_count,chunk_indices,chunk_mic_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,selected_doas,mean_selected_doa_error_deg,reference_text,hypothesis_text,wer,edit_distance,ref_words,hypothesis_text_cleaned,wer_cleaned,edit_distance_cleaned,ref_words_cleaned
0,4,"1,2,3,4",mic_fileid_0_doa73_3spk_1.wav|mic_fileid_0_doa73_3spk_2.wav|mic_fileid_0_doa73_3spk_3.wav|mic_fileid_0_doa73_3spk_4.wav,0.0,16.0,16.0,73,text_fileid_0_doa73_spk1.txt,"75,72,73,69",1.75,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before he's arrival The Pelt is insane with grief more especially because the maid discovered that her I've left a letter to some man she calls Dick , telling him that she loved him",0.18421052631578946,7,38,"But before he's arrival The Pelt is insane with grief more especially because the maid discovered that her I've left a letter to some man she calls Dick, telling him that she loved him",0.18421052631578946,7,38
1,4,"1,2,3,4",mic_fileid_1_doa82_3spk_1.wav|mic_fileid_1_doa82_3spk_2.wav|mic_fileid_1_doa82_3spk_3.wav|mic_fileid_1_doa82_3spk_4.wav,16.0,32.0,16.0,187,text_fileid_1_doa187_spk1.txt,"184,186,188,189",1.75,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,. But the precautions which have been so happily concerted in the system under consideration . Promise and effectual security against this mission. The choice of several department intermediate body of electors.,0.15625,5,32,. But the precautions which have been so happily concerted in the system under consideration. Promise and effectual security against this mission. The choice of several department intermediate body of electors.,0.15625,5,32
2,5,"1,2,3,4,5",mic_fileid_2_doa36_3spk_1.wav|mic_fileid_2_doa36_3spk_2.wav|mic_fileid_2_doa36_3spk_3.wav|mic_fileid_2_doa36_3spk_4.wav|mic_fileid_2_doa36_3spk_5.wav,32.0,52.0,20.0,36,text_fileid_2_doa36_spk1.txt,"34,33,32,36,33",2.4,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"Or washing or turning days . Her life was quiet and monotonous , although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kenraig. His ways, his words.",0.21951219512195122,9,41,"Or washing or turning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kenraig. His ways, his words.",0.21951219512195122,9,41
3,4,"1,2,3,4",mic_fileid_3_doa39_3spk_1.wav|mic_fileid_3_doa39_3spk_2.wav|mic_fileid_3_doa39_3spk_3.wav|mic_fileid_3_doa39_3spk_4.wav,52.0,68.0,16.0,39,text_fileid_3_doa39_spk1.txt,"39,40,39,37",0.75,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be out of his stick . One of the newer theories , one held by Dr. Louis R. Wolberg, a psychoan alyst.",0.23529411764705882,8,34,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be out of his stick. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoan alyst.",0.23529411764705882,8,34
4,4,"1,2,3,4",mic_fileid_4_doa26_3spk_1.wav|mic_fileid_4_doa26_3spk_2.wav|mic_fileid_4_doa26_3spk_3.wav|mic_fileid_4_doa26_3spk_4.wav,68.0,84.0,16.0,26,text_fileid_4_doa26_spk1.txt,"25,26,31,27",1.75,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December 1882. It will be same therefore. In",0.21875,7,32,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December 1882. It will be same therefore. In",0.21875,7,32
5,4,"1,2,3,4",mic_fileid_5_doa60_3spk_1.wav|mic_fileid_5_doa60_3spk_2.wav|mic_fileid_5_doa60_3spk_3.wav|mic_fileid_5_doa60_3spk_4.wav,84.0,100.0,16.0,338,text_fileid_5_doa338_spk1.txt,"101,340,339,336",32.0,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"August, we'll have two weeks vacation . What was about this? Expert is master is one mustn't let himself open to cause they did not have time to complete the compliment . In the midst of the general silence , a voice came audible.",0.4358974358974359,17,39,"August, we'll have two weeks vacation. What was about this? Expert is master is one mustn't let himself open to cause they did not have time to complete the compliment. In the midst of the general silence, a voice came audible.",0.4358974358974359,17,39
6,4,"1,2,3,4",mic_fileid_6_doa30_3spk_1.wav|mic_fileid_6_doa30_3spk_2.wav|mic_fileid_6_doa30_3spk_3.wav|mic_fileid_6_doa30_3spk_4.wav,100.0,116.0,16.0,140,text_fileid_6_doa140_spk1.txt,"139,136,140,136",2.25,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"He wore a blouse, and after his blouse, a whole black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be doing. But look how.",0.1891891891891892,7,37,"He wore a blouse, and after his blouse, a whole black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be doing. But look how.",0.1891891891891892,7,37
7,3,"1,2,3",mic_fileid_7_doa57_3spk_1.wav|mic_fileid_7_doa57_3spk_2.wav|mic_fileid_7_doa57_3spk_3.wav,116.0,128.0,12.0,57,text_fileid_7_doa57_spk1.txt,"55,55,115",20.666666666666668,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car were fired from above and behind the machine . They slammed it down , but not sideways. (indistinct)",0.17391304347826086,4,23,"Those bullet holes in the back of the car were fired from above and behind the machine. They slammed it down, but not sideways. (indistinct)",0.17391304347826086,4,23
8,5,"1,2,3,4,5",mic_fileid_8_doa80_3spk_1.wav|mic_fileid_8_doa80_3spk_2.wav|mic_fileid_8_doa80_3spk_3.wav|mic_fileid_8_doa80_3spk_4.wav|mic_fileid_8_doa80_3spk_5.wav,128.0,148.0,20.0,333,text_fileid_8_doa333_spk1.txt,"74,76,75,328,192",90.4,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"Don't I hope it? But it no use. See, is it no great depth at the great banks . A few hundred thousand at those. I think they 're obliged to keep the middle of the river, and there is the shadow of a fog rising. (upbeat",0.6909090909090909,38,55,"Don't I hope it? But it no use. See, is it no great depth at the great banks. A few hundred thousand at those. I think they're obliged to keep the middle of the river, and there is the shadow of a fog rising. (upbeat",0.6909090909090909,38,55
9,4,"1,2,3,4",mic_fileid_9_doa85_3spk_1.wav|mic_fileid_9_doa85_3spk_2.wav|mic_fileid_9_doa85_3spk_3.wav|mic_fileid_9_doa85_3spk_4.wav,148.0,164.0,16.0,314,text_fileid_9_doa314_spk1.txt,"316,320,317,83",35.0,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"music . Because of you, Pardee, I'm not complete without the woman . That's the winner with the strangely altered at your look. That she was the best. Of course not, that's a quick lady. Here he",0.8461538461538461,33,39,"music. Because of you, Pardee, I'm not complete without the woman. That's the winner with the strangely altered at your look. That she was the best. Of course not, that's a quick lady. Here he",0.8461538461538461,33,39
