fileid,chunk_index,mic_file,duration_sec,audio_start_sec,audio_end_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,ipdnet_sec,dsenet_sec,frontend_compute_sec,frontend_compute_rtf,frontend_compute_margin_sec,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,chunk_total_wall_sec,ipdnet_rtf,dsenet_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,0.0,4.0,1,73,0,73,0.0821564894498707,enhanced_fileid_0_chunk1_gt73_pred73_idx0.wav,73,0.0,0.0,1.097169880000365,1.097169880000365,0.27429247000009127,2.902830119999635,2.883916180000597,4.0,4.0,4.0000908139991225,9.081399912247434e-05,0.5,1,1.0000227034997806,3.981086060000962,0.0,0.27429247000009127,0.7209790450001492,0,,1,but before his arrival life was extinct.,,0.26,3.08
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,4.0,8.0,1,73,0,73,0.10143017170709684,enhanced_fileid_0_chunk2_gt73_pred73_idx0.wav,73,0.0,0.0,0.20368623200010916,0.20368623200010916,0.05092155800002729,3.796313767999891,3.7840679939999973,4.0,8.0,8.000112818999696,0.0001128189996961737,0.5,1,1.000014102374962,3.9877542260001064,0.0,0.05092155800002729,0.9460169984999993,2,"but before his arrival life was extinct. is insane with grief, more especially",2,"is insane with grief, more especially because the maid discovered",but before his arrival life was extinct.,4.112,7.452
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,8.0,12.0,1,73,0,73,0.09645323802959078,enhanced_fileid_0_chunk3_gt73_pred73_idx0.wav,73,0.0,0.0,0.2156330510006228,0.2156330510006228,0.0539082627501557,3.784366948999377,3.77277378799954,4.0,12.0,12.000053473999287,5.347399928723462e-05,0.5,1,1.0000044561666073,3.988406839000163,0.0,0.0539082627501557,0.943193446999885,2,because the maid discovered that her ladyship had left a letter,2,that her ladyship had left a letter to some man she calls Dick,"is insane with grief, more especially because the maid discovered",8.5,11.940000000000001
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,12.0,16.0,1,73,0,73,0.056641974331730294,enhanced_fileid_0_chunk4_gt73_pred73_idx0.wav,73,0.0,0.0,0.2141310249990056,0.2141310249990056,0.0535327562497514,3.7858689750009944,3.774760312999206,4.0,16.0,16.000113062998935,0.00011306299893476535,0.5,1,1.0000070664374334,3.9888913379982114,0.0,0.0535327562497514,0.9436900782498014,2,"to some man she calls Dick , telling him that she loved him",1,", telling him that she loved him",that her ladyship had left a letter to some man she calls Dick,13.0,14.24
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,16.0,20.0,1,187,0,187,0.0781146510849461,enhanced_fileid_1_chunk1_gt187_pred187_idx0.wav,187,0.0,0.0,0.215986797998994,0.215986797998994,0.0539966994997485,3.784013202001006,3.773987433000002,4.0,20.0,20.00013651199879,0.00013651199878950138,0.5,1,1.0000068255999395,3.989974230998996,0.0,0.0539966994997485,0.9434968582500005,2,. But the precautions which have been so,3,. But the precautions which have been so happily concerted in the system under consideration,,16.22,20.2
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,20.0,24.0,1,187,0,187,0.08704055459125697,enhanced_fileid_1_chunk2_gt187_pred187_idx0.wav,187,0.0,0.0,0.21552733099997567,0.21552733099997567,0.05388183274999392,3.7844726690000243,3.7721312710000348,4.0,24.0,24.00012622000031,0.00012622000031115022,0.5,1,1.0000052591666797,3.9876586020000104,0.0,0.05388183274999392,0.9430328177500087,2,happily concerted in the system under consideration . Promise and effect,2,. Promise and effect ual security against this mis,. But the precautions which have been so happily concerted in the system under consideration,21.32,24.299999999999997
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,24.0,28.0,1,187,0,187,0.0997020299778624,enhanced_fileid_1_chunk3_gt187_pred187_idx0.wav,187,0.0,0.0,0.21564828000009584,0.21564828000009584,0.05391207000002396,3.784351719999904,3.7710452990013437,4.0,28.0,28.000116502998935,0.00011650299893517513,0.5,1,1.0000041608213905,3.9866935790014395,0.0,0.05391207000002396,0.9427613247503359,2,ual security against this mis chief. The choice of several,2,chief. The choice of several to form an intermediate body,. Promise and effect ual security against this mis,24.419999999999998,28.2
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,28.0,32.0,1,187,0,187,0.0581312585173929,enhanced_fileid_1_chunk4_gt187_pred187_idx0.wav,187,0.0,0.0,0.21062284799882036,0.21062284799882036,0.05265571199970509,3.7893771520011796,3.779156354999941,4.0,32.0,32.00011600200014,0.0001160020001407247,0.5,1,1.0000036250625044,3.9897792029987613,0.0,0.05265571199970509,0.9447890887499852,2,to form an intermediate body of electors.,1,of electors.,chief. The choice of several to form an intermediate body,28.5,29.439999999999998
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,32.0,36.0,1,36,0,36,0.07483392322884509,enhanced_fileid_2_chunk1_gt36_pred36_idx0.wav,36,0.0,0.0,0.2064149300003919,0.2064149300003919,0.051603732500097976,3.793585069999608,3.782094670999868,4.0,36.0,36.00006335599937,6.335599937301595e-05,0.5,1,1.0000017598888715,3.98850960100026,0.0,0.051603732500097976,0.945523667749967,2,Or washing or churning days.,3,Or washing or churning days. Her life was quiet and monoton,,32.26,36.379999999999995
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,36.0,40.0,1,36,0,36,0.10063147769052129,enhanced_fileid_2_chunk2_gt36_pred36_idx0.wav,36,0.0,0.0,0.2224614990009286,0.2224614990009286,0.05561537475023215,3.7775385009990714,3.7650152559999697,4.0,40.0,40.00005452100049,5.4521000492968597e-05,0.5,1,1.0000013630250124,3.9874767550008983,0.0,0.05561537475023215,0.9412538139999924,2,"Her life was quiet and monoton ous, although hardworking,",2,"ous, although hardworking, and while her hands mechanically found",Or washing or churning days. Her life was quiet and monoton,36.56,40.12
