fileid,mic_file,method,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.622,73,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_0/hark_fileid_0_mic_fileid_0_doa73_3spk_0.wav,oracle_wer,0,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.18421052631578946,7,38,5.771735906580668,-0.6398921595647324,-6.411628066145401,5.073146217806722,-26.88108366793452,-31.954229885741242,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but before his arrival life was extinct. The Count is insane with grief, for especially because the maid discovered that her lady ship had left a letter to some man she calls Nick. Tell her him that she loves him.",2.92886223800042,2.92886223800042,0.16620487107027693,0.16620487107027693,1
1,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,16.681375,187,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_1/hark_fileid_1_mic_fileid_1_doa82_3spk_1.wav,oracle_wer,1,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.1875,6,32,5.829855063155668,-0.828289602733622,-6.6581446658892895,4.59244970682772,-18.70739639435812,-23.299846101185842,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily conserved in the system under incinerations is promised an effectual security against this mischief. The choice of several deform an intermediate body of electors.,5.493524726000032,5.493524726000032,0.32932085790290266,0.32932085790290266,1
2,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.43025,36,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_2/hark_fileid_2_mic_fileid_2_doa36_3spk_2.wav,oracle_wer,2,,,6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.1951219512195122,8,41,4.8630525989175934,-2.1571491451017764,-7.02020174401937,5.015025205022463,-32.99721541343972,-38.01224061846218,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kinradale, his ways, his words.",4.906387297999117,4.906387297999117,0.28148691487495114,0.28148691487495114,1
3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,14.798375,39,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_3/hark_fileid_3_mic_fileid_3_doa39_3spk_0.wav,oracle_wer,0,,,4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.17647058823529413,6,34,5.072847499928963,-2.095772602136986,-7.168620102065949,4.855955909861741,-18.03238738673596,-22.8883432965977,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the potentials of consciousness type of thing. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolver, a psychoanalyst.",1.308475375999933,1.308475375999933,0.08842020667809358,0.08842020667809358,1
4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.334625,26,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_4/hark_fileid_4_mic_fileid_4_doa26_3spk_1.wav,oracle_wer,1,,,6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713934800098061,-1.2113926892550717,-5.9253274893531325,3.7972989837926012,-28.06312547516539,-31.86042445895799,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",1.523791001000518,1.523791001000518,0.09936930319460162,0.09936930319460162,1
5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.43125,338,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_5/hark_fileid_5_mic_fileid_5_doa60_3spk_2.wav,oracle_wer,2,,,5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.10256410256410256,4,39,4.106339356320506,-2.9374854079366246,-7.04382476425713,4.225767409513004,-18.770071289887166,-22.99583869940017,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert of master is, one mustn't let himself open to. Honsai didn't have time to complete the compliment. In the midst of the general silence, a voice came audible.",2.3528957019998415,2.3528957019998415,0.15247602767111165,0.15247602767111165,1
6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,15.101125,140,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_6/hark_fileid_6_mic_fileid_6_doa30_3spk_0.wav,oracle_wer,0,,,8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.6216216216216216,23,37,5.111479594831275,-1.368464927275899,-6.479944522107174,3.9260310816617237,-19.03962741051107,-22.965658492172793,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"He lived, and under his clothes, an old black coat. He made the tensions to literature and to materialism.",1.3482694429994808,1.3482694429994808,0.0892827152281357,0.0892827152281357,1
7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,13.9115,57,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_7/hark_fileid_7_mic_fileid_7_doa57_3spk_1.wav,oracle_wer,1,,,6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,0.13043478260869565,3,23,3.90807881016848,-1.3834217529257706,-5.29150056309425,2.2040777620315395,-20.516207029381693,-22.72028479141323,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car were fired from above and behind the machines. They slanted down, but not so much.",1.7622324950002621,1.7622324950002621,0.1266745135319888,0.1266745135319888,1
8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,17.153125,333,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_8/hark_fileid_8_mic_fileid_8_doa80_3spk_0.wav,oracle_wer,0,,,8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.3090909090909091,17,55,5.555608026290998,-1.14125679307491,-6.696864819365908,4.540893731610609,-25.682323205356752,-30.22321693696736,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how it was going on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, or we are obliged to keep the...",3.7312874739996005,3.7312874739996005,0.21752814568771583,0.21752814568771583,1
9,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,Official-HARK-LocalizeMUSIC-SourceTracker-GHDSS,1,16.73125,314,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_loc+sep+pf/official_hark_outputs/fileid_9/hark_fileid_9_mic_fileid_9_doa85_3spk_2.wav,oracle_wer,2,,,6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.46153846153846156,18,39,5.191030026824931,-1.658867387769754,-6.849897414594685,4.3212257971253365,-27.797968904891984,-32.119194702017325,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentleman submitted. Why did you invite yourself? Because a tea party is not complete without your elevator. Her manner was a strangely...,5.340983388000495,5.340983388000495,0.31922201796043304,0.31922201796043304,1
