fileid,chunk_index,mic_file,duration_sec,audio_start_sec,audio_end_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,ipdnet_sec,dsenet_sec,frontend_compute_sec,frontend_compute_rtf,frontend_compute_margin_sec,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,chunk_total_wall_sec,ipdnet_rtf,dsenet_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,0.0,4.0,3,"75,186,267",0,75,0.05990577835668565,enhanced_fileid_0_chunk1_pred75_idx0_loudest.wav,73,2.0,1.0256695860000207,1.030132167000005,2.0558017530000257,0.5139504382500064,1.9441982469999743,1.5253967510000166,4.0,4.0,4.000113161000002,0.00011316100000158258,0.5,1,1.0000282902500004,3.5811985040000422,0.25641739650000517,0.25753304175000125,0.38134918775000415,0,,1,but before his arrival might be fixed. The Pelt is,,0.24,4.18
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,4.0,8.0,3,"74,167,212",0,74,0.07228327965403028,enhanced_fileid_0_chunk2_pred74_idx0_loudest.wav,73,1.0,0.0910878020000041,0.6835863059999951,0.7746741079999993,0.1936685269999998,3.2253258920000007,3.1840073840000116,4.0,8.0,8.000105977000004,0.00010597700000403165,0.5,1,1.0000132471250005,3.958681492000011,0.022771950500001026,0.1708965764999988,0.7960018460000029,0,,0,,but before his arrival might be fixed. The Pelt is,,
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,8.0,12.0,3,"73,168,222",0,73,0.08117668857495668,enhanced_fileid_0_chunk3_pred73_idx0_loudest.wav,73,0.0,0.07685169799998448,0.6912259710000228,0.7680776690000073,0.19201941725000182,3.2319223309999927,3.1994301219999954,4.0,12.0,12.000107954000015,0.00010795400001484268,0.5,1,1.0000089961666678,3.9675077910000027,0.01921292449999612,0.1728064927500057,0.7998575304999989,0,,1,"with grief, more especially because the maid discovered that her ladyship had left a letter to some man she",,4.912,11.372
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,12.0,16.0,3,"89,181,269",1,181,0.005037135004622225,enhanced_fileid_0_chunk4_pred181_idx1_loudest.wav,73,108.0,0.09473017599998457,1.1811870370000008,1.2759172129999854,0.31897930324999635,2.7240827870000146,2.676122277000019,4.0,16.0,16.000105815000012,0.000105815000011944,0.5,1,1.0000066134375007,3.952039490000004,0.023682543999996142,0.2952967592500002,0.6690305692500047,3,"with grief, more especially because the maid discovered that her ladyship had left a letter to some man she ( laughing)",2,( laughing),"with grief, more especially because the maid discovered that her ladyship had left a letter to some man she",12.34,14.26
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,16.0,20.0,3,"78,189,277",1,189,0.052467091661060214,enhanced_fileid_1_chunk1_pred189_idx1_loudest.wav,187,2.0,0.07474574200000461,0.7130031430000088,0.7877488850000134,0.19693722125000335,3.2122511149999866,3.1737110960000052,4.0,20.0,20.000410795000022,0.0004107950000218352,0.5,1,1.000020539750001,3.9614599810000186,0.018686435500001153,0.1782507857500022,0.7934277740000013,1,But the precautions which,2,But the precautions which have been so happily concerted in,,16.240000000000002,19.48
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,20.0,24.0,3,"85,188,277",1,188,0.051264413844618606,enhanced_fileid_1_chunk2_pred188_idx1_loudest.wav,187,1.0,0.10278231500001311,0.985774097999979,1.088556412999992,0.272139103249998,2.911443587000008,2.8350720630000126,4.0,24.0,24.00089086600002,0.0008908660000201962,0.5,1,1.0000371194166675,3.9236284760000046,0.02569557875000328,0.24644352449999474,0.7087680157500031,1,the system under consideration.,2,the system under consideration. Promise and effectual security against,But the precautions which have been so happily concerted in,19.56,23.46
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,24.0,28.0,3,"87,189,276",1,189,0.04253920146150046,enhanced_fileid_1_chunk3_pred189_idx1_loudest.wav,187,2.0,0.09414754200000175,0.93268223299998,1.0268297749999817,0.25670744374999543,2.9731702250000183,2.9354324159999976,4.0,28.0,28.000170303000004,0.00017030300000442367,0.5,1,1.00000608225,3.9622621909999793,0.023536885500000437,0.233170558249995,0.7338581039999994,1,this mission.,2,this mission. The choice of several Department,the system under consideration. Promise and effectual security against,23.94,26.86
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,28.0,32.0,3,"83,187,271",1,187,0.02587167576490396,enhanced_fileid_1_chunk4_pred187_idx1_loudest.wav,187,0.0,0.09672524000001204,0.8768875789999981,0.9736128190000102,0.24340320475000254,3.02638718099999,2.989298434999995,4.0,32.0,32.000117570000015,0.00011757000001466622,0.5,1,1.0000036740625005,3.962911254000005,0.02418131000000301,0.21922189474999954,0.7473246087499987,2,Intermediate Biomelectures .,2,Intermediate Biomelectures .,this mission. The choice of several Department,27.52,29.281000000000002
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,32.0,36.0,3,"43,126,308",0,43,0.0365128836476789,enhanced_fileid_2_chunk1_pred43_idx0_loudest.wav,36,7.0,0.10651353299999755,0.8864621149999721,0.9929756479999696,0.2482439119999924,3.0070243520000304,2.949538973000017,4.0,36.0,36.00005313,5.312999999773638e-05,0.5,1,1.0000014758333333,3.9425146209999866,0.026628383249999388,0.22161552874999302,0.7373847432500042,1,Or washing or turning,2,Or washing or turning days. Her life was,,32.18,35.44
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,36.0,40.0,3,"46,125,318",0,46,0.04140894965371328,enhanced_fileid_2_chunk2_pred46_idx0_loudest.wav,36,10.0,0.08479415800002243,0.8752202880000084,0.9600144460000308,0.2400036115000077,3.039985553999969,2.996932233000024,4.0,40.0,40.00010804300001,0.00010804300001154843,0.5,1,1.0000027010750003,3.9569466790000547,0.02119853950000561,0.2188050720000021,0.749233058250006,2,"quiet and monotonous, although hard working.",3,"quiet and monotonous, although hard working. Have you all had breakfast?",Or washing or turning days. Her life was,35.68,39.6
