fileid,chunk_index,mic_file,duration_sec,audio_start_sec,audio_end_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,ipdnet_sec,dsenet_sec,frontend_compute_sec,frontend_compute_rtf,frontend_compute_margin_sec,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,chunk_total_wall_sec,ipdnet_rtf,dsenet_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,0.0,4.0,3,"75,186,267",0,75,0.05990577835668565,enhanced_fileid_0_chunk1_pred75_idx0_loudest.wav,73,2.0,0.9106520580000108,1.057012785000012,1.9676648430000228,0.4919162107500057,2.0323351569999772,1.7366643109999984,4.0,4.0,4.000247779000006,0.00024777900000572117,0.5,1,1.0000619447500014,3.704329154000021,0.2276630145000027,0.264253196250003,0.4341660777499996,0,,1,"but before his arrival, my perfect state compelled his insane",,0.24,4.36
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,4.0,8.0,3,"74,167,212",0,74,0.07228327965403028,enhanced_fileid_0_chunk2_pred74_idx0_loudest.wav,73,1.0,0.08898805100000118,0.8520375239999964,0.9410255749999976,0.2352563937499994,3.0589744250000024,3.0325498640000035,4.0,8.0,8.000085584000004,8.558400000424626e-05,0.5,1,1.0000106980000005,3.973575439000001,0.022247012750000295,0.2130093809999991,0.7581374660000009,0,,1,more especially because the maid discovered that her ladyship had left a letter,"but before his arrival, my perfect state compelled his insane",5.324,9.884
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,8.0,12.0,3,"73,168,222",0,73,0.08117668857495668,enhanced_fileid_0_chunk3_pred73_idx0_loudest.wav,73,0.0,0.1182844679999846,1.0039895509999894,1.122274018999974,0.2805685047499935,2.877725981000026,2.792438814999997,4.0,12.0,12.000265012,0.0002650119999998424,0.5,1,1.0000220843333334,3.914712833999971,0.02957111699999615,0.25099738774999736,0.6981097037499993,2,"but before his arrival, my perfect state compelled his insane more especially because the maid discovered that her ladyship had left a letter",1,to some man she calls D.,more especially because the maid discovered that her ladyship had left a letter,10.760000000000002,12.400000000000002
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,12.0,16.0,3,"89,181,269",1,181,0.005037135004622225,enhanced_fileid_0_chunk4_pred181_idx1_loudest.wav,73,108.0,0.07889106100000731,0.783877283999999,0.8627683450000063,0.21569208625000158,3.1372316549999937,3.0857923820000224,4.0,16.0,16.001426151000004,0.0014261510000039834,0.5,1,1.0000891344375002,3.9485607270000287,0.019722765250001828,0.19596932099999975,0.7714480955000056,2,to some man she calls D. I,2,I 'm not sure.,to some man she calls D.,12.401000000000002,15.260000000000002
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,16.0,20.0,3,"78,189,277",1,189,0.052467091661060214,enhanced_fileid_1_chunk1_pred189_idx1_loudest.wav,187,2.0,0.08789022600001317,0.7733680769999864,0.8612583029999996,0.2153145757499999,3.1387416970000004,3.1033591839999985,4.0,20.0,20.001092004000014,0.0010920040000144127,0.5,1,1.0000546002000008,3.964617486999998,0.021972556500003293,0.1933420192499966,0.7758397959999996,2,'m not sure. But the precautions which have been so happily,2,But the precautions which have been so happily concerted in the system under consideration,,16.16,20.240000000000002
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,20.0,24.0,3,"85,188,277",1,188,0.051264413844618606,enhanced_fileid_1_chunk2_pred188_idx1_loudest.wav,187,1.0,0.08191457699999205,0.7890004839999847,0.8709150609999767,0.21772876524999418,3.1290849390000233,3.0920267500000023,4.0,24.0,24.000169967000005,0.0001699670000050446,0.5,1,1.0000070819583335,3.962941810999979,0.020478644249998013,0.19725012099999617,0.7730066875000006,2,concerted in the system under consideration . Promise and effect,2,. Promise and effect ual security against this mission,But the precautions which have been so happily concerted in the system under consideration,21.240000000000002,24.18
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,24.0,28.0,3,"87,189,276",1,189,0.04253920146150046,enhanced_fileid_1_chunk3_pred189_idx1_loudest.wav,187,2.0,0.08135883099998864,0.7647928019999881,0.8461516329999768,0.2115379082499942,3.1538483670000232,3.125329660999995,4.0,28.0,28.000629293000003,0.0006292930000029173,0.5,1,1.0000224747500002,3.9714812939999717,0.02033970774999716,0.19119820049999703,0.7813324152499987,2,"ual security against this mission , the choice of several",2,", the choice of several to form an intermediate body of",. Promise and effect ual security against this mission,24.8,28.48
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,28.0,32.0,3,"83,187,271",1,187,0.02587167576490396,enhanced_fileid_1_chunk4_pred187_idx1_loudest.wav,187,0.0,0.08221983800001453,0.781052217999985,0.8632720559999996,0.2158180139999999,3.1367279440000004,3.1012617660000217,4.0,32.0,32.000124787000004,0.00012478700000428944,0.5,1,1.0000038995937501,3.9645338220000212,0.020554959500003633,0.19526305449999626,0.7753154415000054,2,to form an intermediate body of electors.,1,electors.,", the choice of several to form an intermediate body of",28.74,29.4
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,32.0,36.0,3,"43,126,308",0,43,0.0365128836476789,enhanced_fileid_2_chunk1_pred43_idx0_loudest.wav,36,7.0,0.07852879800000778,0.781811164000004,0.8603399620000118,0.21508499050000296,3.139660037999988,3.0883855219999816,4.0,36.0,36.00052420100002,0.0005242010000188202,0.5,1,1.0000145611388893,3.9487254839999935,0.019632199500001946,0.195452791000001,0.7720963804999954,2,Or washing or turning days.,3,Or washing or turning days. Her life was quiet and without end,,32.24,36.44
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,36.0,40.0,3,"46,125,318",0,46,0.04140894965371328,enhanced_fileid_2_chunk2_pred46_idx0_loudest.wav,36,10.0,0.08133410900001081,0.7671438609999939,0.8484779700000047,0.21211949250000117,3.1515220299999953,3.115859889999996,4.0,40.0,40.000270117000014,0.0002701170000136699,0.5,1,1.0000067529250003,3.9643378600000005,0.020333527250002703,0.19178596524999847,0.778964972499999,2,Her life was quiet and without end . Although hard working.,2,. Although hard working. Have you heard of it?,Or washing or turning days. Her life was quiet and without end,37.12,39.62
