fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,sepformer_source,separated_source_index,oracle_match_si_sdr,enhanced_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,sepformer_sec,whisper_sec,metrics_sec,total_sec,sepformer_rtf,whisper_rtf,metrics_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,SepFormer-sepformer-libri3mix,1,17.622,73,1,speechbrain/sepformer-libri3mix,0,3.2258870063943004,,text_fileid_0_doa73_spk1.txt,0.34210526315789475,13,38,4.8832173347473145,6.704563617706299,1.8213462829589844,4.86379861831665,3.243579387664795,-1.6202192306518555,1.3355612754821777,1.4452768564224243,0.10971558094024658,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But the knowledge arrived on the last extinct. The count is insane with grief, or especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him. What did he say? Ask Grail.",1.1541687680000905,1.3761877730012202,0.6130024730009609,3.1433590140022716,0.06549590103280505,0.07809486851669618,0.03478620321194875,0.17837697276144998,1
1,mic_fileid_1_doa82_3spk.wav,SepFormer-sepformer-libri3mix,1,16.681375,187,1,speechbrain/sepformer-libri3mix,2,9.1669883814273,,text_fileid_1_doa187_spk1.txt,0.1875,6,32,4.6262102127075195,9.79931926727295,5.17310905456543,4.592447757720947,9.17028522491455,4.5778374671936035,1.2753520011901855,1.855650782585144,0.5802987813949585,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,but the precautions which have been so happily concerted in the system of consideration promised to effectual security against this mystery. The choice of several perform an intermediate body of electors.,0.41223827000067104,0.3585314819993073,0.24351251000007323,1.0142822620000516,0.02471248742988339,0.021492921416808104,0.014597867981510712,0.06080327682820221,1
2,mic_fileid_2_doa36_3spk.wav,SepFormer-sepformer-libri3mix,1,17.43025,36,1,speechbrain/sepformer-libri3mix,2,10.917075316018456,,text_fileid_2_doa36_spk1.txt,0.36585365853658536,15,41,5.0097336769104,11.704967498779297,6.6952338218688965,5.002055644989014,10.917025566101074,5.9149699211120605,1.2396373748779297,1.7496110200881958,0.5099736452102661,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing fortunes. Her life was quiet and monotonous, although hardworking, and while her hands mechanically bound and did the repussing labor, the thoughts that rose in her hands were recentered on Charlie's home grave. His ways, his words.",0.5871124409986805,0.6040598729996418,0.3669489519998024,1.5581212659981247,0.03368353529058278,0.03465583528633506,0.021052420475885448,0.0893917910528033,1
3,mic_fileid_3_doa39_3spk.wav,SepFormer-sepformer-libri3mix,1,14.798375,39,1,speechbrain/sepformer-libri3mix,0,13.359751518391384,,text_fileid_3_doa39_spk1.txt,0.3235294117647059,11,34,4.865467071533203,14.312697410583496,9.447230339050293,4.855953216552734,13.359732627868652,8.503779411315918,1.2316536903381348,2.149622678756714,0.9179689884185791,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be out of this thing. What if a newer theory, one held by Dr. Louis R. Wolver, a psychoanalyst.",0.47064778300045873,0.48175022499890474,0.25772315399990475,1.2101211619992682,0.031804017873615094,0.032554265248644174,0.017415638811687416,0.08177392193394668,1
4,mic_fileid_4_doa26_3spk.wav,SepFormer-sepformer-libri3mix,1,15.334625,26,1,speechbrain/sepformer-libri3mix,1,5.014828159621096,,text_fileid_4_doa26_spk1.txt,0.25,8,32,3.8145864009857178,6.680703163146973,2.866116762161255,3.7973413467407227,5.014773368835449,1.2174320220947266,1.250014066696167,1.3984633684158325,0.14844930171966553,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen in the court.",0.48226564899960067,0.46870635300001595,0.26118526099890005,1.2121572629985167,0.03144945826843504,0.030565230841968157,0.017032386576059086,0.07904707568646228,1
5,mic_fileid_5_doa60_3spk.wav,SepFormer-sepformer-libri3mix,1,15.43125,338,1,speechbrain/sepformer-libri3mix,0,4.863212872262529,,text_fileid_5_doa338_spk1.txt,0.48717948717948717,19,39,4.235630512237549,6.8891377449035645,2.6535072326660156,4.225747108459473,4.857591152191162,0.6318440437316895,1.1749225854873657,1.252074122428894,0.07715153694152832,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being experts masters, one must play insult open to. How say you didn't have time to complete the rule of mind? And then midst of the general silence of voice being awful.",0.49679401600042183,0.5043919409999944,0.2893146529986552,1.2905006099990715,0.03219402290808728,0.03268639552855371,0.018748620688450724,0.0836290391250917,1
6,mic_fileid_6_doa30_3spk.wav,SepFormer-sepformer-libri3mix,1,15.101125,140,1,speechbrain/sepformer-libri3mix,1,8.423062769400993,,text_fileid_6_doa140_spk1.txt,0.5135135135135135,19,37,3.961557626724243,10.19237995147705,6.230822324752808,3.953115940093994,8.42111873626709,4.468002796173096,1.213527798652649,1.3640522956848145,0.15052449703216553,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"Even with bottles and under his bottles and a bowl of black coat, they made for reference the literature and the materials. There were several names which were often pronounced to support whatever things she might be selling. Voltaire.",0.49356827900010103,0.525613693998821,0.29341338599988376,1.3125953589988058,0.0326842059118179,0.034806260725530114,0.019429902474145718,0.08692036911149373,1
7,mic_fileid_7_doa57_3spk.wav,SepFormer-sepformer-libri3mix,1,13.9115,57,1,speechbrain/sepformer-libri3mix,1,6.483984956133831,,text_fileid_7_doa57_spk1.txt,0.34782608695652173,8,23,2.229769468307495,7.979200839996338,5.749431371688843,2.2040748596191406,6.973643779754639,4.769568920135498,1.1526575088500977,1.576842188835144,0.4241846799850464,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those gold-tall people in the back of the car fired from the clouds and hired the machines. They slanted down, but not side-to-side.",0.4644813550003164,0.3817605090007419,0.23248884799977532,1.0787307120008336,0.03338830140533489,0.027442080940282634,0.016711989936367418,0.07754237228198495,1
8,mic_fileid_8_doa80_3spk.wav,SepFormer-sepformer-libri3mix,1,17.153125,333,1,speechbrain/sepformer-libri3mix,1,10.645370996363926,,text_fileid_8_doa333_spk1.txt,0.16363636363636364,9,55,5.1611785888671875,11.052127838134766,5.890949249267578,5.142127990722656,10.572959899902344,5.4308319091796875,1.2348089218139648,2.3352723121643066,1.1004633903503418,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"and wanted to learn the game. At two o'clock, the captain asked the mate how he was getting on. Oh, pretty quick, sir, replied the mate. He can scarcely tell what headway we are making, or rear of lives to keep the middle of the river, and there is the shadow of a fog rising.",0.6073235629992269,0.7699529490000714,0.3498757260003913,1.7271522379996895,0.03540600112219942,0.04488703656039768,0.020397200276940284,0.10069023795953738,1
9,mic_fileid_9_doa85_3spk.wav,SepFormer-sepformer-libri3mix,1,16.73125,314,1,speechbrain/sepformer-libri3mix,1,9.716495164779705,,text_fileid_9_doa314_spk1.txt,0.358974358974359,14,39,4.034686088562012,11.122966766357422,7.08828067779541,4.0257954597473145,9.730131149291992,5.704335689544678,1.1800642013549805,1.6979879140853882,0.5179237127304077,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The next gentleman submitted. Why did you invite yourself? Because a tea party is not complete without a command. Commander was an estranged re-altered at her looks. The choose to find herself at a moment I clearly saw.,0.589246016999823,0.49556417600069835,0.2697563469992019,1.3545665399997233,0.035218290145674895,0.029619076638069383,0.016122904564763656,0.08096027134850793,1
