fileid,chunk_index,mic_file,duration_sec,input_channels,input_audio_mode,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
0,1,mic_fileid_0_doa73_3spk_1.wav,4.0,4,mean_all_channels,0.0,4.0,73,3.968126084000005,4.0,4.0,4.000134969000001,0.00013496900000120604,0.5,1,1.0000337422500003,0.9920315210000012,0,,1,"But you know it's a rivalry, life is extinct",,0.22,2.24
0,2,mic_fileid_0_doa73_3spk_2.wav,4.0,4,mean_all_channels,4.0,8.0,73,3.9759731669999994,4.0,8.0,8.000118476000004,0.00011847600000436387,0.5,1,1.0000148095000005,0.9939932917499998,0,,1,"is insane with grief, especially because they discovered","But you know it's a rivalry, life is extinct",4.08,7.42
0,3,mic_fileid_0_doa73_3spk_3.wav,4.0,4,mean_all_channels,8.0,12.0,73,3.9826181799999887,4.0,12.0,12.000199633000001,0.0001996330000011426,0.5,1,1.0000166360833334,0.9956545449999972,3,"But you know it's a rivalry, life is extinct is insane with grief, especially because they discovered That relationship has left a letter to",2,That relationship has left a letter to some man she calls Dick.,"is insane with grief, especially because they discovered",8.536,12.296
0,4,mic_fileid_0_doa73_3spk_4.wav,4.0,4,mean_all_channels,12.0,16.0,73,3.979091523000008,4.0,16.0,16.000280533,0.00028053300000152603,0.5,1,1.0000175333125,0.994772880750002,2,some man she calls Dick. Telling him that she loved him,2,Telling him that she loved him . What did he say?,That relationship has left a letter to some man she calls Dick.,13.1,15.52
1,1,mic_fileid_1_doa82_3spk_1.wav,4.0,4,mean_all_channels,16.0,20.0,187,3.9787786360000013,4.0,20.0,20.000263014999994,0.00026301499999448197,0.5,1,1.0000131507499996,0.9946946590000003,2,. What did he say? But it's hard to which I've been so happily,2,But it's hard to which I've been so happily presented with this to the considerations,,16.22,20.22
1,2,mic_fileid_1_doa82_3spk_2.wav,4.0,4,mean_all_channels,20.0,24.0,187,3.9775296149999946,4.0,24.0,24.000261265,0.0002612649999989003,0.5,1,1.0000108860416665,0.9943824037499986,2,"presented with this to the considerations , was promised more effect",2,", was promised more effect ual security.",But it's hard to which I've been so happily presented with this to the considerations,20.98,23.6
1,3,mic_fileid_1_doa82_3spk_3.wav,4.0,4,mean_all_channels,24.0,28.0,187,3.9744826000000018,4.0,28.0,28.000160595000004,0.00016059500000409344,0.5,1,1.0000057355357144,0.9936206500000004,2,ual security. The choice of several,2,The choice of several to form an intermediate body,", was promised more effect ual security.",23.74,28.18
1,4,mic_fileid_1_doa82_3spk_4.wav,4.0,4,mean_all_channels,28.0,32.0,187,3.9812634900000035,4.0,32.0,32.00026863200001,0.00026863200000804,0.5,1,1.0000083947500003,0.9953158725000009,2,to form an intermediate body of electors.,2,of electors. Brought the western,The choice of several to form an intermediate body,28.54,29.8
2,1,mic_fileid_2_doa36_3spk_1.wav,4.0,4,mean_all_channels,32.0,36.0,36,3.9798900550000127,4.0,36.0,36.00027261500001,0.0002726150000071925,0.5,1,1.000007572638889,0.9949725137500032,2,Brought the western part of the city,2,part of the city .,,33.4,34.800999999999995
2,2,mic_fileid_2_doa36_3spk_2.wav,4.0,4,mean_all_channels,36.0,40.0,36,3.980569637000002,4.0,40.0,40.004479337,0.0044793369999993615,0.5,1,1.000111983425,0.9951424092500005,2,". Her life was quiet in the mountains, although hard-working,",2,"Her life was quiet in the mountains, although hard-working, and while her hands mechanically found",part of the city .,35.26,40.06
2,3,mic_fileid_2_doa36_3spk_3.wav,4.0,4,mean_all_channels,40.0,44.0,36,3.971629187000005,4.0,44.0,44.001119546999995,0.001119546999994725,0.5,1,1.0000254442499998,0.9929072967500012,2,"and while her hands mechanically found and did their accustomed labor,",2,"and did their accustomed labor, the thoughts that rose in her head from the recent","Her life was quiet in the mountains, although hard-working, and while her hands mechanically found",40.44,44.24
2,4,mic_fileid_2_doa36_3spk_4.wav,4.0,4,mean_all_channels,44.0,48.0,36,3.979630358999998,4.0,48.0,48.00072707100001,0.000727071000007129,0.5,1,1.0000151473125,0.9949075897499995,2,the thoughts that rose in her head from the recent trial that brought the,2,trial that brought the aviation to the gallery.,"and did their accustomed labor, the thoughts that rose in her head from the recent",44.54,48.36
2,5,mic_fileid_2_doa36_3spk_5.wav,4.0,4,mean_all_channels,48.0,52.0,36,3.977781426000007,4.0,52.0,52.000485266000005,0.0004852660000054243,0.5,1,1.0000093320384615,0.9944453565000018,2,aviation to the gallery. His words.,1,His words.,trial that brought the aviation to the gallery.,48.361,48.5
3,1,mic_fileid_3_doa39_3spk_1.wav,4.0,4,mean_all_channels,52.0,56.0,39,3.9722352070000113,4.0,56.0,56.000352131999996,0.00035213199999617473,0.5,1,1.0000062880714284,0.9930588017500028,2,Which takes over the spiritual studio of consciousness,3,Which takes over the spiritual studio of consciousness type of thing. It is inspired,,52.06,56.42
3,2,mic_fileid_3_doa39_3spk_2.wav,4.0,4,mean_all_channels,56.0,60.0,39,3.9671890500000018,4.0,60.0,60.000283204999995,0.00028320499999523463,0.5,1,1.0000047200833333,0.9917972625000004,2,type of thing. It is inspired that the process may be out of this,2,that the process may be out of this . One of the newer theories,Which takes over the spiritual studio of consciousness type of thing. It is inspired,56.9,60.26
3,3,mic_fileid_3_doa39_3spk_3.wav,4.0,4,mean_all_channels,60.0,64.0,39,3.9732740219999982,4.0,64.0,64.00021613199999,0.00021613199999137578,0.5,1,1.0000033770624999,0.9933185054999996,2,". One of the newer theories , one held by Dr. Lewis",2,", one held by Dr. Lewis R. Wolver, a psycho",that the process may be out of this . One of the newer theories,61.2,64.3
3,4,mic_fileid_3_doa39_3spk_4.wav,4.0,4,mean_all_channels,64.0,68.0,39,3.979351163000004,4.0,68.0,68.00019225899999,0.000192258999987871,0.5,1,1.000002827338235,0.994837790750001,2,"R. Wolver, a psycho analyst.",2,analyst. The,", one held by Dr. Lewis R. Wolver, a psycho",64.54,65.421
