fileid,sep,speaker_id,gt_doa,pred_doa,doa_error_deg,candidate_pred_doas,mic_file,clean_file,text_file,width,duration_sec,ref_channel,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_pesq,pesq,pesq_i,wer,edit_distance,ref_words,ipdnet_sec,dsenet_sec,whisper_sec,total_sec,enhanced_wav,reference,hypothesis
0,5,1,202,204,2.0,"20,28,204",mic_fileid_0_doa202_sep5_3spk.wav,clean_fileid_0_doa202_sep5_spk1.wav,text_fileid_0_doa202_sep5_spk1.txt,30,16.969375,0,-1.9980247020721436,1.3276268243789673,3.325651526451111,-2.027376651763916,1.273894190788269,3.301270842552185,1.051755428314209,1.2471729516983032,0.19541752338409424,1.0,38,38,0.875750064000016,2.073750133333334,1.0913563729999964,4.0408565703333466,,AND TO HAVE THEIR LIVES BLOWN HITHER AND THITHER LIKE EMPTY SHIPS IN WHICH NO WILL WAS PRESENT IT WAS NOT TO BE SO WITH HER SHE WOULD NO LONGER BE SACRIFICED TO CREATURES WORTH LESS THAN HERSELF,"But would you be in one side? A man, a series of walking, a pen exchange for a wearer of wine and a fulgent day to those who are worse than herself is like the growth of faculty."
0,5,2,207,204,3.0,"20,28,204",mic_fileid_0_doa207_sep5_3spk.wav,clean_fileid_0_doa207_sep5_spk2.wav,text_fileid_0_doa207_sep5_spk2.txt,30,16.969375,0,-4.027314186096191,-1.0904285907745361,2.9368855953216553,-4.061092853546143,-1.1646158695220947,2.896476984024048,1.0596414804458618,1.115363359451294,0.05572187900543213,0.8484848484848485,28,33,0.875750064000016,2.073750133333334,0.4212668079999844,3.3707670053333345,,BY WHICH HIS DIM BLURRED SIGHT OF MEN AS TREES WALKING HAD BEEN EXCHANGED FOR CLEAR OUTLINE AND EFFULGENT DAY THE GROWTH OF HIGHER FEELING WITHIN US IS LIKE THE GROWTH OF FACULTY,"But would you be in one side? A man, a series of walking, a pen exchange for a wearer of wine and a fulgent day to those who are worse than herself is like the growth of faculty."
0,5,3,22,20,2.0,"20,28,204",mic_fileid_0_doa22_sep5_3spk.wav,clean_fileid_0_doa22_sep5_spk3.wav,text_fileid_0_doa22_sep5_spk3.txt,30,16.969375,0,-2.546715021133423,13.552184104919434,16.098899126052856,-2.5692269802093506,13.471373558044434,16.040600538253784,1.0909816026687622,2.516862154006958,1.4258805513381958,0.058823529411764705,2,34,0.875750064000016,2.073750133333334,0.3995679779999932,3.3490681753333433,,BOTH STILL THIS SIDE OF MIDDLE LIFE RESIDING UNDER THEIR ROOF YOU WOULD FIND AN OLD GENTLEMAN OF ARISTOCRATIC AIR AND VENERABLE ASPECT WITHAL CHATTY AND CHEERFUL WHO WOULD CONDUCT YOU AROUND THE CORRALES,"Both still this side of middle life. Residing under their roof, you would find an old gentleman of aristocratic air and venerable aspect, with all chatty and cheerful, who would conduct you around the corrales."
1,5,1,35,34,1.0,"17,34,40",mic_fileid_1_doa35_sep5_3spk.wav,clean_fileid_1_doa35_sep5_spk1.wav,text_fileid_1_doa35_sep5_spk1.txt,30,15.825875,0,-3.59977650642395,-0.046829525381326675,3.5529469810426235,-3.6403565406799316,-0.11342862248420715,3.5269279181957245,1.067612886428833,1.1060519218444824,0.038439035415649414,1.4210526315789473,54,38,0.2794468360000053,1.6392190503333286,0.539168262000004,2.4578341483333377,,THAT DIDN'T MEAN THAT SHE ATTACHED VERY MUCH IMPORTANCE TO HER RECENTLY ACQUIRED VOTE SHE EVIDENTLY CLASSIFIED VOTERS INTO THE IRRESPONSIBLE WHO JUST HAD VOTES AND THE RESPONSIBLE WHO ALSO HAD A CONSIDERABLE AMOUNT OF PROPERTY AS WELL,"At the end of the week, he wrote his best with his men and his men to silence. The correct related the incident to the economic son of the police, who sent his little shepherd, Peter Brady, right before him, ordered his attendant to let him eat the domestic, and to give him two piazzas a month."
1,5,2,40,40,0.0,"17,34,40",mic_fileid_1_doa40_sep5_3spk.wav,clean_fileid_1_doa40_sep5_spk2.wav,text_fileid_1_doa40_sep5_spk2.txt,30,15.825875,0,-4.353923320770264,-0.43364217877388,3.9202811419963837,-4.414755344390869,-0.4965144395828247,3.9182409048080444,1.1183596849441528,1.2918171882629395,0.17345750331878662,0.423728813559322,25,59,0.2794468360000053,1.6392190503333286,0.5167862630000002,2.435452149333334,,AT THE END OF A WEEK HE WROTE AS WELL WITH THIS PEN AS WITH THE STYLUS THE CURATE RELATED THE INCIDENT TO THE COUNT OF SAN FELICE WHO SENT FOR THE LITTLE SHEPHERD MADE HIM READ AND WRITE BEFORE HIM ORDERED HIS ATTENDANT TO LET HIM EAT WITH THE DOMESTICS AND TO GIVE HIM TWO PIASTRES A MONTH,"At the end of the week, he wrote his best with his men and his men to silence. The correct related the incident to the National Police, who sent a little shepherd, and created right before him, ordered his attendant to let him eat the domestic, and to give him two piazzas a month."
1,5,3,215,17,162.0,"17,34,40",mic_fileid_1_doa215_sep5_3spk.wav,clean_fileid_1_doa215_sep5_spk3.wav,text_fileid_1_doa215_sep5_spk3.txt,30,15.825875,0,-1.1848793029785156,-19.97886848449707,-18.793989181518555,-1.2171992063522339,-42.33525085449219,-41.118051648139954,1.0865063667297363,1.4259618520736694,0.3394554853439331,1.0,34,34,0.2794468360000053,1.6392190503333286,0.42779553599999076,2.3464614223333244,,WHEN FOREIGN DISTRESSES CAME TO BE FELT BY US THROUGH THE CHANNELS OF COMMERCE WE SET OURSELVES TO APPLY REMEDIES SUBSCRIPTIONS WERE MADE FOR THE EMIGRANTS AND MERCHANTS BANKRUPT BY THE FAILURE OF TRADE,
2,5,1,88,89,1.0,"89,93,266",mic_fileid_2_doa88_sep5_3spk.wav,clean_fileid_2_doa88_sep5_spk1.wav,text_fileid_2_doa88_sep5_spk1.txt,30,14.5685,0,-1.8740737438201904,1.3307050466537476,3.204778790473938,-1.9228274822235107,1.2667028903961182,3.189530372619629,1.0713584423065186,1.1561464071273804,0.08478796482086182,0.696969696969697,23,33,0.23216072200000326,1.5378444736666665,0.335741339000009,2.105746534666679,,BUT WHY DOES EVERYBODY IN THESE MOUNTAINS WANT TO KNOW MY NAME YOU HEERD ME YES THE FISHERMAN TURNED AGAIN AND SAW THE GIANT'S RUGGED FACE STERN AND PALE WITH OPEN ANGER NOW,"But why does everybody these mounts work in the homemade? The fishman turned again, saw the giant rugged caster and flew over those that ate them down."
2,5,2,93,93,0.0,"89,93,266",mic_fileid_2_doa93_sep5_3spk.wav,clean_fileid_2_doa93_sep5_spk2.wav,text_fileid_2_doa93_sep5_spk2.txt,30,14.5685,0,-4.079390048980713,-1.6802809238433838,2.399109125137329,-4.129890441894531,-1.7544670104980469,2.3754234313964844,1.1532342433929443,1.1727042198181152,0.0194699764251709,1.0,27,27,0.23216072200000326,1.5378444736666665,0.2972029440000199,2.0672081396666897,,THE HOLIEST AND MOST EVANESCENT OF THOSE DELICATE TRAITS AND UTTERANCES OF THE SOUL WHICH TO ONE WHO DOES NOT KNOW THE HIGHEST SEEM LIKE BLISS ITSELF,"But why does everybody these mounts work in the homemade? The fish in the tent again, some giant rugged caster, and you over those that they found."
2,5,3,268,266,2.0,"89,93,266",mic_fileid_2_doa268_sep5_3spk.wav,clean_fileid_2_doa268_sep5_spk3.wav,text_fileid_2_doa268_sep5_spk3.txt,30,14.5685,0,-2.811997890472412,11.30330753326416,14.115305423736572,-2.8694450855255127,11.010032653808594,13.879477739334106,1.130136489868164,2.431123733520508,1.3009872436523438,0.058823529411764705,2,34,0.23216072200000326,1.5378444736666665,0.418447537999981,2.188452733666651,,AND WAS IN MY OPINION EXCELLENT IT ALSO KEPT GOOD THE WHOLE TIME THE CHOCOLATE CAME FROM A WORLD RENOWNED FIRM AND WAS BEYOND ALL PRAISE THE WHOLE SUPPLY WAS A VERY ACCEPTABLE GIFT,"and was, in my opinion, excellent. It also kept good the whole time. The chocolate came from a world-renowned firm and was beyond all praise. The whole supply was a very acceptable gift."
3,5,1,50,51,1.0,"8,51,231",mic_fileid_3_doa50_sep5_3spk.wav,clean_fileid_3_doa50_sep5_spk1.wav,text_fileid_3_doa50_sep5_spk1.txt,30,16.2135,0,-1.9932117462158203,2.0309479236602783,4.024159669876099,-2.025350570678711,1.9795689582824707,4.004919528961182,1.1862056255340576,1.4344645738601685,0.24825894832611084,0.11627906976744186,5,43,0.28568538899997975,1.8695392619999989,0.4690075809999996,2.6242322319999785,,THE DIGNIFIED WALKING STICKS THREE WALKING STICKS FROM THE FOREST HAD COME TO LIVE IN THE BIG MAPLE TREE NEAR THE MIDDLE OF THE MEADOW NOBODY KNEW EXACTLY WHY THEY HAD LEFT THE FOREST WHERE ALL THEIR SISTERS AND COUSINS AND AUNTS LIVED,"The dignified walking sticks, three walking sticks from the forest had come to live in the big maple tree near the middle of the meadow. Nobody knew exactly why they lived in the forest, or all their sisters and cousins in Ants lived."
3,5,2,55,51,4.0,"8,51,231",mic_fileid_3_doa55_sep5_3spk.wav,clean_fileid_3_doa55_sep5_spk2.wav,text_fileid_3_doa55_sep5_spk2.txt,30,16.2135,0,-4.979197025299072,-2.561452627182007,2.4177443981170654,-5.016410827636719,-2.683847427368164,2.3325634002685547,1.0472666025161743,1.0922850370407104,0.04501843452453613,0.9787234042553191,46,47,0.28568538899997975,1.8695392619999989,0.4488241500000072,2.604048800999986,,THUS DID SABELLIUS ARIUS AND THOSE FOOLS WHO HAVE BEEN EVEN AS SWORDS UNTO THE SCRIPTURES IN RENDERING DISTORTED THEIR STRAIGHT FACES NOR YET SHALL PEOPLE BE TOO CONFIDENT IN JUDGING EVEN AS HE IS WHO DOTH COUNT THE CORN IN FIELD OR EVER IT BE RIPE,"The dignified walking sticks, three walking sticks from the forest had come to live in the big maple tree near the middle of the meadow. Nobody knew exactly why they lived in the forest, or all their sisters and cousins in Ants lived."
3,5,3,230,231,1.0,"8,51,231",mic_fileid_3_doa230_sep5_3spk.wav,clean_fileid_3_doa230_sep5_spk3.wav,text_fileid_3_doa230_sep5_spk3.txt,30,16.2135,0,-2.3209075927734375,15.092267036437988,17.413174629211426,-2.3435418605804443,14.853352546691895,17.19689440727234,1.0944315195083618,3.109116554260254,2.014685034751892,0.024390243902439025,1,41,0.28568538899997975,1.8695392619999989,0.4871764300000052,2.642401080999984,,ONE DAY AS ERIC SAT IN THE PILOT'S SEAT HE SAID I THINK THAT I SEE ONE OF GUNNBIORN'S SHIPS OF ICE SHALL WE SAIL UP TO HER AND SEE WHAT KIND OF A CRAFT SHE IS YES SHOUTED HIS MEN,"One day, as Eric sat in the pilot's seat, he said, I think that I see one of Gunbeorn's ships of ice. Shall we sail up to her and see what kind of a craft she is? Yes, shouted his men."
4,5,1,139,139,0.0,"139,156,325",mic_fileid_4_doa139_sep5_3spk.wav,clean_fileid_4_doa139_sep5_spk1.wav,text_fileid_4_doa139_sep5_spk1.txt,30,17.6885,0,-0.5208314061164856,2.959650754928589,3.4804821610450745,-0.5402955412864685,2.9193341732025146,3.459629714488983,1.114722728729248,1.1990025043487549,0.08427977561950684,0.42424242424242425,14,33,0.31625479999999584,1.997861845333328,0.34327991199998564,2.6573965573333096,,WE CAN NO MORE WISH TO RETURN TO A NARROWER SYMPATHY THAN A PAINTER OR A MUSICIAN CAN WISH TO RETURN TO HIS CRUDER MANNER OR A PHILOSOPHER TO HIS LESS COMPLETE FORMULA,We can no more wish to return to an arrowless entity than a painter or a musician can wish to return to his crude or manner or philosophy to his left complete formula before I gave up my life.
4,5,2,144,139,5.0,"139,156,325",mic_fileid_4_doa144_sep5_3spk.wav,clean_fileid_4_doa144_sep5_spk2.wav,text_fileid_4_doa144_sep5_spk2.txt,30,17.6885,0,-5.138679027557373,-3.4345264434814453,1.7041525840759277,-5.170069694519043,-3.5041136741638184,1.6659560203552246,1.0954104661941528,1.1304442882537842,0.03503382205963135,0.851063829787234,40,47,0.31625479999999584,1.997861845333328,0.32185370900000976,2.6359703543333337,,AS HE SUNK TO THE FLOOR I WHEELED AROUND WITH MY BACK TOWARD THE NEAREST DESK EXPECTING TO BE OVERWHELMED BY THE VENGEANCE OF HIS FELLOWS BUT DETERMINED TO GIVE THEM AS GOOD A BATTLE AS THE UNEQUAL ODDS WOULD PERMIT BEFORE I GAVE UP MY LIFE,We can no more wish to return to an arrowless entity than a painter or a musician can wish to return to his crude or manner or philosophy to his left complete formula before I gave up my life.
4,5,3,319,325,6.0,"139,156,325",mic_fileid_4_doa319_sep5_3spk.wav,clean_fileid_4_doa319_sep5_spk3.wav,text_fileid_4_doa319_sep5_spk3.txt,30,17.6885,0,-4.8145060539245605,7.198705196380615,12.013211250305176,-4.852999687194824,7.147886753082275,12.0008864402771,1.1139311790466309,1.59035325050354,0.4764220714569092,0.11538461538461539,6,52,0.31625479999999584,1.997861845333328,0.47756931099999633,2.7916859563333203,,WITH OUR BODIES WOUNDED AND BLEEDING AND OUR HEARTS NO LESS THAN OUR BODIES ABOUT A MILE WE WENT THAT NIGHT UP UPON A HILL WITHIN SIGHT OF THE TOWN WHERE THEY INTENDED TO LODGE THERE WAS HARD BY A VACANT HOUSE DESERTED BY THE ENGLISH BEFORE FOR FEAR OF THE INDIANS,"With our bodies wounded and bleeding and our hearts no less than our bodies. About a mile we went that night up upon a hill within the site of the town where they intended to watch. There was hard, high a bank and house, deserted by the English before for fear of the Indians."
5,5,1,343,345,2.0,"164,324,345",mic_fileid_5_doa343_sep5_3spk.wav,clean_fileid_5_doa343_sep5_spk1.wav,text_fileid_5_doa343_sep5_spk1.txt,30,17.399875,0,-0.2168337106704712,2.9382293224334717,3.155063033103943,-0.22970916330814362,2.9206433296203613,3.150352492928505,1.1816352605819702,1.3978309631347656,0.2161957025527954,0.3170731707317073,13,41,0.27857620800000404,1.8389308013333334,0.4999759399999846,2.617482949333322,,THIS TRICK OF LURKING BENEATH THE ICE OF RIVER CREEK AND BROOK BUT MASTER MEADOW MOUSE WOULD HAVE HIS COLD DIP NOW AND THEN DESPITE PETER MINK AND HIS PROWLING WAYS TO BE SURE MASTER MEADOW MOUSE TRIED TO BE CAREFUL,"This trick of lurking beneath the ice of river, creek, and grove, but Master MetaMouse would have his gold dip now and then, despite it being in his prowling ways. To be sure, Master MetaMouse tried to be careful. Put down your bundle!"
5,5,2,348,345,3.0,"164,324,345",mic_fileid_5_doa348_sep5_3spk.wav,clean_fileid_5_doa348_sep5_spk2.wav,text_fileid_5_doa348_sep5_spk2.txt,30,17.399875,0,-4.694797039031982,-3.455761194229126,1.2390358448028564,-4.739530563354492,-3.5836148262023926,1.1559157371520996,1.1382403373718262,1.138145923614502,-9.441375732421875e-05,1.121212121212121,37,33,0.27857620800000404,1.8389308013333334,0.5068567819999998,2.6243637913333373,,REACHED THE ROOF THE MAN COULD NOT HAVE RAISED HIMSELF ON TIPTOE THE CARAVAN WAS JUST HIS SIZE COME IN SAID THE MAN WHO WAS URSUS THE CHILD ENTERED PUT DOWN YOUR BUNDLE,"This trick of lurking beneath the ice of river, creek, and grove, but Master MetaMouse would have his gold dip now and then, despite it being in his prowling ways. To be sure, Master MetaMouse tried to be careful. Put down your bundle!"
5,5,3,163,164,1.0,"164,324,345",mic_fileid_5_doa163_sep5_3spk.wav,clean_fileid_5_doa163_sep5_spk3.wav,text_fileid_5_doa163_sep5_spk3.txt,30,17.399875,0,-4.4147419929504395,14.431926727294922,18.84666872024536,-4.450071334838867,14.126291275024414,18.57636260986328,1.0571553707122803,2.7392029762268066,1.6820476055145264,0.0,0,31,0.27857620800000404,1.8389308013333334,0.32853378199999383,2.4460407913333313,,THEIR VIEWS WERE MORE SOLID AND PROFOUND THEY CONSIDERED THAT IN A VIOLENT ATTEMPT SUCH AS AN INVASION OF THE ANCIENT CONSTITUTION THE MORE LEISURE WAS AFFORDED THE PEOPLE TO REFLECT,"Their views were more solid and profound. They considered that in a violent attempt, such as an invasion of the ancient constitution, the more leisure was afforded the people to reflect."
6,5,1,216,217,1.0,"35,217,270",mic_fileid_6_doa216_sep5_3spk.wav,clean_fileid_6_doa216_sep5_spk1.wav,text_fileid_6_doa216_sep5_spk1.txt,30,17.627375,0,-4.273076057434082,-1.2247580289840698,3.048318028450012,-4.3444623947143555,-1.3041807413101196,3.040281653404236,1.0773686170578003,1.1275619268417358,0.05019330978393555,0.7804878048780488,32,41,0.2701980829999968,2.001100319333337,1.0042212950000078,3.275519697333342,,AND THAT MY MIND DID NOT GIVE WAY TO THE TERRORS OF THAT INKY BLACKNESS HAS BEEN A WONDER TO ME EVER SINCE THE PLACE WAS FILLED WITH CREEPING CRAWLING THINGS COLD SINUOUS BODIES PASSED OVER ME WHEN I LAY DOWN,"Often when most miserable I stand, or hold to my dreams, I'm just not a wonder to me how sense the place which is filled and grieving at the wrong place, or rather hours having its synonyms passed over me when I lay down."
6,5,2,221,217,4.0,"35,217,270",mic_fileid_6_doa221_sep5_3spk.wav,clean_fileid_6_doa221_sep5_spk2.wav,text_fileid_6_doa221_sep5_spk2.txt,30,17.627375,0,-2.8914706707000732,0.5212083458900452,3.4126790165901184,-2.940112352371216,0.3808612823486328,3.3209736347198486,1.1975430250167847,1.2310123443603516,0.033469319343566895,1.205128205128205,47,39,0.2701980829999968,2.001100319333337,3.684310968999995,5.955609371333329,,OFTEN WHEN MOST MISERABLE I SANK TO REPOSE AND MY DREAMS LULLED ME EVEN TO RAPTURE THE SPIRITS THAT GUARDED ME HAD PROVIDED THESE MOMENTS OR RATHER HOURS OF HAPPINESS THAT I MIGHT RETAIN STRENGTH TO FULFIL MY PILGRIMAGE,"And that I nobody mistreats. Of that佐men, and that И keep lying there upon a rammet. I set in wonder to combat him, for maybe I need to. The spirits that guarded me, provided from accomplish... for rather hours, I think sunset kinet Anakin's past over me when I lay die. ...no Interior��yn azining 침."
6,5,3,36,35,1.0,"35,217,270",mic_fileid_6_doa36_sep5_3spk.wav,clean_fileid_6_doa36_sep5_spk3.wav,text_fileid_6_doa36_sep5_spk3.txt,30,17.627375,0,-2.1702699661254883,11.972870826721191,14.14314079284668,-2.2355997562408447,11.699590682983398,13.935190439224243,1.1247317790985107,2.728219747543335,1.6034879684448242,0.17142857142857143,6,35,0.2701980829999968,2.001100319333337,0.4304484789999776,2.7017468813333116,,WHAT MAKETH THEE WEEP QUOTH SHE I HAD A CHILD AT MY NECK AND HE HATH FALLEN INTO THE WATER THEY ASKED WILT THOU THAT WE BRING HIM OUT TO THEE AND SHE ANSWERED YES,"was made as the weep. Quote she, I had a child at my neck, and he had fallen into the water. They asked, wilt thou that we bring him out to thee? And she answered, yes."
7,5,1,171,174,3.0,"102,174,312",mic_fileid_7_doa171_sep5_3spk.wav,clean_fileid_7_doa171_sep5_spk1.wav,text_fileid_7_doa171_sep5_spk1.txt,30,17.592625,0,-3.7319769859313965,-0.9344250559806824,2.797551929950714,-3.7560417652130127,-0.96236652135849,2.7936752438545227,1.0773053169250488,1.1321282386779785,0.05482292175292969,1.3225806451612903,41,31,0.30878012600001625,2.063749043333331,0.4616564700000083,2.8341856393333558,,AND TO THE SOUND OF BELLS VANKA RAN TO THE FIRST POST BOX AND SLIPPED HIS PRECIOUS LETTER INTO THE SLIT AN HOUR AFTERWARDS LULLED BY HOPE HE WAS SLEEPING SOUNDLY,"As though to spring, and snarling horribly, and making sure to have circles with lower head, and so all the while yowd piteously, by the window as though trying to draw the tap on himself. Then it was that the rush of the whole dreadful business"
7,5,2,176,174,2.0,"102,174,312",mic_fileid_7_doa176_sep5_3spk.wav,clean_fileid_7_doa176_sep5_spk2.wav,text_fileid_7_doa176_sep5_spk2.txt,30,17.592625,0,-1.9931623935699463,1.0578559637069702,3.0510183572769165,-2.0104291439056396,1.0400879383087158,3.0505170822143555,1.104764461517334,1.2162044048309326,0.11143994331359863,0.2,9,45,0.30878012600001625,2.063749043333331,0.46245851800000537,2.834987687333353,,AS THOUGH TO SPRING AGAIN SNARLING HORRIBLY AND MAKING SHORT HALF CIRCLES WITH LOWERED HEAD AND SMOKE ALL THE WHILE MEOWED PITEOUSLY BY THE WINDOW AS THOUGH TRYING TO DRAW THE ATTACK UPON HIMSELF THEN IT WAS THAT THE RUSH OF THE WHOLE DREADFUL BUSINESS,"As though to spring, and snarling horribly, and making sure to have circles with lower head, and so all the while yowd piteously, by the window as though trying to draw the tap on himself. Then it was that the rush of the whole dreadful business"
7,5,3,351,312,39.0,"102,174,312",mic_fileid_7_doa351_sep5_3spk.wav,clean_fileid_7_doa351_sep5_spk3.wav,text_fileid_7_doa351_sep5_spk3.txt,30,17.592625,0,-2.527379035949707,-29.13085174560547,-26.60347270965576,-2.5609641075134277,-37.63330078125,-35.07233667373657,1.1622918844223022,1.0884355306625366,-0.07385635375976562,1.0,36,36,0.30878012600001625,2.063749043333331,0.06541151900000841,2.437940688333356,,THERE ARE SOME OF US WHO WILL FOLLOW YOU WHEREVER YOU GO ERIC CALLED A MAN FROM ACROSS THE FIRE IS IT SO ERIC CRIED LEAPING UP OH THEN WE SHALL HAVE SOME MERRY TIMES YET,
