fileid,mic_file,method,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.622,73,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_0/enhanced_fileid_0_preddoa73_src1.wav,nearest_spk1_gt_doa,0,73,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.0,0,38,5.568976565673809,-1.8366718457711126,-7.405648411444922,4.86381545895434,-25.23312323784747,-30.096938696801807,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",1.2362386260001585,1.2362386260001585,0.07015313959823849,0.07015313959823849,1
1,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,16.681375,187,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_1/enhanced_fileid_1_preddoa189_src2.wav,nearest_spk1_gt_doa,1,189,2.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.0,0,32,5.829855063155668,-0.7364098817393367,-6.566264944895004,4.59244970682772,-18.775561758804344,-23.368011465632065,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system under consideration promise an effectual security against this mischief. The choice of several to form an intermediate body of electors.,0.3728899489997275,0.3728899489997275,0.022353669826361885,0.022353669826361885,1
2,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.43025,36,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_2/enhanced_fileid_2_preddoa45_src1.wav,nearest_spk1_gt_doa,0,45,9.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.17073170731707318,7,41,4.863127876344303,-1.5401562606274555,-6.403284136971759,5.014382224496274,-40.75352310054796,-45.76790532504423,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or trimming days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did their accustomed labor, the thoughts that Rose and her head always centered on Charlie Kinraid. His ways, his words.",0.5271392699996795,0.5271392699996795,0.030242783092593595,0.030242783092593595,1
3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,14.798375,39,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_3/enhanced_fileid_3_preddoa38_src1.wav,nearest_spk1_gt_doa,0,38,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.058823529411764705,2,34,5.07284422229962,-2.6970558595525906,-7.769900081852211,4.855952595968629,-17.31973846493409,-22.17569106090272,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.41068159400037985,0.41068159400037985,0.02775180342438814,0.02775180342438814,1
4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.334625,26,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_4/enhanced_fileid_4_preddoa25_src1.wav,nearest_spk1_gt_doa,0,25,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713929594974729,-1.9886878307947065,-6.702617425769436,3.7972942584249605,-38.88825607067169,-42.68555032909665,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.46118907399977616,0.46118907399977616,0.030075014811237713,0.030075014811237713,1
5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.43125,338,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_5/enhanced_fileid_5_preddoa334_src3.wav,nearest_spk1_gt_doa,2,334,4.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.07692307692307693,3,39,4.10632803653317,-2.9025054987431025,-7.008833535276272,4.225754297312408,-18.760275182029062,-22.986029479341468,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert as master is, one mustn't lay himself open to. Kong-sae didn't have time to complete the compliment. And then midst of the general silence, a voice became audible.",0.5142331930001092,0.5142331930001092,0.03332414373431246,0.03332414373431246,1
6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,15.101125,140,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_6/enhanced_fileid_6_preddoa141_src3.wav,nearest_spk1_gt_doa,2,141,1.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.13513513513513514,5,37,5.136439750958917,-2.0979830337536,-7.234422784712517,3.953115947459837,-13.389404775241696,-17.342520722701533,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"He wrote vowels and under his books, the old black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Voltaire.",0.4559311760003766,0.4559311760003766,0.030191868221763386,0.030191868221763386,1
7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,13.9115,57,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_7/enhanced_fileid_7_preddoa116_src1.wav,nearest_spk1_gt_doa,0,116,59.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,1.826086956521739,42,23,3.90807881016848,-2.117662035339065,-6.025740845507546,2.2040777620315395,-24.823657848680885,-27.027735610712423,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Look out for an altitude of about a mile, and even going out on a small, up-and-down flat, but could discover something else that not so much. I guess RAD was just capering up out without any special objects or views to Tom.",0.5779212670004199,0.5779212670004199,0.04154269970890414,0.04154269970890414,1
8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,17.153125,333,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_8/enhanced_fileid_8_preddoa333_src3.wav,nearest_spk1_gt_doa,2,333,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.03636363636363636,2,55,6.214864876628267,-1.1424855184547875,-7.3573503950830546,5.256432158780118,-29.456551029172452,-34.712983187952574,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how he was getting on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",0.6252281440001752,0.6252281440001752,0.036449809816005846,0.036449809816005846,1
9,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,Official-HARK-IPDNetDOA-ConstantLocalization-GHDSS,1,16.73125,314,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_9/enhanced_fileid_9_preddoa314_src3.wav,nearest_spk1_gt_doa,2,314,0.0,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.02564102564102564,1,39,4.895610035616656,-1.5572505886076669,-6.452860624224323,4.025795922646925,-27.820208018328433,-31.846003940975358,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentlemen submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.,0.4139439709997532,0.4139439709997532,0.02474076778481902,0.02474076778481902,1
