fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,convtasnet_source,separated_source_index,oracle_match_si_sdr,enhanced_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,convtasnet_sec,whisper_sec,metrics_sec,total_sec,convtasnet_rtf,whisper_rtf,metrics_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.622,73,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,0,5.903866949127378,,text_fileid_0_doa73_spk1.txt,0.2631578947368421,10,38,5.568976565673809,6.095309205984605,0.5263326403107955,4.863815458954336,5.9047595911125,1.040944132158164,1.3355612754821777,1.4286563396453857,0.09309506416320801,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but the knowings of life only fly as it state. The Count is insane with grief, especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she'd loved him.",0.7732446280000147,1.3477507420000165,0.2802270930000077,2.401222463000039,0.043879504483033405,0.0764811452729552,0.015902116275111094,0.1362627660310997,1
1,mic_fileid_1_doa82_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.681375,187,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,5.768274182232345,,text_fileid_1_doa187_spk1.txt,0.34375,11,32,5.829855063155668,5.494292129505479,-0.33556293365018863,4.592449706827717,5.769646942004574,1.1771972351768571,1.2753520011901855,1.3993767499923706,0.12402474880218506,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the potions which have been so half of the conservative system of consideration, promised an eventual security against the choice of several to form an intermediate body of electrics.",0.1057389599999965,0.3101510940000196,0.24480346900000427,0.6606935230000204,0.006338743658720968,0.018592657619651835,0.014675257225498754,0.03960665850387156,1
2,mic_fileid_2_doa36_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.43025,36,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,6.635466407093626,,text_fileid_2_doa36_spk1.txt,0.4146341463414634,17,41,4.863127876694119,7.041657327049395,2.178529450355277,5.014363450529297,6.6354664363458475,1.6211029858165507,1.2396373748779297,1.2802515029907227,0.04061412811279297,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing, or churning the blades. Her life was quite in the mountains, although hard-working, and while her hands mechanically bound and did their accustomed labor, the thoughts that rose in her head for a recent year on Charlie C. Mule, his ways, his words.",0.1288263719999918,0.7095847619999915,0.42785866200000555,1.266269795999989,0.007390965247199082,0.04070995895067434,0.02454690334332586,0.07264782754119928,1
3,mic_fileid_3_doa39_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,14.798375,39,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,0,6.0510984776034995,,text_fileid_3_doa39_spk1.txt,0.2647058823529412,9,34,5.07284422229962,6.495956723986645,1.423112501687025,4.855952595968624,6.051108615512067,1.1951560195434432,1.2316536903381348,1.453442096710205,0.2217884063720703,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual streamer consciousness type of thing. It is implied that the process may be metaphysical. What if the newer theories, one held by Dr. Louis R. Wolver, a psychoanalyst.",0.12705693000000906,0.5668277380000006,0.31785541599998623,1.011740083999996,0.008585870408069065,0.038303377093768784,0.021479075641750275,0.06836832314358812,1
4,mic_fileid_4_doa26_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.334625,26,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,2.7866167199611898,,text_fileid_4_doa26_spk1.txt,0.46875,15,32,4.713929594974729,3.5740368484774554,-1.139892746497274,3.7972942584249596,2.7866240856751148,-1.0106701727498448,1.250014066696167,1.2464221715927124,-0.00359189510345459,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be as effective as possible and so as to come. My father died of a sexed femtocenter in 1892. It will be seen therefore.",0.12489078499999096,0.5282406620000017,0.2633078980000221,0.9164393450000148,0.008144365121415812,0.03444757612266369,0.017170807763477885,0.05976274900755739,1
5,mic_fileid_5_doa60_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.43125,338,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,5.5413857940790665,,text_fileid_5_doa338_spk1.txt,0.358974358974359,14,39,4.106328036680454,5.673588013811591,1.5672599771311368,4.225754290943275,5.541385917549048,1.3156316266057733,1.1749225854873657,1.286163568496704,0.11124098300933838,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert as master is, one must let himself open to. How sad it is not time to complete the argument. And then midst of the general silence of voice and the e-mortar.",0.12706467499998553,0.5575794659999929,0.26619098799997687,0.9508351289999553,0.00823424382340935,0.0361331367193191,0.01725012477926136,0.061617505321989806,1
6,mic_fileid_6_doa30_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.101125,140,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,6.07285321587113,,text_fileid_6_doa140_spk1.txt,0.5945945945945946,22,37,5.136439750747767,5.960755002923806,0.8243152521760386,3.9531159471488793,6.072853261145954,2.1197373139970748,1.213527798652649,1.163038969039917,-0.050488829612731934,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,We have bottles and other elements before a glass of coke. They use intentions to literature and to materialism. There are certain names which are often pronounced to support the opposite things we might be seeing. Vote now.,0.13038122600002566,0.5005307469999991,0.2845374429999765,0.9154494160000013,0.008633875025868978,0.03314526215762065,0.018842135470037928,0.060621272653527555,1
7,mic_fileid_7_doa57_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,13.9115,57,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,3.960864298796947,,text_fileid_7_doa57_spk1.txt,0.30434782608695654,7,23,3.90807881016848,4.978732148334126,1.0706533381656462,2.20407776203154,4.759133556412166,2.5550557943806265,1.1526575088500977,1.3172593116760254,0.16460180282592773,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,Those bullet holes in the back of the car fire from above and behind the machine. They slanted denials but not side for these ones.,0.1152057310000032,0.38651708799997664,0.24695875500000852,0.7486815739999884,0.008281330625741523,0.027783997987275034,0.017752129892535565,0.05381745850555212,1
8,mic_fileid_8_doa80_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.153125,333,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,2.2836183467151394,,text_fileid_8_doa333_spk1.txt,0.7090909090909091,39,55,6.214864876700176,3.5291202689346965,-2.6857446077654794,5.2563232124395025,2.283618572489934,-2.9727046399495687,1.2348089218139648,1.2544476985931396,0.019638776779174805,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"I wanted to learn the game. At two o'clock, I checked the next debate. I was told that the great leader was a good master of the game, and the report was seriously filled with headland we were making, told me there was a lot of things in the river, and there is the shadow of the fog right there.",0.14222269400002574,0.7446904180000047,0.34054992299999753,1.227463035000028,0.008291357638915692,0.04341427104390627,0.01985352074330465,0.07155914942612661,1
9,mic_fileid_9_doa85_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.73125,314,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,7.12432185822518,,text_fileid_9_doa314_spk1.txt,0.7692307692307693,30,39,4.895610035616656,6.724828005779115,1.8292179701624596,4.025795922646931,7.128314990681002,3.102519068034071,1.1800642013549805,1.3376213312149048,0.15755712985992432,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The depth and smooth admittance, and the bite and the invite yourself, because a tea fancy is not completely to the room, and Van Rens is strangely altered at all. The shoes beside himself with an amityp clearly saw it.",0.14257216499999004,0.524530494000004,0.2632686709999916,0.9303713299999856,0.008521309824429738,0.03135034704520009,0.01573514656705217,0.055606803436682,1
