fileid,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,ipdnet2_sec,dsenet_sec,whisper_sec,total_sec,ipdnet2_rtf,dsenet_rtf,whisper_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,4.0,3,"75,170,204",0,75,0.05809605323936236,enhanced_fileid_0_pred75_idx0_loudest.wav,73,2.0,0.7830651429994759,1.2200602419998177,0.6778294899995672,2.6809548749988608,0.19576628574986898,0.3050150604999544,0.1694573724998918,0.6702387187497152,1
1,mic_fileid_1_doa82_3spk.wav,4.0,3,"82,175,184",2,184,0.059213342509223554,enhanced_fileid_1_pred184_idx2_loudest.wav,187,3.0,0.08651496399943426,0.7432420730001468,0.16129279699998733,0.9910498339995684,0.021628740999858564,0.1858105182500367,0.04032319924999683,0.2477624584998921,1
2,mic_fileid_2_doa36_3spk.wav,4.0,3,"35,124,241",0,35,0.05480079372193854,enhanced_fileid_2_pred35_idx0_loudest.wav,36,1.0,0.06981570099924284,0.6974071200002072,0.15370580600028916,0.9209286269997392,0.01745392524981071,0.1743517800000518,0.03842645150007229,0.2302321567499348,1
3,mic_fileid_3_doa39_3spk.wav,4.0,3,"38,105,188",0,38,0.07454342343608834,enhanced_fileid_3_pred38_idx0_loudest.wav,39,1.0,0.0598999060002825,0.6826138270007505,0.1320024899996497,0.8745162230006827,0.014974976500070625,0.17065345675018762,0.033000622499912424,0.21862905575017066,1
4,mic_fileid_4_doa26_3spk.wav,4.0,3,"25,48,85",0,25,0.08456687846525648,enhanced_fileid_4_pred25_idx0_loudest.wav,26,1.0,0.06746361300065473,0.6750688239990268,0.22690827599944896,0.9694407129991305,0.016865903250163683,0.1687672059997567,0.05672706899986224,0.24236017824978262,1
5,mic_fileid_5_doa60_3spk.wav,4.0,3,"51,101,347",2,347,0.03149938778170165,enhanced_fileid_5_pred347_idx2_loudest.wav,338,9.0,0.07607677900159615,0.6711123389995919,0.165318028000911,0.912507146002099,0.019019194750399038,0.16777808474989797,0.04132950700022775,0.22812678650052476,1
6,mic_fileid_6_doa30_3spk.wav,4.0,3,"23,85,139",2,139,0.06586922379491342,enhanced_fileid_6_pred139_idx2_loudest.wav,140,1.0,0.07241032099955191,0.6796311270009028,0.1675855989997217,0.9196270470001764,0.01810258024988798,0.1699077817502257,0.041896399749930424,0.2299067617500441,1
7,mic_fileid_7_doa57_3spk.wav,4.0,3,"54,96,205",0,54,0.05235206343487498,enhanced_fileid_7_pred54_idx0_loudest.wav,57,3.0,0.07001214600131789,0.6855756210006803,0.15384944699871994,0.9094372140007181,0.017503036500329472,0.17139390525017006,0.038462361749679985,0.22735930350017952,1
8,mic_fileid_8_doa80_3spk.wav,4.0,3,"75,99,344",0,75,0.04220188705032262,enhanced_fileid_8_pred75_idx0_loudest.wav,333,102.0,0.06416395700034627,0.6846484500001679,0.6729678100000456,1.4217802170005598,0.016040989250086568,0.17116211250004199,0.1682419525000114,0.35544505425013995,1
9,mic_fileid_9_doa85_3spk.wav,4.0,3,"82,220,315",2,315,0.04983497210136964,enhanced_fileid_9_pred315_idx2_loudest.wav,314,1.0,0.07403840400002082,0.6854011569994327,0.13068657999974675,0.8901261409992003,0.018509601000005205,0.17135028924985818,0.03267164499993669,0.22253153524980007,1
10,mic_fileid_10_doa3_3spk.wav,4.0,3,"6,114,169",0,6,0.07225283935151224,enhanced_fileid_10_pred6_idx0_loudest.wav,3,3.0,0.07118038500084367,0.7106449779985269,0.16561518799971964,0.9474405509990902,0.017795096250210918,0.17766124449963172,0.04140379699992991,0.23686013774977255,1
11,mic_fileid_11_doa93_3spk.wav,4.0,3,"85,95,201",1,95,0.052578705781514884,enhanced_fileid_11_pred95_idx1_loudest.wav,264,169.0,0.07307549600045604,0.6826914539997233,0.18960944500031474,0.9453763950004941,0.01826887400011401,0.17067286349993083,0.047402361250078684,0.23634409875012352,1
12,mic_fileid_12_doa38_3spk.wav,4.0,3,"37,100,228",0,37,0.06126283428854576,enhanced_fileid_12_pred37_idx0_loudest.wav,38,1.0,0.07255400800022471,0.682213285999751,0.15483859099913388,0.9096058849991095,0.018138502000056178,0.17055332149993774,0.03870964774978347,0.2274014712497774,1
13,mic_fileid_13_doa5_3spk.wav,4.0,3,"0,20,31",0,0,0.05927752732590607,enhanced_fileid_13_pred0_idx0_loudest.wav,5,5.0,0.06558691000100225,0.6811685729990131,0.14919364100023813,0.8959491240002535,0.016396727500250563,0.17029214324975328,0.03729841025005953,0.22398728100006338,1
14,mic_fileid_14_doa181_3spk.wav,4.0,3,"49,182,335",1,182,0.0846128734038104,enhanced_fileid_14_pred182_idx1_loudest.wav,181,1.0,0.08572095699855709,0.6935210160008864,0.16231254299964348,0.941554515999087,0.02143023924963927,0.1733802540002216,0.04057813574991087,0.23538862899977175,1
15,mic_fileid_15_doa78_3spk.wav,4.0,3,"66,98,319",0,66,0.029970605223853992,enhanced_fileid_15_pred66_idx0_loudest.wav,266,160.0,0.06756568400123797,0.6709810590000416,0.17497809499946015,0.9135248380007397,0.016891421000309492,0.1677452647500104,0.04374452374986504,0.22838120950018492,1
16,mic_fileid_16_doa36_3spk.wav,4.0,3,"34,163,321",0,34,0.051585138537239714,enhanced_fileid_16_pred34_idx0_loudest.wav,36,2.0,0.06472461900011695,0.6858271589990181,0.1530843159998767,0.9036360939990118,0.016181154750029236,0.17145678974975453,0.03827107899996918,0.22590902349975295,1
17,mic_fileid_17_doa99_3spk.wav,4.0,3,"8,96,170",1,96,0.08287777965029755,enhanced_fileid_17_pred96_idx1_loudest.wav,99,3.0,0.06094800900064001,0.6894436040001892,0.1972742260004452,0.9476658390012744,0.015237002250160003,0.1723609010000473,0.0493185565001113,0.2369164597503186,1
18,mic_fileid_18_doa181_3spk.wav,4.0,3,"89,178,240",1,178,0.04805271901923875,enhanced_fileid_18_pred178_idx1_loudest.wav,181,3.0,0.06979945300008694,0.6761522100005095,0.16478617599932477,0.9107378389999212,0.017449863250021735,0.16903805250012738,0.04119654399983119,0.2276844597499803,1
19,mic_fileid_19_doa121_3spk.wav,4.0,3,"75,118,343",2,343,0.08675390313505416,enhanced_fileid_19_pred343_idx2_loudest.wav,340,3.0,0.07169066999995266,0.9688910690001649,0.17772060300012527,1.2183023420002428,0.017922667499988165,0.24222276725004122,0.044430150750031316,0.3045755855000607,1
20,mic_fileid_20_doa68_3spk.wav,4.0,3,"61,101,182",0,61,0.08436131136609448,enhanced_fileid_20_pred61_idx0_loudest.wav,68,7.0,0.07062684799893759,1.102582440000333,0.1440784509995865,1.317287738998857,0.017656711999734398,0.27564561000008325,0.03601961274989662,0.3293219347497143,1
21,mic_fileid_21_doa34_3spk.wav,4.0,3,"34,152,352",0,34,0.07236428813017413,enhanced_fileid_21_pred34_idx0_loudest.wav,34,0.0,0.06641169199974684,1.0526851060003537,0.18716162700002315,1.3062584250001237,0.01660292299993671,0.2631712765000884,0.046790406750005786,0.3265646062500309,1
22,mic_fileid_22_doa22_3spk.wav,4.0,3,"20,120,347",2,347,0.07071081807644698,enhanced_fileid_22_pred347_idx2_loudest.wav,345,2.0,0.06103501199868333,1.097838089999641,0.1621791409997968,1.321052242998121,0.015258752999670833,0.27445952249991024,0.0405447852499492,0.33026306074953027,1
23,mic_fileid_23_doa6_3spk.wav,4.0,3,"6,154,206",2,206,0.0442225494679041,enhanced_fileid_23_pred206_idx2_loudest.wav,212,6.0,0.06908769399888115,1.0647979300010775,2.4483598890001304,3.582245513000089,0.017271923499720288,0.26619948250026937,0.6120899722500326,0.8955613782500222,1
24,mic_fileid_24_doa57_3spk.wav,4.0,3,"63,132,293",2,293,0.0920745727359045,enhanced_fileid_24_pred293_idx2_loudest.wav,289,4.0,0.073618088999865,1.039593943998625,0.17425525399994513,1.2874672869984352,0.01840452224996625,0.25989848599965626,0.04356381349998628,0.3218668217496088,1
25,mic_fileid_25_doa112_3spk.wav,4.0,3,"112,190,350",0,112,0.06579392694164414,enhanced_fileid_25_pred112_idx0_loudest.wav,112,0.0,0.06291438600055699,1.01440799699958,0.15466812500017113,1.2319905080003082,0.015728596500139247,0.253601999249895,0.03866703125004278,0.30799762700007705,1
26,mic_fileid_26_doa34_3spk.wav,4.0,3,"31,72,350",0,31,0.06224901377898088,enhanced_fileid_26_pred31_idx0_loudest.wav,34,3.0,0.06745677999970212,1.059323993000362,0.12021717700008594,1.24699795000015,0.01686419499992553,0.2648309982500905,0.030054294250021485,0.3117494875000375,1
27,mic_fileid_27_doa31_3spk.wav,4.0,3,"38,79,176",2,176,0.08637845543773667,enhanced_fileid_27_pred176_idx2_loudest.wav,173,3.0,0.06223104199852969,0.980394421998426,0.14679002199954994,1.1894154859965056,0.015557760499632423,0.2450986054996065,0.036697505499887484,0.2973538714991264,1
28,mic_fileid_28_doa124_3spk.wav,4.0,3,"195,206,356",2,356,0.0031673623993403593,enhanced_fileid_28_pred356_idx2_loudest.wav,217,139.0,0.058915823999996064,1.008883631999197,0.0730541329994594,1.1408535889986524,0.014728955999999016,0.25222090799979924,0.01826353324986485,0.2852133972496631,1
29,mic_fileid_29_doa111_3spk.wav,4.0,3,"109,149,359",0,109,0.0504426341792053,enhanced_fileid_29_pred109_idx0_loudest.wav,111,2.0,0.05527248100042925,1.0069596079993062,0.15376510900023277,1.2159971979999682,0.013818120250107313,0.25173990199982654,0.03844127725005819,0.30399929949999205,1
30,mic_fileid_30_doa12_3spk.wav,4.0,3,"12,49,118",0,12,0.046488301211692985,enhanced_fileid_30_pred12_idx0_loudest.wav,12,0.0,0.05851600999994844,0.9862304919988674,0.8813006159998622,1.926047117998678,0.01462900249998711,0.24655762299971684,0.22032515399996555,0.4815117794996695,1
31,mic_fileid_31_doa53_3spk.wav,4.0,3,"52,158,174",0,52,0.04461113160281861,enhanced_fileid_31_pred52_idx0_loudest.wav,53,1.0,0.07292752899957122,1.0180081439993955,0.14100410099854344,1.2319397739975102,0.018231882249892806,0.2545020359998489,0.03525102524963586,0.30798494349937755,1
32,mic_fileid_32_doa102_3spk.wav,4.0,3,"63,90,177",1,90,0.01887294542158115,enhanced_fileid_32_pred90_idx1_loudest.wav,102,12.0,0.06474452100155759,1.0216809880002984,0.7999062709986902,1.8863317800005461,0.016186130250389397,0.2554202470000746,0.19997656774967254,0.47158294500013653,1
33,mic_fileid_33_doa34_3spk.wav,4.0,3,"30,70,350",2,350,0.05383062353549084,enhanced_fileid_33_pred350_idx2_loudest.wav,345,5.0,0.06584693299919309,1.0421092430005956,0.15616067699920677,1.2641168529989955,0.01646173324979827,0.2605273107501489,0.03904016924980169,0.31602921324974886,1
34,mic_fileid_34_doa125_3spk.wav,4.0,3,"14,125,156",2,156,0.07037782839614062,enhanced_fileid_34_pred156_idx2_loudest.wav,157,1.0,0.06844672400075069,1.0165702919985051,0.7940708459991583,1.8790878619984142,0.017111681000187673,0.2541425729996263,0.19851771149978958,0.46977196549960354,1
35,mic_fileid_35_doa24_3spk.wav,4.0,3,"20,89,215",0,20,0.05642593830527002,enhanced_fileid_35_pred20_idx0_loudest.wav,24,4.0,0.059518777999983286,1.0037081359987496,0.33688601900030335,1.4001129329990363,0.014879694499995821,0.2509270339996874,0.08422150475007584,0.35002823324975907,1
36,mic_fileid_36_doa24_3spk.wav,4.0,3,"21,45,201",0,21,0.030256433429432777,enhanced_fileid_36_pred21_idx0_loudest.wav,269,112.0,0.07341671799986216,1.0124769710000692,0.3250098780008557,1.410903567000787,0.01835417949996554,0.2531192427500173,0.08125246950021392,0.35272589175019675,1
37,mic_fileid_37_doa51_3spk.wav,4.0,3,"50,96,104",1,96,0.0625340243420552,enhanced_fileid_37_pred96_idx1_loudest.wav,104,8.0,0.11912309900071705,1.032953271000224,0.14521364599931985,1.297290016000261,0.029780774750179262,0.258238317750056,0.03630341149982996,0.32432250400006524,1
