fileid,chunk_count,chunk_indices,chunk_mic_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,input_audio_mode,reference_text,hypothesis_text,wer,edit_distance,ref_words,hypothesis_text_cleaned,wer_cleaned,edit_distance_cleaned,ref_words_cleaned
0,4,"1,2,3,4",mic_fileid_0_doa73_3spk_1.wav|mic_fileid_0_doa73_3spk_2.wav|mic_fileid_0_doa73_3spk_3.wav|mic_fileid_0_doa73_3spk_4.wav,0.0,16.0,16.0,73,text_fileid_0_doa73_spk1.txt,mean_all_channels,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But you know it's a rivalry, life is extinct is insane with grief, especially because they discovered That relationship has left a letter to some man she calls Dick. Telling him that she loved him . What did he say?",0.47368421052631576,18,38,"But you know it's a rivalry, life is extinct is insane with grief, especially because they discovered That relationship has left a letter to some man she calls Dick. Telling him that she loved him. What did he say?",0.47368421052631576,18,38
1,4,"1,2,3,4",mic_fileid_1_doa82_3spk_1.wav|mic_fileid_1_doa82_3spk_2.wav|mic_fileid_1_doa82_3spk_3.wav|mic_fileid_1_doa82_3spk_4.wav,16.0,32.0,16.0,187,text_fileid_1_doa187_spk1.txt,mean_all_channels,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But it's hard to which I've been so happily presented with this to the considerations , was promised more effect ual security. The choice of several to form an intermediate body of electors. Brought the western",0.625,20,32,"But it's hard to which I've been so happily presented with this to the considerations, was promised more effect ual security. The choice of several to form an intermediate body of electors. Brought the western",0.625,20,32
2,5,"1,2,3,4,5",mic_fileid_2_doa36_3spk_1.wav|mic_fileid_2_doa36_3spk_2.wav|mic_fileid_2_doa36_3spk_3.wav|mic_fileid_2_doa36_3spk_4.wav|mic_fileid_2_doa36_3spk_5.wav,32.0,52.0,20.0,36,text_fileid_2_doa36_spk1.txt,mean_all_channels,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"part of the city . Her life was quiet in the mountains, although hard-working, and while her hands mechanically found and did their accustomed labor, the thoughts that rose in her head from the recent trial that brought the aviation to the gallery. His words.",0.5365853658536586,22,41,"part of the city. Her life was quiet in the mountains, although hard-working, and while her hands mechanically found and did their accustomed labor, the thoughts that rose in her head from the recent trial that brought the aviation to the gallery. His words.",0.5365853658536586,22,41
3,4,"1,2,3,4",mic_fileid_3_doa39_3spk_1.wav|mic_fileid_3_doa39_3spk_2.wav|mic_fileid_3_doa39_3spk_3.wav|mic_fileid_3_doa39_3spk_4.wav,52.0,68.0,16.0,39,text_fileid_3_doa39_spk1.txt,mean_all_channels,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"Which takes over the spiritual studio of consciousness type of thing. It is inspired that the process may be out of this . One of the newer theories , one held by Dr. Lewis R. Wolver, a psycho analyst. The",0.35294117647058826,12,34,"Which takes over the spiritual studio of consciousness type of thing. It is inspired that the process may be out of this. One of the newer theories, one held by Dr. Lewis R. Wolver, a psycho analyst. The",0.35294117647058826,12,34
4,4,"1,2,3,4",mic_fileid_4_doa26_3spk_1.wav|mic_fileid_4_doa26_3spk_2.wav|mic_fileid_4_doa26_3spk_3.wav|mic_fileid_4_doa26_3spk_4.wav,68.0,84.0,16.0,26,text_fileid_4_doa26_spk1.txt,mean_all_channels,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"publication, if made at all, should be affected as soon as possible after my death . My father died, I will send them to summer 18, 22. It will be seen therefore. That right.",0.375,12,32,"publication, if made at all, should be affected as soon as possible after my death. My father died, I will send them to summer 18, 22. It will be seen therefore. That right.",0.375,12,32
5,4,"1,2,3,4",mic_fileid_5_doa60_3spk_1.wav|mic_fileid_5_doa60_3spk_2.wav|mic_fileid_5_doa60_3spk_3.wav|mic_fileid_5_doa60_3spk_4.wav,84.0,100.0,16.0,338,text_fileid_5_doa338_spk1.txt,mean_all_channels,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"I'm one of the honor of the expert of masters, one must let himself open to. I say you don't have time to complete the document . In the midst of the general silence of voice came Auduborg.",0.48717948717948717,19,39,"I'm one of the honor of the expert of masters, one must let himself open to. I say you don't have time to complete the document. In the midst of the general silence of voice came Auduborg.",0.48717948717948717,19,39
6,4,"1,2,3,4",mic_fileid_6_doa30_3spk_1.wav|mic_fileid_6_doa30_3spk_2.wav|mic_fileid_6_doa30_3spk_3.wav|mic_fileid_6_doa30_3spk_4.wav,100.0,116.0,16.0,140,text_fileid_6_doa140_spk1.txt,mean_all_channels,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,Before I heard about us and under the last four of us code . I'm going to show you can see the sky. Voltaire.,0.918918918918919,34,37,Before I heard about us and under the last four of us code. I'm going to show you can see the sky. Voltaire.,0.918918918918919,34,37
7,3,"1,2,3",mic_fileid_7_doa57_3spk_1.wav|mic_fileid_7_doa57_3spk_2.wav|mic_fileid_7_doa57_3spk_3.wav,116.0,128.0,12.0,57,text_fileid_7_doa57_spk1.txt,mean_all_channels,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Vol canic holes to the back of the car , the tires fell above and behind the machine. They slammed it down , but not said to have it. Just keep your arm out with the gun.",0.8695652173913043,20,23,"Vol canic holes to the back of the car, the tires fell above and behind the machine. They slammed it down, but not said to have it. Just keep your arm out with the gun.",0.8695652173913043,20,23
8,5,"1,2,3,4,5",mic_fileid_8_doa80_3spk_1.wav|mic_fileid_8_doa80_3spk_2.wav|mic_fileid_8_doa80_3spk_3.wav|mic_fileid_8_doa80_3spk_4.wav|mic_fileid_8_doa80_3spk_5.wav,128.0,148.0,20.0,333,text_fileid_8_doa333_spk1.txt,mean_all_channels,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"the game. At two o'clock, the captain asked the mate how he worked it on. Oh, pretty glib and firm, by the way. She was scared to tell what head way we were making or where her wives were keeping their river and there is the shadow of a fall rising. [BLANK",0.5636363636363636,31,55,"the game. At two o'clock, the captain asked the mate how he worked it on. Oh, pretty glib and firm, by the way. She was scared to tell what head way we were making or where her wives were keeping their river and there is the shadow of a fall rising. BLANK",0.5636363636363636,31,55
9,4,"1,2,3,4",mic_fileid_9_doa85_3spk_1.wav|mic_fileid_9_doa85_3spk_2.wav|mic_fileid_9_doa85_3spk_3.wav|mic_fileid_9_doa85_3spk_4.wav,148.0,164.0,16.0,314,text_fileid_9_doa314_spk1.txt,mean_all_channels,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The DATS has been admitted for your invited to invite you to the dropout. Because a tea party is not complete without an elevator. It was a strangely alter that killed my people. They were talking to you.,0.7948717948717948,31,39,The DATS has been admitted for your invited to invite you to the dropout. Because a tea party is not complete without an elevator. It was a strangely alter that killed my people. They were talking to you.,0.7948717948717948,31,39
10,4,"1,2,3,4",mic_fileid_10_doa3_3spk_1.wav|mic_fileid_10_doa3_3spk_2.wav|mic_fileid_10_doa3_3spk_3.wav|mic_fileid_10_doa3_3spk_4.wav,164.0,180.0,16.0,3,text_fileid_10_doa3_spk1.txt,mean_all_channels,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Thank you. Thank by the orders. It's a little window, not larger than a pane of glass. Looked out from the clerk's office . They call it Old Dills People and wished it anywhere else",0.4444444444444444,20,45,"Thank you. Thank by the orders. It's a little window, not larger than a pane of glass. Looked out from the clerk's office. They call it Old Dills People and wished it anywhere else",0.4444444444444444,20,45
11,4,"1,2,3,4",mic_fileid_11_doa93_3spk_1.wav|mic_fileid_11_doa93_3spk_2.wav|mic_fileid_11_doa93_3spk_3.wav|mic_fileid_11_doa93_3spk_4.wav,180.0,196.0,16.0,264,text_fileid_11_doa264_spk1.txt,mean_all_channels,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,". See? to suit yourself. I'm sorry. I'm Stone Road, wrong ones, the Dead Love Littles.",0.96875,31,32,". See? to suit yourself. I'm sorry. I'm Stone Road, wrong ones, the Dead Love Littles.",0.96875,31,32
12,5,"1,2,3,4,5",mic_fileid_12_doa38_3spk_1.wav|mic_fileid_12_doa38_3spk_2.wav|mic_fileid_12_doa38_3spk_3.wav|mic_fileid_12_doa38_3spk_4.wav|mic_fileid_12_doa38_3spk_5.wav,196.0,216.0,20.0,38,text_fileid_12_doa38_spk1.txt,mean_all_channels,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of the anti-ethnic matter which might have been present in the monarchy. Mrs . Anderson, new on the water. No coroner. That's not legal. Not only on friends with some of these people. the door.",0.775,31,40,"of the anti-ethnic matter which might have been present in the monarchy. Mrs. Anderson, new on the water. No coroner. That's not legal. Not only on friends with some of these people. the door.",0.775,31,40
13,5,"1,2,3,4,5",mic_fileid_13_doa5_3spk_1.wav|mic_fileid_13_doa5_3spk_2.wav|mic_fileid_13_doa5_3spk_3.wav|mic_fileid_13_doa5_3spk_4.wav|mic_fileid_13_doa5_3spk_5.wav,216.0,236.0,20.0,5,text_fileid_13_doa5_spk1.txt,mean_all_channels,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"I'm going to start with the first letter They did not defend long, but reply. Let them build your own property . And if we fail, it is too late.",0.7692307692307693,30,39,"I'm going to start with the first letter They did not defend long, but reply. Let them build your own property. And if we fail, it is too late.",0.7692307692307693,30,39
14,5,"1,2,3,4,5",mic_fileid_14_doa181_3spk_1.wav|mic_fileid_14_doa181_3spk_2.wav|mic_fileid_14_doa181_3spk_3.wav|mic_fileid_14_doa181_3spk_4.wav|mic_fileid_14_doa181_3spk_5.wav,236.0,256.0,20.0,181,text_fileid_14_doa181_spk1.txt,mean_all_channels,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This is a curious constellation. The two spend hours together sometimes to a tidy parlor. Stumbly, bourgeois , and now and then , what are you true to pro, convers ational, to the optimum stitch and from the optimum stitch to Dennis. Lauren and Merle.",0.5952380952380952,25,42,"This is a curious constellation. The two spend hours together sometimes to a tidy parlor. Stumbly, bourgeois, and now and then, what are you true to pro, convers ational, to the optimum stitch and from the optimum stitch to Dennis. Lauren and Merle.",0.5952380952380952,25,42
15,4,"1,2,3,4",mic_fileid_15_doa78_3spk_1.wav|mic_fileid_15_doa78_3spk_2.wav|mic_fileid_15_doa78_3spk_3.wav|mic_fileid_15_doa78_3spk_4.wav,256.0,272.0,16.0,266,text_fileid_15_doa266_spk1.txt,mean_all_channels,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"We follow his favorite . He was the counter-pulitzer of happiness , good history, and well-cared , old, household dog.",0.75,27,36,"We follow his favorite. He was the counter-pulitzer of happiness, good history, and well-cared, old, household dog.",0.75,27,36
16,4,"1,2,3,4",mic_fileid_16_doa36_3spk_1.wav|mic_fileid_16_doa36_3spk_2.wav|mic_fileid_16_doa36_3spk_3.wav|mic_fileid_16_doa36_3spk_4.wav,272.0,288.0,16.0,36,text_fileid_16_doa36_spk1.txt,mean_all_channels,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,One of her summer days of England's after -missing Julia returning to the console safe from the atmosphere and a very active exercise in the school's character. And you already know the philosophy of Cicero. Wasn't,0.775,31,40,One of her summer days of England's after -missing Julia returning to the console safe from the atmosphere and a very active exercise in the school's character. And you already know the philosophy of Cicero. Wasn't,0.775,31,40
17,4,"1,2,3,4",mic_fileid_17_doa99_3spk_1.wav|mic_fileid_17_doa99_3spk_2.wav|mic_fileid_17_doa99_3spk_3.wav|mic_fileid_17_doa99_3spk_4.wav,288.0,304.0,16.0,99,text_fileid_17_doa99_spk1.txt,mean_all_channels,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"she later on engaged to a man who she really loved. Yes, that was it . And during all the time she kept up her old liaison. The author wanted to show that a woman can love it too late . That's true enough, isn't it? Certainly.",0.19607843137254902,10,51,"she later on engaged to a man who she really loved. Yes, that was it. And during all the time she kept up her old liaison. The author wanted to show that a woman can love it too late. That's true enough, isn't it? Certainly.",0.19607843137254902,10,51
