fileid,mic_file,runtime_cfg,output_dir,command,returncode,elapsed_sec,stdout_log,stderr_log,predicted_slots
0,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_0,SKIPPED_EXISTING,0,0.0,,,slot0:id9:doa170.3;slot1:id5:doa205.4;slot2:id7:doa72.4
1,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_1,SKIPPED_EXISTING,0,0.0,,,slot0:id22:doa186.2;slot1:id5:doa283.1;slot2:id68:doa86.9
2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_2,SKIPPED_EXISTING,0,0.0,,,slot0:id15:doa38.1;slot1:id3:doa337.1;slot2:id30:doa226.1
3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_3,SKIPPED_EXISTING,0,0.0,,,slot0:id44:doa185.3;slot1:id43:doa38.7;slot2:id57:doa107.4
4,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_4,SKIPPED_EXISTING,0,0.0,,,slot0:id2:doa123.6;slot1:id6:doa31.0;slot2:id8:doa241.5
5,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_5,SKIPPED_EXISTING,0,0.0,,,slot0:id18:doa73.2;slot1:id9:doa332.7;slot2:id3:doa42.1
6,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_6,SKIPPED_EXISTING,0,0.0,,,slot0:id8:doa75.4;slot1:id14:doa131.8
7,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_7,SKIPPED_EXISTING,0,0.0,,,slot0:id16:doa56.7;slot1:id25:doa166.5
8,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_8,SKIPPED_EXISTING,0,0.0,,,slot0:id6:doa247.2;slot1:id51:doa87.3;slot2:id55:doa333.4
9,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_9,SKIPPED_EXISTING,0,0.0,,,slot0:id8:doa312.2;slot1:id18:doa241.0;slot2:id31:doa83.3
10,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_10_doa3_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_10,SKIPPED_EXISTING,0,0.0,,,slot0:id4:doa141.9;slot1:id98:doa0.8
11,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_11_doa93_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_11,SKIPPED_EXISTING,0,0.0,,,slot1:id2:doa253.5;slot2:id14:doa94.0
12,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_12_doa38_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_12,SKIPPED_EXISTING,0,0.0,,,slot0:id4:doa37.8;slot1:id38:doa101.3;slot2:id17:doa227.2
13,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_13_doa5_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_13,SKIPPED_EXISTING,0,0.0,,,slot0:id40:doa221.4;slot1:id35:doa335.8
14,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_14_doa181_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_14,SKIPPED_EXISTING,0,0.0,,,slot0:id48:doa344.6;slot1:id68:doa182.4;slot2:id71:doa207.8
15,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_15_doa78_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_15,SKIPPED_EXISTING,0,0.0,,,slot0:id19:doa276.3;slot1:id2:doa78.5;slot2:id29:doa214.3
16,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_16_doa36_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_16,SKIPPED_EXISTING,0,0.0,,,slot0:id10:doa32.4;slot1:id3:doa320.3;slot2:id4:doa312.7
17,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_17_doa99_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_17,SKIPPED_EXISTING,0,0.0,,,slot0:id5:doa99.4;slot1:id23:doa160.1
18,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_18_doa181_3spk.wav,,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_18,SKIPPED_EXISTING,0,0.0,,,slot0:id38:doa182.4;slot1:id2:doa223.6;slot2:id26:doa242.4
