fileid,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,ipdnet2_sec,dsenet_sec,whisper_sec,total_sec,ipdnet2_rtf,dsenet_rtf,whisper_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,17.622,3,"74,173,200",0,74,0.06528232263810266,enhanced_fileid_0_pred74_idx0_loudest.wav,73,1.0,text_fileid_0_doa73_spk1.txt,0.0,0,38,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"but before his arrival life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",0.9682144599998992,5.378929923999976,1.019595205000087,7.3667395889999625,0.0549435058449608,0.3052394690727486,0.05785922171150193,0.4180421966292114,1
1,mic_fileid_1_doa82_3spk.wav,16.681375,3,"81,185,189",1,185,0.04416642751656474,enhanced_fileid_1_pred185_idx1_loudest.wav,187,2.0,text_fileid_1_doa187_spk1.txt,0.03125,1,32,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"But the precautions, which have been so happily concerted in the system under consideration, promised an effectual security against this mischief. The choice of several to form an intermediate body of electors.",0.1712403330000143,4.8499185390001,0.3769920810000258,5.39815095300014,0.010265360799095655,0.29073853558235463,0.022599580730007316,0.3236034771114576,1
2,mic_fileid_2_doa36_3spk.wav,17.43025,3,"34,124,238",0,34,0.04289895211126969,enhanced_fileid_2_pred34_idx0_loudest.wav,36,2.0,text_fileid_2_doa36_spk1.txt,0.1951219512195122,8,41,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that Rose and her head always centered on Charlie Kinraid. His ways, his words.",0.17133645700005218,5.209081562999927,0.4996518279999691,5.880069847999948,0.009829833593898663,0.2988529460564207,0.028665786663987555,0.33734856631430693,1
3,mic_fileid_3_doa39_3spk.wav,14.798375,3,"39,108,189",0,39,0.03666245876862069,enhanced_fileid_3_pred39_idx0_loudest.wav,39,0.0,text_fileid_3_doa39_spk1.txt,0.058823529411764705,2,34,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.1319162459999461,4.126273832000152,0.41460449700002755,4.672794575000125,0.00891423862416962,0.2788329010448885,0.02801689354405653,0.31576403321311464,1
4,mic_fileid_4_doa26_3spk.wav,15.334625,3,"26,45,82",0,26,0.058095171406120714,enhanced_fileid_4_pred26_idx0_loudest.wav,26,0.0,text_fileid_4_doa26_spk1.txt,0.15625,5,32,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen therefore.",0.1703893189999235,4.287577763999934,0.36155601599989495,4.819523098999753,0.011111410875709283,0.2796010834304676,0.023577754004411255,0.3142902483105881,1
5,mic_fileid_5_doa60_3spk.wav,15.43125,3,"50,99,338",2,338,0.05878811166889039,enhanced_fileid_5_pred338_idx2_loudest.wav,338,0.0,text_fileid_5_doa338_spk1.txt,0.15384615384615385,6,39,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being an expert as master is, one mustn't let himself open to. Callous said he didn't have time to complete the compliment, and the midst of the general silence of voice became audible.",0.14278680300003543,4.418337462999716,0.42767949299991415,4.988803758999666,0.009253093754558796,0.2863240154232299,0.02771515547994583,0.32329226465773453,1
6,mic_fileid_6_doa30_3spk.wav,15.101125,3,"24,86,138",2,138,0.05461307349032603,enhanced_fileid_6_pred138_idx2_loudest.wav,140,2.0,text_fileid_6_doa140_spk1.txt,0.05405405405405406,2,37,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wore a blouse and under his blouse a whole black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Voltaire.,0.13500419600018176,4.269835604000264,0.4393416659997911,4.8441814660002365,0.00894000917151416,0.2827495040270353,0.02909330702181401,0.3207828202203635,1
7,mic_fileid_7_doa57_3spk.wav,13.9115,3,"54,103,205",0,54,0.03879207520865731,enhanced_fileid_7_pred54_idx0_loudest.wav,57,3.0,text_fileid_7_doa57_spk1.txt,0.08695652173913043,2,23,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the cart were fired from above and behind the machine. They slanted down, but not sideways.",0.13906676300007348,3.823771183999952,0.2540887580000799,4.216926705000105,0.009996532580963481,0.27486404658016406,0.01826465571649929,0.3031252348776268,1
8,mic_fileid_8_doa80_3spk.wav,17.153125,3,"75,95,338",2,338,0.05639511328884199,enhanced_fileid_8_pred338_idx2_loudest.wav,333,5.0,text_fileid_8_doa333_spk1.txt,0.5272727272727272,29,55,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"Then when did you learn to make it? At two o'clock, the captain asked the men how he would make a noise. Oh, praise the legions, sir, replied the men. We can safely tell what headlight we're making for rear of life in the middle of the river, and here is the shadow of a car driving.",0.1496079070000178,5.0890422040001795,0.6765053479998642,5.9151554590000615,0.00872190385134008,0.29668309442158086,0.03943918953542659,0.3448441878083476,1
9,mic_fileid_9_doa85_3spk.wav,16.73125,3,"84,233,317",2,317,0.04814767383558879,enhanced_fileid_9_pred317_idx2_loudest.wav,314,3.0,text_fileid_9_doa314_spk1.txt,0.2564102564102564,10,39,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The test gentleman submitted. Why did you invite yourself? Because a few parties not complete without a woman. Her manner was a strangely altered at her look. That she was beside her gulf at the moment I clearly saw.,0.1429722259999835,4.903389407000077,0.42216257100017174,5.468524204000232,0.008545220829285528,0.293067726977965,0.0252319803362075,0.32684492814345806,1
