fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,mic_fileid_0_doa73_3spk.wav,NoEnhancement-NoisyMixture,1,17.622,73,1,text_fileid_0_doa73_spk1.txt,0.15789473684210525,6,38,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before he arrived, the wife was extinct. The Count is insane with grief, more especially because the maid discovered that her lady ship had left a letter to some man she calls Dick, telling him that she loved him.",1.352545222000117,1.352545222000117,0.076753218817394,0.076753218817394,1
1,mic_fileid_1_doa82_3spk.wav,NoEnhancement-NoisyMixture,1,16.681375,187,1,text_fileid_1_doa187_spk1.txt,0.59375,19,32,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the prepositions which have been so happily prevented and submitted to consideration was promised to the provincial security against dismissed jacquard. The choice of several to form an intermediate body of electors. Brought the Westons and Mr. Knightley.,0.504244034000294,0.504244034000294,0.030227965860146064,0.030227965860146064,1
2,mic_fileid_2_doa36_3spk.wav,NoEnhancement-NoisyMixture,1,17.43025,36,1,text_fileid_2_doa36_spk1.txt,0.4146341463414634,17,41,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or watching what she really is. Her life was quiet and in the mountains, although hardworking, and while her hands mechanically found and did their accustomed labor, the thoughts that Rose and her had fully centered on Charlie Crannell, his ways, his words.",0.5536983290003263,0.5536983290003263,0.03176651677401795,0.03176651677401795,1
3,mic_fileid_3_doa39_3spk.wav,NoEnhancement-NoisyMixture,1,14.798375,39,1,text_fileid_3_doa39_spk1.txt,0.47058823529411764,16,34,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the virtual history of consciousness type of thing. It is implied that the process may be out of this in your history. What if in your theories, one held by Dr. Louis R. Wolver, a psychoanalyst.",0.4980159400001867,0.4980159400001867,0.033653420730329286,0.033653420730329286,1
4,mic_fileid_4_doa26_3spk.wav,NoEnhancement-NoisyMixture,1,15.334625,26,1,text_fileid_4_doa26_spk1.txt,0.15625,5,32,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December 1882. It will be seen, therefore.",0.4015951789988321,0.4015951789988321,0.026188783814330777,0.026188783814330777,1
5,mic_fileid_5_doa60_3spk.wav,NoEnhancement-NoisyMixture,1,15.43125,338,1,text_fileid_5_doa338_spk1.txt,0.23076923076923078,9,39,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true! When one has the honor of being expert as master is, one must let himself open to. Khaosai didn't have time to complete the compartment. And in the midst of the general silence of voice came Audeburg.",0.5138326889991731,0.5138326889991731,0.03329818964757703,0.03329818964757703,1
6,mic_fileid_6_doa30_3spk.wav,NoEnhancement-NoisyMixture,1,15.101125,140,1,text_fileid_6_doa140_spk1.txt,0.24324324324324326,9,37,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He built a lot of and under his blouse and all black coat. He made pretentions to literature and to materials. There were certain names which are often pronounced to support whatever things he might be seen. Voltaire.,0.5053270770004019,0.5053270770004019,0.033462876242690655,0.033462876242690655,1
7,mic_fileid_7_doa57_3spk.wav,NoEnhancement-NoisyMixture,1,13.9115,57,1,text_fileid_7_doa57_spk1.txt,0.6521739130434783,15,23,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those golden holes in the back of the car were fired from above and behind the machine. They slanted down, but not side by side with the man. That's not a little trick or fuse, Tom.",0.4550052800004778,0.4550052800004778,0.03270713294759572,0.03270713294759572,1
8,mic_fileid_8_doa80_3spk.wav,NoEnhancement-NoisyMixture,1,17.153125,333,1,text_fileid_8_doa333_spk1.txt,0.2545454545454545,14,55,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"And when to learn the game? At two o'clock, the captain has to make how to work it on. Oh, pretty little discerned by the make. She can scarcely tell what headway we are making, or we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",0.7257865539995692,0.7257865539995692,0.04231220573508146,0.04231220573508146,1
9,mic_fileid_9_doa85_3spk.wav,NoEnhancement-NoisyMixture,1,16.73125,314,1,text_fileid_9_doa314_spk1.txt,0.46153846153846156,18,39,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The death gentleman submits to the invitation to invite her to the bathhouse. Because a tea party is not complete without an elevator, her manner was as strangely altidactylic as she would kill my people that she was beside herself for the moment I clearly saw.",0.5863299869997718,0.5863299869997718,0.035044003705627005,0.035044003705627005,1
