fileid,mic_file,method,audio_stage,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,17.622,73,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_0/odas_postfiltered_preddoa072_slot2.wav,nearest_predicted_doa_to_spk1_gt_doa,2,72.38099240531159,0.6190075946884122,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.4473684210526316,17,38,5.568976565673809,-2.552995394423518,-8.121971960097326,4.863815458954358,-29.964735126763383,-34.82855058571774,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But the truth is, the child is insane with greed. They went more specially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him. What did he say? That's true.",2.057876908000253,2.057876908000253,0.11677885075475275,0.11677885075475275,1
1,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,16.681375,187,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_1/odas_postfiltered_preddoa186_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,186.19192477300868,0.8080752269913205,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.46875,15,32,5.829855063155668,-5.159044778405989,-10.988899841561658,4.5924497068277095,-28.764067364940658,-33.356517071768366,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,"which have been so happily conserved in the system of consideration, was promised an official security against this mischief. The choice of several to form an intermediate body of electors brought the West ends and Mr. Knight.",0.4025770909993298,0.4025770909993298,0.0241333277981779,0.0241333277981779,1
2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,17.43025,36,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_2/odas_postfiltered_preddoa038_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,38.09316066394143,2.0931606639414326,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.36585365853658536,15,41,4.863127876694119,-2.374038334008326,-7.237166210702444,5.014363450529384,-60.2632910060545,-65.27765445658389,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"Thank you for joining us. Her life was quiet and monotonous, although hardworking. And while her hands mechanically found and did the recusting labor, the thoughts that rose in her head always centered on Charlie Kinsey. This weighs his words.",0.4519492449999234,0.4519492449999234,0.02592901679550915,0.02592901679550915,1
3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,14.798375,39,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_3/odas_postfiltered_preddoa039_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,38.707446588499124,0.2925534115008759,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.4117647058823529,14,34,5.07284422229962,-1.5836977217284924,-6.656541944028113,4.855952595968615,-23.35707387688556,-28.213026472854175,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"Postural consciousness tightly placed. It is implied that the process may be atavistic. One of the fewer theories, one held by Dr. Louis R. Wolburn, a psychoanalyst.",0.3130779069997516,0.3130779069997516,0.021156235532600813,0.021156235532600813,1
4,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,15.334625,26,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_4/odas_postfiltered_preddoa031_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,31.047263920893148,5.047263920893158,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.53125,17,32,4.713929594974729,-4.449754969622529,-9.163684564597258,3.797294258424958,-27.542718326032457,-31.340012584457416,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,The application has made it all. To be effective is only possible at your own sets. My follow died on the 6th of December 1882. It will be seen therefore.,0.3589457100006257,0.3589457100006257,0.023407530996071027,0.023407530996071027,1
5,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,15.43125,338,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_5/odas_postfiltered_preddoa333_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,332.68355076593264,5.316449234067363,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,1.0,39,39,4.106328036680454,-5.6968605741390395,-9.803188610819493,4.225754290943277,-39.16756110854024,-43.39331539948352,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,I'll show you.,0.1475562860014179,0.1475562860014179,0.009562173252420763,0.009562173252420763,1
6,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,15.101125,140,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_6/odas_postfiltered_preddoa132_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,131.82025173935165,8.179748260648353,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.43243243243243246,16,37,5.136439750747767,-0.34959236938094,-5.486032120128708,3.9531159471488664,-19.858931679746096,-23.812047626894962,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,"and underage was an old black coat. It made pretensions to literature and to materials, and with certain names which are often pronounced to support what if the things who might be saying, Voltaire.",0.39285786300024483,0.39285786300024483,0.02601513880589988,0.02601513880589988,1
7,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,13.9115,57,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_7/odas_postfiltered_preddoa057_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,56.69417203580608,0.30582796419392366,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,0.7391304347826086,17,23,3.90807881016848,-6.424919868563492,-10.332998678731972,2.2040777620315395,-39.28498943819051,-41.489067200222046,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"The car fired from 12 and fired sheets. They slammed it down, but not sorry for this.",0.17319527399922663,0.17319527399922663,0.012449791467435332,0.012449791467435332,1
8,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,17.153125,333,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_8/odas_postfiltered_preddoa333_slot2.wav,nearest_predicted_doa_to_spk1_gt_doa,2,333.4296906577324,0.429690657732408,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,1.0,55,55,6.214864876700176,-0.40572288361011033,-6.620587760310286,5.256323212439473,-28.37004944056103,-33.6263726530005,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,,0.12506123000093794,0.12506123000093794,0.007290871488486089,0.007290871488486089,1
9,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,ODAS-SSL-SST-DGSS-MS,postfiltered,1,16.73125,314,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_9/odas_postfiltered_preddoa312_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,312.2257893329061,1.7742106670938824,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.23076923076923078,9,39,4.895610035616656,-8.433768476576699,-13.329378512193355,4.025795922646877,-43.76355238276895,-47.78934830541583,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,Why did you invite yourself? Because the TV party is not complete without a woman. Her mother was as strangely altered as your locks. That she was beside herself for the moment I clearly saw.,0.31280787300056545,0.31280787300056545,0.01869602528206592,0.01869602528206592,1
