fileid,mic_file,method,audio_stage,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,pesq_error,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.622,73,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_0/odas_separated_preddoa072_slot2.wav,nearest_predicted_doa_to_spk1_gt_doa,2,72.38099240531159,0.6190075946884122,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.23684210526315788,9,38,5.568976565673809,-0.8198782318523508,-6.38885479752616,4.863815458954358,-23.121253477017213,-27.98506893597157,1.3355612754821777,1.3095165491104126,-0.026044726371765137,,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But you know he's arrived only if life is extinct. The Count is insane with grief, more especially because the maid discovered that her lady shivered left a letter to some man she calls Dick, telling him that she loved him.",0.669575268000699,0.669575268000699,0.0379965536261888,0.0379965536261888,1
1,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,16.681375,187,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_1/odas_separated_preddoa186_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,186.19192477300868,0.8080752269913205,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.65625,21,32,5.829855063155668,-1.0774908091274011,-6.907345872283068,4.5924497068277095,-17.963662691380165,-22.556112398207873,1.2753520011901855,1.1544296741485596,-0.12092232704162598,,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,which have been so happily prepared to be submitted in consideration of the promise of an official security against this mischief of the government. The choice of several to form an intermediate body of electors brought the Westons and Mr. Knight,0.2860265680010343,0.2860265680010343,0.01714646232705843,0.01714646232705843,1
2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.43025,36,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_2/odas_separated_preddoa038_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,38.09316066394143,2.0931606639414326,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.3902439024390244,16,41,4.863127876694119,-0.8056874606072146,-5.668815337301333,5.014363450529384,-48.2375631459628,-53.25192659649218,1.2396373748779297,1.1893272399902344,-0.05031013488769531,,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"Thank you for joining us. Her life was quiet and notness, although hardworking. And while her hands mechanically found and did the recustom labor, the thoughts that Rem's in her head always centered on Charlie Cajet and his ways, his words.",0.3229836869995779,0.3229836869995779,0.01853006623539983,0.01853006623539983,1
3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,14.798375,39,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_3/odas_separated_preddoa039_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,38.707446588499124,0.2925534115008759,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.5,17,34,5.07284422229962,-0.9118829763960397,-5.98472719869566,4.855952595968615,-23.694500430811726,-28.55045302678034,1.2316536903381348,1.2009962797164917,-0.030657410621643066,,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"It is implied that the process may be anivist and new through. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.22336801500023284,0.22336801500023284,0.015094090736329687,0.015094090736329687,1
4,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.334625,26,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_4/odas_separated_preddoa031_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,31.047263920893148,5.047263920893158,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.1875,6,32,4.713929594974729,-0.34666064919956635,-5.060590244174295,3.797294258424958,-18.25782056786977,-22.05511482629473,1.250014066696167,1.166191577911377,-0.08382248878479004,,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The location, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.2417646190006053,0.2417646190006053,0.0157659296527046,0.0157659296527046,1
5,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.43125,338,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_5/odas_separated_preddoa333_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,332.68355076593264,5.316449234067363,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.23076923076923078,9,39,4.106328036680454,-1.4371595692185215,-5.543487605898975,4.225754290943277,-43.432491860397604,-47.65824615134088,1.1749225854873657,1.183715581893921,0.008792996406555176,,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"True. When one has the honor of being an expert as master is, one must let himself open to. Kosei didn't have time to complete the compliment. And in the midst of the general silence of voice-meeting Audeburg.",0.3125513220002176,0.3125513220002176,0.02025443965979539,0.02025443965979539,1
6,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.101125,140,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_6/odas_separated_preddoa132_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,131.82025173935165,8.179748260648353,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.3783783783783784,14,37,5.136439750747767,-0.3883856960610366,-5.524825446808804,3.9531159471488664,-16.73350216209509,-20.686618109243955,1.213527798652649,1.2033250331878662,-0.010202765464782715,,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,We made pretensions to literature and to materialism. There were certain names which are often pronounced to support whatever things he might be saying. Voltaire.,0.22165649400085385,0.22165649400085385,0.014678144442937455,0.014678144442937455,1
7,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,13.9115,57,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_7/odas_separated_preddoa057_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,56.69417203580608,0.30582796419392366,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,0.782608695652174,18,23,3.90807881016848,-1.413250424186442,-5.321329234354922,2.2040777620315395,-31.193035410255774,-33.39711317228731,1.1526575088500977,1.1253933906555176,-0.027264118194580078,,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Golden holes in the back of the car were fired from above and behind the machine. They slanted down, but not side with the front. It's not the ability to jerk the ore from you's hand, huh?",0.2864705720003258,0.2864705720003258,0.020592356827108922,0.020592356827108922,1
8,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.153125,333,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_8/odas_separated_preddoa333_slot2.wav,nearest_predicted_doa_to_spk1_gt_doa,2,333.4296906577324,0.429690657732408,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.9818181818181818,54,55,6.214864876700176,-0.4047707643374938,-6.61963564103767,5.256323212439473,-44.63304148518938,-49.88936469762886,1.2348089218139648,1.155202865600586,-0.0796060562133789,,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,La Laura sta Engagement history her Aww Watch She's Is,1.1450913899989246,1.1450913899989246,0.06675701308064418,0.06675701308064418,1
9,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,16.73125,314,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_9/odas_separated_preddoa312_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,312.2257893329061,1.7742106670938824,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.1794871794871795,7,39,4.895610035616656,-1.2016489001583004,-6.097258935774956,4.025795922646877,-36.36868799981676,-40.394483922463635,1.1800642013549805,1.2177082300186157,0.037644028663635254,,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,"The next gentleman is admitting, why did you invite her? Because a tea party is not complete without one connector. Her manner was as strangely altered as her look. That she was beside herself for the moment I clearly saw.",0.2997364849998121,0.2997364849998121,0.017914769368685073,0.017914769368685073,1
