fileid,mic_file,text_file,gt_doa,pred_doa,spk,wer,edit_distance,ref_words,ipdnet2_sec,dsenet_sec,whisper_sec,total_target_sec,reference,hypothesis
0,mic_fileid_0_doa113_3spk.wav,text_fileid_0_doa113_spk3.txt,113,104,3,0.6470588235294118,22,34,0.6545575020001024,1.838955495999926,0.8064986680000175,3.300011666000046,BOTH STILL THIS SIDE OF MIDDLE LIFE RESIDING UNDER THEIR ROOF YOU WOULD FIND AN OLD GENTLEMAN OF ARISTOCRATIC AIR AND VENERABLE ASPECT WITHAL CHATTY AND CHEERFUL WHO WOULD CONDUCT YOU AROUND THE CORRALES,"Both fill this side in the middle line. When dying under their roof, you will find a little center in the aristocratic air in general aspects, which all happy and careful will conduct you around the car."
0,mic_fileid_0_doa217_3spk.wav,text_fileid_0_doa217_spk2.txt,217,190,2,1.0,33,33,0.6545575020001024,1.6766160810000201,0.7879081400000132,3.1190817230001358,BY WHICH HIS DIM BLURRED SIGHT OF MEN AS TREES WALKING HAD BEEN EXCHANGED FOR CLEAR OUTLINE AND EFFULGENT DAY THE GROWTH OF HIGHER FEELING WITHIN US IS LIKE THE GROWTH OF FACULTY,Asapcetos
0,mic_fileid_0_doa273_3spk.wav,text_fileid_0_doa273_spk1.txt,273,190,1,1.0,38,38,0.6545575020001024,1.6336228179999353,0.8338169940000171,3.1219973140000548,AND TO HAVE THEIR LIVES BLOWN HITHER AND THITHER LIKE EMPTY SHIPS IN WHICH NO WILL WAS PRESENT IT WAS NOT TO BE SO WITH HER SHE WOULD NO LONGER BE SACRIFICED TO CREATURES WORTH LESS THAN HERSELF,Erasing the Thank you.
1,mic_fileid_1_doa4_3spk.wav,text_fileid_1_doa4_spk3.txt,4,9,3,0.17647058823529413,6,34,0.11548209800002951,1.48645124199993,0.30149325900003987,1.9034265989999994,WHEN FOREIGN DISTRESSES CAME TO BE FELT BY US THROUGH THE CHANNELS OF COMMERCE WE SET OURSELVES TO APPLY REMEDIES SUBSCRIPTIONS WERE MADE FOR THE EMIGRANTS AND MERCHANTS BANKRUPT BY THE FAILURE OF TRADE,"When foreign distresses need to be felt by us as well as the channels of commerce, we set ourselves to applied remedies. Subscriptions were made for the immigrants and merchants bankrupt by the failure of trade."
1,mic_fileid_1_doa70_3spk.wav,text_fileid_1_doa70_spk2.txt,70,66,2,0.288135593220339,17,59,0.11548209800002951,1.4622975860000906,0.4121724120000181,1.9899520960001382,AT THE END OF A WEEK HE WROTE AS WELL WITH THIS PEN AS WITH THE STYLUS THE CURATE RELATED THE INCIDENT TO THE COUNT OF SAN FELICE WHO SENT FOR THE LITTLE SHEPHERD MADE HIM READ AND WRITE BEFORE HIM ORDERED HIS ATTENDANT TO LET HIM EAT WITH THE DOMESTICS AND TO GIVE HIM TWO PIASTRES A MONTH,at the end of the week he wrote as well with his pen and with the stylus the curate related the incident to the connoisseur police who sat with a little shepherd made him read it right before them ordered his attendant to let him eat the domestics and to give him two piagetons of luck
1,mic_fileid_1_doa137_3spk.wav,text_fileid_1_doa137_spk1.txt,137,136,1,0.0,0,38,0.11548209800002951,1.3863948949999667,0.3078119210000523,1.8096889140000485,THAT DIDN'T MEAN THAT SHE ATTACHED VERY MUCH IMPORTANCE TO HER RECENTLY ACQUIRED VOTE SHE EVIDENTLY CLASSIFIED VOTERS INTO THE IRRESPONSIBLE WHO JUST HAD VOTES AND THE RESPONSIBLE WHO ALSO HAD A CONSIDERABLE AMOUNT OF PROPERTY AS WELL,"That didn't mean that she attached very much importance to her recently acquired vote. She evidently classified voters into the irresponsible who just had votes, and the responsible who also had a considerable amount of property as well."
2,mic_fileid_2_doa30_3spk.wav,text_fileid_2_doa30_spk1.txt,30,27,1,0.0,0,45,0.11064502099998208,1.2838614689999304,0.3099408290000838,1.7044473189999962,FOR THAT VIEW IS NOT CONFIRMED BY SUCH FACTS AS THE VERY CRUEL MURDERS OF THE FRENCH REVOLUTION RESULTING FROM THE DOCTRINE OF THE EQUALITY OF MAN OR THE VERY CRUEL WARS AND EXECUTIONS RESULTING FROM THE PREACHING OF LOVE BUT EVEN ADMITTING AS CORRECT,for that view is not confirmed by such facts as the very cruel murders of the french revolution resulting from the doctrine of the equality of man or the very cruel wars and executions resulting from the preaching of love but even admitting as correct
2,mic_fileid_2_doa242_3spk.wav,text_fileid_2_doa242_spk2.txt,242,192,2,1.0,35,35,0.11064502099998208,1.2625553010000203,1.2342818639999678,2.60748218599997,SAY THAT TO MY WIFE SAID SANCHO WHO HAD UNTIL NOW LISTENED IN SILENCE FOR SHE WON'T HEAR OF ANYTHING BUT EACH ONE MARRYING HIS EQUAL HOLDING WITH THE PROVERB EACH EWE TO HER LIKE,oh look Thank you.
2,mic_fileid_2_doa355_3spk.wav,text_fileid_2_doa355_spk3.txt,355,27,3,1.5185185185185186,41,27,0.11064502099998208,1.2856909020000558,0.32982380699991154,1.7261597299999494,MAY SAFELY BE INTRUSTED TO THE LIBERALITY OF INDIVIDUALS WHO ARE ATTACHED TO THEIR DOCTRINES AND WHO FIND BENEFIT OR CONSOLATION FROM THEIR SPIRITUAL MINISTRY AND ASSISTANCE,for that view is not confirmed by such facts as the very cruel murders of the french revolution resulting from the doctrine of the equality of man or the very cruel wars and executions resulting from the preaching of love but even admitting as correct
3,mic_fileid_3_doa137_3spk.wav,text_fileid_3_doa137_spk2.txt,137,136,2,0.075,3,40,0.14369540999996389,9.431685097000013,0.28614473000004637,9.861525237000023,AND END FOREVER THE EFFECTS OF THE INTOLERABLE FASCINATION THAT WAS WORKING UPON HIM NEXT MINUTE THE LAST STROKE OF NOON RANG OUT AND THE HOUR WAS UP WHICH AMABEL HAD SET AS THE LIMIT OF HER SILENCE A PAUSE,and end forever the effects of incolourable fascination that was working upon him next minute the last clock of noon rang out and the hour was up which amabel had set as the limit of her silence a pause
3,mic_fileid_3_doa237_3spk.wav,text_fileid_3_doa237_spk1.txt,237,231,1,0.09090909090909091,5,55,0.14369540999996389,9.284168280000017,0.35073873099997854,9.77860242099996,HE HAD NEVER A CLEAN ONE FOR SUNDAY HE HAD NO ONE TO WASH FOR HIM HIS MOTHER WAS DEAD AND HIS FATHER HAD ENOUGH ELSE TO SPEND FOR WITHOUT THE WASHING FOR A GROWN UP SON BLASI'S MONEY WENT FOR OTHER THINGS THAN WASHING AND HE WAS NOT FOND OF DOING IT FOR HIMSELF,he had never a clean one for sunday he had no one to wash for him his mother was dead and his father had enough else to spend for without the washing for a big grown-up son plazzy's money went for other things than washing and he was not wrong doing it for himself
3,mic_fileid_3_doa268_3spk.wav,text_fileid_3_doa268_spk3.txt,268,231,3,1.2195121951219512,50,41,0.14369540999996389,9.118888538999954,0.3773687710000786,9.639952719999997,MADE BY THE REFLECTION OF SNOW AND SEA HE SAW A THING PLACED AS IF FOR SHELTER IT WAS A CART UNLESS IT WAS A HOVEL IT HAD WHEELS IT WAS A CARRIAGE IT HAD A ROOF IT WAS A DWELLING,he had never a clean one for sunday he had no one to wash for him his mother was dead and his father had enough else to spend for without the washing for a big grown-up son plazzy's money went for other things than washing and he was not wrong doing it for himself
