fileid,mic_file,method,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
0,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_0_doa73_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,17.622,73,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_0/enhanced_fileid_0_doa73_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_0_doa73_spk1.txt,0.0,0,38,5.568976565673809,-1.963633136500983,-7.532609702174792,4.86381545895434,-25.881844373103974,-30.745659832058315,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, life was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him.",1.6843291479999607,1.6843291479999607,0.09558104346838955,0.09558104346838955,1
1,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_1_doa82_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,16.681375,187,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_1/enhanced_fileid_1_doa187_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_1_doa187_spk1.txt,0.0625,2,32,5.829855063155668,-0.7979763083837241,-6.627831371539392,4.59244970682772,-18.50007112839078,-23.0925208352185,BUT THE PRECAUTIONS WHICH HAVE BEEN SO HAPPILY CONCERTED IN THE SYSTEM UNDER CONSIDERATION PROMISE AN EFFECTUAL SECURITY AGAINST THIS MISCHIEF THE CHOICE OF SEVERAL TO FORM AN INTERMEDIATE BODY OF ELECTORS,But the precautions which have been so happily concerted in the system under consideration promise an effectual security against this mischief. The choice of several deform an intermediate body of electors.,0.4884672180014604,0.4884672180014604,0.02928219154604824,0.02928219154604824,1
2,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_2_doa36_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,17.43025,36,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_2/enhanced_fileid_2_doa36_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_2_doa36_spk1.txt,0.1951219512195122,8,41,4.863127876344303,-2.146423677962953,-7.009551554307256,5.014382224496274,-29.904041458223524,-34.9184236827198,OR WASHING OR CHURNING DAYS HER LIFE WAS QUIET AND MONOTONOUS ALTHOUGH HARD WORKING AND WHILE HER HANDS MECHANICALLY FOUND AND DID THEIR ACCUSTOMED LABOUR THE THOUGHTS THAT ROSE IN HER HEAD ALWAYS CENTRED ON CHARLEY KINRAID HIS WAYS HIS WORDS,"or washing or churning days. Her life was quiet and monotonous, although hardworking, and while her hands mechanically found and did the recustom labor, the thoughts that rose in her head always centered on Charlie Kenray. His ways, his words.",0.6078333659970667,0.6078333659970667,0.0348723263290582,0.0348723263290582,1
3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_3_doa39_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,14.798375,39,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_3/enhanced_fileid_3_doa39_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_3_doa39_spk1.txt,0.058823529411764705,2,34,5.07284422229962,-2.788368814013373,-7.861213036312993,4.855952595968629,-17.051045010782673,-21.906997606751304,WHICH TAKES OVER THE USUAL STREAM OF CONSCIOUSNESS TYPE OF THINKING IT IS IMPLIED THAT THE PROCESS MAY BE ATAVISTIC ONE OF THE NEWER THEORIES ONE HELD BY DOCTOR LEWIS R WOLBERG A PSYCHOANALYST,"which takes over the usual stream of consciousness type of thinking. It is implied that the process may be atavistic. One of the newer theories, one held by Dr. Louis R. Wolberg, a psychoanalyst.",0.46395309699801146,0.46395309699801146,0.031351624553237194,0.031351624553237194,1
4,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_4_doa26_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,15.334625,26,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_4/enhanced_fileid_4_doa26_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_4_doa26_spk1.txt,0.15625,5,32,4.713929594974729,-1.2728724312847148,-5.986802026259444,3.7972942584249605,-39.34662919096017,-43.143923449385134,THE PUBLICATION IF MADE AT ALL SHOULD BE EFFECTED AS SOON AS POSSIBLE AFTER MY DEATH MY FATHER DIED ON THE SIXTH OF DECEMBER EIGHTEEN EIGHTY TWO IT WILL BE SEEN THEREFORE,"The publication, if made at all, should be affected as soon as possible after my death. My father died on the 6th of December, 1882. It will be seen, therefore.",0.36296364000008907,0.36296364000008907,0.02366954783700867,0.02366954783700867,1
5,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_5_doa60_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,15.43125,338,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_5/enhanced_fileid_5_doa338_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_5_doa338_spk1.txt,0.1794871794871795,7,39,4.10632803653317,-2.9642714159661336,-7.070599452499303,4.225754297312408,-18.9946859281599,-23.22044022547231,HOW TRUE WHEN ONE HAS THE HONOR OF BEING AN EXPERT AS MASTER IS ONE MUSTN'T LAY HIMSELF OPEN TO CONSEIL DIDN'T HAVE TIME TO COMPLETE THE COMPLIMENT IN THE MIDST OF THE GENERAL SILENCE A VOICE BECAME AUDIBLE,"How true. When one has the honor of being an expert as master is, one mustn't lay himself open to. Kong say he didn't have time to complete the compliment. And then midst of the general silence of voice being audible.",0.6792682659979619,0.6792682659979619,0.04401900468192543,0.04401900468192543,1
6,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_6_doa30_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,15.101125,140,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_6/enhanced_fileid_6_doa140_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_6_doa140_spk1.txt,0.08108108108108109,3,37,5.136439750958917,-2.19749012678128,-7.3339298777401964,3.953115947459837,-13.163100706225563,-17.1162166536854,HE WORE A BLOUSE AND UNDER HIS BLOUSE AN OLD BLACK COAT HE MADE PRETENSIONS TO LITERATURE AND TO MATERIALISM THERE WERE CERTAIN NAMES WHICH HE OFTEN PRONOUNCED TO SUPPORT WHATEVER THINGS HE MIGHT BE SAYING VOLTAIRE,He wrote blouse and under his blouse the old black coat. He made pretensions to literature and to materialism. There were certain names which he often pronounced to support whatever things he might be saying. Voltaire.,0.5240831490009441,0.5240831490009441,0.034704907680781674,0.034704907680781674,1
7,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_7_doa57_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,13.9115,57,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_7/enhanced_fileid_7_doa57_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_7_doa57_spk1.txt,0.08695652173913043,2,23,3.90807881016848,-1.6367756019191253,-5.544854412087606,2.2040777620315395,-20.71283684519031,-22.916914607221848,THOSE BULLET HOLES IN THE BACK OF THE CAR WERE FIRED FROM ABOVE AND BEHIND THE MACHINE THEY SLANTED DOWN BUT NOT SIDEWISE,"Those bullet holes in the back of the car were fired from above and behind the machines. They slanted down, but not sideways.",0.30151725899850135,0.30151725899850135,0.02167395744517136,0.02167395744517136,1
8,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_8_doa80_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,17.153125,333,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_8/enhanced_fileid_8_doa333_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_8_doa333_spk1.txt,0.05454545454545454,3,55,6.214864876628267,-1.1291693499578495,-7.344034226586117,5.256432158780118,-29.585928803423695,-34.84236096220381,THEY WANTED TO LEARN THE GAME AT TWO O'CLOCK THE CAPTAIN ASKED THE MATE HOW WE WERE GETTING ON OH PRETTY GLIBLY SIR REPLIED THE MATE WE CAN SCARCELY TELL WHAT HEADWAY WE ARE MAKING FOR WE ARE OBLIGED TO KEEP THE MIDDLE OF THE RIVER AND THERE IS THE SHADOW OF A FOG RISING,"They wanted to learn the game. At two o'clock, the captain asked the mate how he would get on. Oh, pretty glibly, sir, replied the mate. We can scarcely tell what headway we are making, for we are obliged to keep the middle of the river, and there is the shadow of a fog rising.",0.8287448979972396,0.8287448979972396,0.04831451400238963,0.04831451400238963,1
9,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_9_doa85_3spk.wav,Official-HARK-GTDOA-ConstantLocalization-GHDSS,1,16.73125,314,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_GT/official_hark_outputs/fileid_9/enhanced_fileid_9_doa314_spk1.wav,spk_order,0,,,3,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_9_doa314_spk1.txt,0.02564102564102564,1,39,4.895610035616656,-1.6747827310127692,-6.570392766629425,4.025795922646925,-26.347043013681983,-30.372838936328908,THE DEAF GENTLEMAN SUBMITTED WHY DID YOU INVITE YOURSELF BECAUSE A TEA PARTY IS NOT COMPLETE WITHOUT A WOMAN HER MANNER WAS AS STRANGELY ALTERED AS HER LOOKS THAT SHE WAS BESIDE HERSELF FOR THE MOMENT I CLEARLY SAW,The deaf gentlemen submitted. Why did you invite yourself? Because a tea party is not complete without a woman. Her manner was as strangely altered as her looks. That she was beside herself for the moment I clearly saw.,0.596476017999521,0.596476017999521,0.03565041571905991,0.03565041571905991,1
